rule_id,seed,lote,n_aristas,T_estrella,dif_triangulos,masa_solap,masa_disj,d_solap_disj,d_particulas,d_sigmas,pct,sumideros_solap,sumideros_disj,kappa_solap,kappa_disj,t1_solap,t1_disj,multi_solap,multi_disj,gigante_solap,gigante_disj
A2-B0-C2-batch3-r111,482596,471828,6171,255,0,0.17974999999999988,0.18324999999999989,-0.003500000000000003,-14.000000000000012,-0.5500709852537142,-1.9099590723055964,30,35,0.3809160305343513,0.3741935483870965,0.003,0.006,0.9139784946236559,0.0,3676,3701
A2-B0-C2-batch3-r60,477649,471828,6265,295,0,0.1812499999999999,0.16799999999999987,0.01325000000000004,53.000000000000156,2.0824115870319226,7.886904761904791,31,28,0.43188854489164097,0.34349919743178203,0.003,0.005,0.9044776119402985,0.0,3702,3731
A2-B0-C2-batch4-r10,572799,571828,6087,191,0,0.16924999999999987,0.18299999999999988,-0.013750000000000012,-55.00000000000005,-2.1609931563538773,-7.513661202185804,24,37,0.4454976303317536,0.32242990654205594,0.001,0.003,0.8947368421052632,0.0,3646,3697
A2-B0-C2-batch4-r36,575321,571828,4586,60,0,0.28724999999999984,0.2709999999999998,0.016250000000000042,65.00000000000017,2.5539010029636775,5.996309963099651,81,70,0.24439197166469898,0.26885043263288017,0.0,0.002,0.5504587155963303,0.0,3424,3457
A2-B0-C2-batch4-r62,577843,571828,6703,285,0,0.15749999999999992,0.16224999999999992,-0.004750000000000004,-19.000000000000018,-0.7465249085586122,-2.9275808936825927,30,37,0.449355432780847,0.4030131826741996,0.004,0.0,0.8905775075987842,0.0,3831,3858
A2-B0-C2-r14,273187,271828,6696,112,0,0.13299999999999992,0.14674999999999994,-0.013750000000000012,-55.00000000000005,-2.1609931563538773,-9.369676320272585,19,29,0.40298507462686556,0.42526315789473684,0.006,0.004,0.9016393442622951,0.0,3855,3882
A2-B0-C2-r17,273478,271828,6332,202,0,0.17174999999999987,0.1687499999999999,0.002999999999999975,11.999999999999899,0.4714894159317507,1.777777777777764,30,29,0.36838006230529624,0.49246231155778886,0.001,0.003,0.8410041841004184,0.0,3702,3724
A2-B0-C2-r19,273672,271828,7337,1322,0,0.1674999999999999,0.17474999999999988,-0.007249999999999979,-28.999999999999915,-1.1394327551684038,-4.148783977110148,28,36,0.32576985413290105,0.38219895287958117,0.006,0.004,0.892433234421365,0.0,3810,3873
A2-B0-C2-r20,373769,371828,7550,676,0,0.14049999999999987,0.11849999999999994,0.021999999999999936,87.99999999999974,3.457589050166191,18.56540084388181,18,17,0.498091603053435,0.37341772151898733,0.004,0.006,0.8961218836565097,0.0,3865,3903
A2-B0-C2-r28,374545,371828,7925,1282,0,0.15549999999999986,0.12699999999999992,0.028499999999999942,113.99999999999977,4.4791494513516605,22.440944881889735,18,21,0.43906510851419056,0.42733188720173526,0.0,0.005,0.9051863857374393,0.0,3761,3876
A2-B0-C2-r39,375612,371828,8289,1842,0,0.15674999999999986,0.12199999999999993,0.034749999999999934,138.99999999999974,5.461419067876148,28.483606557377012,18,20,0.49108589951377607,0.5407925407925405,0.005,0.006,0.9011406844106464,0.0,3833,3949
