genealogia,seed_base,rule_id,brazo,clase,es_clase_III,es_clase_III_o_IV,pendiente,z_agg,holon_ratio,diam_b1,giant_b1,grado_medio_b1,n_aristas_b1,diams_por_escala,K,J,noise,meandeg,kcap,seed,seg
H03_662819,662819,A2-B0-C2-r0,C2-hard,I,0,0,0.462007,0.4552,2.2109,9.0,0.9775,3.852,3852,9|7|6|5|4,6,0.403,0.114,4.21,7,662820,2.04
H03_662819,662819,A2-B0-C2-r0,C2-hibrido,I,0,0,0.511288,0.9521,2.2544,10.0,0.98,4.065,4065,10|7|6|5|4,6,0.403,0.114,4.21,7,662820,2.44
H03_662819,662819,A2-B0-C2-r1,C2-hard,III,1,1,0.717585,1.1158,1.6113,16.0,0.9685,3.319,3319,16|10|7|5|5,6,0.623,0.287,5.14,5,662917,2.25
H03_662819,662819,A2-B0-C2-r1,C2-hibrido,I,0,0,0.544074,0.6692,1.5201,11.0,0.994,4.741,4741,11|7|5|5|4,6,0.623,0.287,5.14,5,662917,2.59
H03_662819,662819,A2-B0-C2-r2,C2-hard,I,0,0,0.563351,0.1414,1.683,12.0,0.987,4.072,4072,12|7|6|5|4,6,0.571,0.334,6.16,6,663014,2.25
H03_662819,662819,A2-B0-C2-r2,C2-hibrido,I,0,0,0.335307,0.2828,1.3229,8.0,0.9975,5.634,5634,8|5|5|4|4,6,0.571,0.334,6.16,6,663014,2.57
H03_662819,662819,A2-B0-C2-r3,C2-hard,III,1,1,1.139554,0.6002,2.6126,19.0,0.828,2.268,2268,19|14|8|7|5,6,0.753,0.292,7.11,4,663111,1.8
H03_662819,662819,A2-B0-C2-r3,C2-hibrido,III,1,1,1.320105,2.9198,2.2019,17.0,0.7875,2.396,2396,17|10|7|6|4,6,0.753,0.292,7.11,4,663111,2.07
H03_662819,662819,A2-B0-C2-r4,C2-hard,III,1,1,0.868619,0.5657,1.8376,15.0,0.935,3.206,3206,15|12|7|5|4,6,0.621,0.31,6.74,5,663208,2.41
H03_662819,662819,A2-B0-C2-r4,C2-hibrido,III,1,1,0.764039,0.7984,1.6749,12.0,0.9105,3.529,3529,12|8|6|5|4,6,0.621,0.31,6.74,5,663208,2.24
