n,n_pos,n_neg,n_cero,p_signos,W,p_wilcoxon,n_pos_extremidad
40,21,18,1,0.7492586247608418,375.5,0.839633539148768,1
40,19,21,0,0.8746293123804207,390.5,0.7932334172167242,1
40,22,17,1,0.5223973804968411,347.5,0.5531081616746927,2
40,23,16,1,0.3367836351899315,331.0,0.4103062028976926,3
40,18,21,1,0.7492586247608418,344.0,0.5209034761397462,2
40,17,23,0,0.42959050784338615,360.5,0.5058063325954028,3
40,29,11,0,0.006426576095691416,225.0,0.012892528956563268,9
40,19,20,1,1.0,383.0,0.9221786615977756,1
40,20,20,0,1.0,391.5,0.8036098363119129,0
40,18,22,0,0.6358280026288412,361.5,0.5144543031405595,2
40,23,17,0,0.42959050784338615,357.5,0.4803400285058921,3
40,12,28,0,0.01658900337497471,263.5,0.048915442259889017,8
40,21,18,1,0.7492586247608418,387.0,0.966604291622934,1
40,17,23,0,0.42959050784338615,329.0,0.2762283525906324,3
40,18,21,1,0.7492586247608418,354.0,0.6153701913115633,2
40,19,20,1,1.0,366.0,0.7376670197124604,1
40,22,16,2,0.417692190836533,264.5,0.12422930285279482,2
40,15,25,0,0.1538599441628321,295.5,0.12377611603905572,5
40,21,19,0,0.8746293123804207,380.5,0.6916963098249612,1
40,24,15,1,0.19959086691960698,273.5,0.10397603730965486,4
40,22,18,0,0.6358280026288412,349.0,0.41223581400614506,2
40,21,18,1,0.7492586247608418,312.5,0.27934049471392863,1
40,21,19,0,0.8746293123804207,368.0,0.5723730875378235,1
40,16,24,0,0.26818725105476915,327.0,0.26454377563955045,4
40,21,19,0,0.8746293123804207,371.0,0.600123839086998,1
40,28,11,1,0.009475304279476404,211.5,0.012734155632660478,8
40,20,20,0,1.0,340.0,0.3467226978216712,0
40,20,20,0,1.0,391.0,0.7984148899158072,0
40,17,22,1,0.5223973804968411,347.5,0.553103330361295,3
40,18,19,3,1.0,293.0,0.3774331840551062,2
40,20,20,0,1.0,360.0,0.5015375715745426,0
40,15,25,0,0.1538599441628321,313.0,0.1922596214361516,5
40,21,18,1,0.7492586247608418,322.5,0.3462001710287276,1
40,19,20,1,1.0,328.0,0.38688893214825293,1
40,16,24,0,0.26818725105476915,315.5,0.20396650058508103,4
40,20,20,0,1.0,338.5,0.3364983592648766,0
40,27,12,1,0.023702702470473014,287.5,0.1525759300412319,7
40,18,22,0,0.6358280026288412,354.5,0.455631534469778,2
40,21,18,1,0.7492586247608418,388.5,0.983298283976132,1
40,21,18,1,0.7492586247608418,384.5,0.9388174749003377,1
40,22,18,0,0.6358280026288412,386.5,0.7520818603638233,2
40,17,22,1,0.5223973804968411,375.5,0.8396354647770594,3
40,21,18,1,0.7492586247608418,359.0,0.6652864986723999,1
40,19,19,2,1.0,364.0,0.9248929110480665,1
40,17,19,4,0.8679394004284404,282.0,0.4229358693252532,3
40,12,27,1,0.023702702470473014,223.5,0.020138268577960677,8
40,22,17,1,0.5223973804968411,309.5,0.2612656633058664,2
40,21,19,0,0.8746293123804207,403.5,0.9303739552317525,1
40,21,18,1,0.7492586247608418,330.5,0.40633940226232845,1
40,17,21,2,0.6271025701571489,337.0,0.6270722577880232,3
40,22,18,0,0.6358280026288412,402.0,0.9143643733814628,2
40,17,22,1,0.5223973804968411,349.0,0.5671981575388884,3
40,18,22,0,0.6358280026288412,404.0,0.9357198910888915,2
40,23,16,1,0.3367836351899315,337.0,0.459495453341484,3
40,25,15,0,0.1538599441628321,287.5,0.09962961798567267,5
40,20,20,0,1.0,353.5,0.44755237188321684,0
40,24,16,0,0.26818725105476915,315.5,0.20390008413497485,4
40,22,17,1,0.5223973804968411,301.5,0.21680727647867803,2
40,18,22,0,0.6358280026288412,322.0,0.23685899452088777,2
40,23,16,1,0.3367836351899315,313.5,0.2857026426306185,3
40,21,19,0,0.8746293123804207,383.5,0.7216829530638604,1
40,24,16,0,0.26818725105476915,389.5,0.7828509076367538,4
40,18,22,0,0.6358280026288412,400.0,0.8930724231739792,2
40,21,18,1,0.7492586247608418,385.0,0.9443680217267192,1
40,17,23,0,0.42959050784338615,409.0,0.9892753560389014,3
40,13,26,1,0.05325191409792752,241.5,0.038226467762873785,7
40,20,19,1,1.0,325.5,0.36803928765519245,0
40,23,16,1,0.3367836351899315,301.0,0.21419943036282474,3
40,17,23,0,0.42959050784338615,351.5,0.43164083616130666,3
40,14,25,1,0.10812902140605732,306.5,0.24388647954241915,6
40,23,16,1,0.3367836351899315,375.5,0.8396316134511126,3
40,19,21,0,0.8746293123804207,391.0,0.79841711732178,1
40,24,16,0,0.26818725105476915,396.5,0.8560020456357927,4
40,16,21,3,0.5113757815852296,278.0,0.2674711241824034,4
40,19,21,0,0.8746293123804207,353.5,0.44757288757270863,1
40,22,18,0,0.6358280026288412,404.0,0.9357104729436317,2
40,22,18,0,0.6358280026288412,405.0,0.9464149045884801,2
40,21,19,0,0.8746293123804207,353.0,0.4435744128059379,1
40,25,14,1,0.10812902140605732,279.5,0.12305784559463409,5
40,14,26,0,0.0806904677519924,362.0,0.5187901905662369,6
40,19,21,0,0.8746293123804207,387.5,0.762311890129191,1
40,20,19,1,1.0,383.0,0.9221796058557888,0
40,24,16,0,0.26818725105476915,386.5,0.7520872761455881,4
40,18,22,0,0.6358280026288412,318.0,0.21616842862387453,2
40,26,13,1,0.05325191409792752,314.0,0.2888456707663878,6
40,20,20,0,1.0,393.5,0.8244743063501507,0
40,17,21,2,0.6271025701571489,317.5,0.4420825655762428,3
40,18,21,1,0.7492586247608418,382.5,0.9166395877917641,2
40,23,16,1,0.3367836351899315,304.5,0.23276991540423375,3
40,14,26,0,0.0806904677519924,270.0,0.05985989948715837,6
40,24,16,0,0.26818725105476915,307.5,0.1681800231010555,4
40,19,21,0,0.8746293123804207,379.5,0.6818220230158205,1
40,19,20,1,1.0,360.0,0.6754570887547182,1
40,20,20,0,1.0,384.0,0.7267159152579612,0
40,18,22,0,0.6358280026288412,319.5,0.22377650137837957,2
40,15,25,0,0.1538599441628321,305.0,0.1581314094822862,5
40,19,21,0,0.8746293123804207,379.0,0.6768744586570558,1
40,20,19,1,1.0,349.0,0.5672075933676695,0
40,17,23,0,0.42959050784338615,362.0,0.5187949116258136,3
40,17,22,1,0.5223973804968411,338.5,0.47232046098684766,3
40,21,18,1,0.7492586247608418,347.5,0.5530888354866141,1
40,16,24,0,0.26818725105476915,318.0,0.21621511374743185,4
40,23,17,0,0.42959050784338615,257.5,0.040368346053093716,3
40,18,22,0,0.6358280026288412,362.5,0.5231591532413289,2
40,21,19,0,0.8746293123804207,389.0,0.7777288248943519,1
40,18,21,1,0.7492586247608418,328.5,0.3907468626654369,2
40,20,19,1,1.0,387.5,0.9721660656481416,0
40,15,24,1,0.19959086691960698,254.5,0.05861281650173203,5
40,18,21,1,0.7492586247608418,346.5,0.5437835372720567,2
40,28,10,2,0.0050976432976312935,255.0,0.09391011299118802,8
40,17,23,0,0.42959050784338615,318.5,0.21870091736572206,3
40,23,17,0,0.42959050784338615,367.0,0.5632628421627714,3
40,20,20,0,1.0,333.5,0.3038060549815781,0
40,22,18,0,0.6358280026288412,397.0,0.8612770956750305,2
40,24,16,0,0.26818725105476915,291.5,0.11119032738587514,4
40,21,19,0,0.8746293123804207,408.5,0.9839132762908931,1
40,19,20,1,1.0,340.5,0.48969801549696435,1
40,24,16,0,0.26818725105476915,310.0,0.17887208804021348,4
40,15,25,0,0.1538599441628321,315.0,0.2015835248675959,5
40,20,19,1,1.0,376.5,0.8505600129656847,0
40,20,20,0,1.0,398.5,0.8771426805954832,0
40,18,21,1,0.7492586247608418,355.0,0.6252362586831139,2
40,18,22,0,0.6358280026288412,331.0,0.28825456054546894,2
40,14,25,1,0.10812902140605732,343.5,0.516362487878288,6
40,17,23,0,0.42959050784338615,300.0,0.13923131884700204,3
40,19,20,1,1.0,378.5,0.8724902535009917,1
40,23,17,0,0.42959050784338615,347.5,0.40082037547696503,3
40,21,19,0,0.8746293123804207,370.0,0.5907628892699286,1
40,25,14,1,0.10812902140605732,283.0,0.13535553266521758,5
40,19,21,0,0.8746293123804207,368.0,0.5723730875378235,1
40,19,21,0,0.8746293123804207,400.0,0.8930640205762019,1
40,19,20,1,1.0,336.5,0.45528220782954965,1
40,25,15,0,0.1538599441628321,262.5,0.047375557082147864,5
40,20,19,1,1.0,376.5,0.8505618106224175,0
40,24,15,1,0.19959086691960698,321.5,0.33905519522418914,4
40,15,24,1,0.19959086691960698,328.0,0.38689471194690184,5
40,17,22,1,0.5223973804968411,304.0,0.23005489065753193,3
40,15,24,1,0.19959086691960698,315.5,0.2984802466611238,5
40,27,13,0,0.03847730828420026,280.0,0.08056315077195268,7
40,20,19,1,1.0,383.0,0.9221786615977756,0
40,16,24,0,0.26818725105476915,344.5,0.378618427643453,4
40,21,19,0,0.8746293123804207,385.0,0.7368149293295045,1
40,24,16,0,0.26818725105476915,316.5,0.20880924119895072,4
40,26,14,0,0.0806904677519924,370.0,0.5908006281057129,6
40,20,20,0,1.0,399.0,0.8824525075560458,0
40,18,22,0,0.6358280026288412,377.5,0.6622079300787838,2
40,23,17,0,0.42959050784338615,319.5,0.22377650137837957,3
40,17,23,0,0.42959050784338615,315.5,0.20399714977228367,3
40,12,28,0,0.01658900337497471,209.0,0.006889091705209227,8
40,23,16,1,0.3367836351899315,294.5,0.18257626151373008,3
40,14,25,1,0.10812902140605732,243.5,0.04089368888648535,6
40,23,17,0,0.42959050784338615,258.5,0.041707644187021345,3
40,21,19,0,0.8746293123804207,388.0,0.7674373712815826,1
40,15,24,1,0.19959086691960698,277.5,0.11639413877407608,5
40,22,17,1,0.5223973804968411,349.5,0.5719390603196011,2
40,13,27,0,0.03847730828420026,251.5,0.03311698416783944,7
40,20,18,2,0.8714146793645341,362.5,0.9076356960297545,0
40,24,16,0,0.26818725105476915,287.0,0.09827018146519023,4
40,19,21,0,0.8746293123804207,389.0,0.777731268954555,1
40,25,15,0,0.1538599441628321,275.0,0.06957662143027991,5
40,19,21,0,0.8746293123804207,318.5,0.21870091736572206,1
40,25,15,0,0.1538599441628321,258.0,0.04100141860143408,5
40,22,18,0,0.6358280026288412,322.0,0.23683251991412035,2
40,17,21,2,0.6271025701571489,305.5,0.3458356594629506,3
40,22,17,1,0.5223973804968411,341.0,0.4940836626303755,2
40,19,20,1,1.0,358.5,0.6602201846262069,1
40,20,20,0,1.0,365.5,0.5497345172656359,0
40,20,19,1,1.0,352.5,0.6007479942544989,0
40,23,17,0,0.42959050784338615,409.5,0.9946376174650763,3
40,21,19,0,0.8746293123804207,369.5,0.5861766790475008,1
40,18,21,1,0.7492586247608418,369.0,0.7694637858515153,2
40,23,16,1,0.3367836351899315,317.0,0.3083089187637653,3
40,13,27,0,0.03847730828420026,310.0,0.17889662514815163,7
40,19,21,0,0.8746293123804207,385.5,0.741911606545915,1
40,25,14,1,0.10812902140605732,285.5,0.1447439478955888,5
40,19,21,0,0.8746293123804207,369.0,0.5815569963778977,1
40,14,26,0,0.0806904677519924,298.0,0.13220166608115397,6
40,22,18,0,0.6358280026288412,359.0,0.49299527355913597,2
40,13,27,0,0.03847730828420026,255.5,0.03778559054347533,7
40,21,19,0,0.8746293123804207,374.5,0.6332285343819711,1
40,18,22,0,0.6358280026288412,400.5,0.8983833344872219,2
40,23,17,0,0.42959050784338615,340.0,0.34668457250292783,3
40,20,20,0,1.0,357.0,0.4761692884370897,0
40,15,25,0,0.1538599441628321,282.0,0.08533354095286758,5
40,22,18,0,0.6358280026288412,345.5,0.3859189957549891,2
40,18,21,1,0.7492586247608418,322.0,0.34262770130373066,2
40,20,18,2,0.8714146793645341,306.0,0.34955851695328277,0
40,25,14,1,0.10812902140605732,319.0,0.32173375704788687,5
40,24,16,0,0.26818725105476915,388.5,0.772580653797177,4
40,24,16,0,0.26818725105476915,337.0,0.32647594931971957,4
40,20,20,0,1.0,357.0,0.47619419373182525,0
40,19,20,1,1.0,361.0,0.6856836551311998,1
40,16,23,1,0.3367836351899315,301.0,0.21416595949412975,4
