patch,seed,N,arm,k_local,D_max,d_s,delta_rel,n_ejes,PR,ejes_reales,holonomia,gigante,grado_medio,clustering,diam_fin,pasos
0,66100,3500,local,8,8,4.761,0.041,2,5.429,1,0.872,0.918,21.141,0.2203,6,20
0,66100,3500,sin_local,-1,8,5.556,0.044,1,5.213,1,0.879,0.911,52.353,0.0857,4,17
0,66100,3500,local_barajado,8,8,3.991,0.054,1,5.852,1,1.145,0.911,19.736,0.0592,5,20
0,66100,3500,local_marco_congelado,8,8,5.637,0.041,0,7.98,0,1.144,0.91,20.85,0.2285,5,20
4,66112,3500,local,8,8,5.092,0.038,1,4.888,1,0.74,0.913,21.193,0.2155,5,20
4,66112,3500,sin_local,-1,8,5.489,0.042,2,5.612,1,1.047,0.917,52.89,0.0728,4,17
4,66112,3500,local_barajado,8,8,4.119,0.054,2,5.598,1,1.068,0.917,19.85,0.061,5,20
4,66112,3500,local_marco_congelado,8,8,4.835,0.048,0,7.977,0,1.049,0.906,20.894,0.2083,5,20
5,66115,3500,local,8,8,5.978,0.03,1,5.595,1,0.835,0.912,20.897,0.2232,5,20
5,66115,3500,sin_local,-1,8,5.58,0.047,1,4.357,1,0.989,0.906,52.478,0.081,4,17
5,66115,3500,local_barajado,8,8,4.012,0.054,1,4.495,1,1.095,0.92,19.901,0.0582,5,20
5,66115,3500,local_marco_congelado,8,8,4.882,0.044,0,7.98,0,1.109,0.91,20.889,0.2248,5,20
1,66103,3500,local,8,8,4.731,0.044,1,6.149,1,0.882,0.914,21.015,0.2204,1,20
1,66103,3500,sin_local,-1,8,5.96,0.044,2,5.829,1,0.849,0.911,52.858,0.0882,4,17
1,66103,3500,local_barajado,8,8,4.036,0.052,1,5.762,1,1.219,0.907,19.789,0.0587,5,20
1,66103,3500,local_marco_congelado,8,8,4.805,0.039,0,7.99,0,0.972,0.899,20.904,0.2122,5,20
3,66109,3500,local,8,8,4.814,0.037,2,6.195,1,0.97,0.904,20.782,0.225,6,20
3,66109,3500,sin_local,-1,8,4.589,0.042,1,5.016,1,0.826,0.912,51.935,0.0858,4,17
3,66109,3500,local_barajado,8,8,3.996,0.055,2,5.988,1,1.099,0.917,19.899,0.0593,5,20
3,66109,3500,local_marco_congelado,8,8,5.028,0.028,0,7.985,0,0.978,0.911,20.915,0.2178,6,20
2,66106,3500,local,8,8,5.78,0.038,1,5.693,1,0.856,0.912,21.073,0.2319,5,20
2,66106,3500,sin_local,-1,8,5.692,0.046,1,5.001,1,0.848,0.912,52.493,0.0795,4,17
