carpeta,rule_id,clase,seed,K,J,noise,meandeg,kcap,n_aristas_grafo_final,diam_grafo_final,n_gas_inicial,n_dump_final,masa_gas_final,masa_sumideros_final,masa_total_final,fraccion_masa_en_sumideros,n_sumideros,t_primer_sumidero,masa_acretada_total,kappa_v_agregado,kappa_v_medio_valido,n_kappa_indefinidos,par,rol,match_exacto_K_kcap,origen_par
A2-B0-C2-r9v2fix_I,A2-B0-C2-r9v2fix,I,372702,5,0.548,0.142,5.59,6,4138,12.0,2000,cosmog_00500,17390.0,1410.0000000000005,18800.0,0.07500000000000002,8,0.046,1410.0,0.42553191489361675,0.4720238095238093,0,A2-B0-C2-r9v2fix_vs_A2-B0-C2-r39,I,True,v2_recuperado
A2-B0-C2-r39_III,A2-B0-C2-r39,III,375612,5,0.526,0.152,5.7,6,4083,15.0,2000,cosmog_00500,17324.2,1475.8000000000002,18800.0,0.07850000000000001,8,0.045,1475.8000000000002,0.47222222222222177,0.4819940476190472,0,A2-B0-C2-r9v2fix_vs_A2-B0-C2-r39,III,True,v2_recuperado
A2-B0-C2-batch3-r100_I,A2-B0-C2-batch3-r100,I,481529,5,0.569,0.195,6.61,4,2374,1.0,2000,cosmog_00500,15980.0,2819.999999999999,18800.0,0.14999999999999994,8,0.032,2820.0,1.3287671232876717,1.332986111111111,0,A2-B0-C2-batch3-r100_vs_A2-B0-C2-batch3-r0,I,True,v3_generado_nuevo
A2-B0-C2-batch3-r0_III,A2-B0-C2-batch3-r0,III,471829,5,0.413,0.225,6.59,4,2308,19.0,2000,cosmog_00500,15970.6,2829.399999999999,18800.0,0.15049999999999997,8,0.029,2829.4,1.2938596491228065,1.3031249999999994,0,A2-B0-C2-batch3-r100_vs_A2-B0-C2-batch3-r0,III,True,v3_generado_nuevo
A2-B0-C2-batch3-r1_I,A2-B0-C2-batch3-r1,I,471926,7,0.531,0.171,5.85,6,4038,11.0,2000,cosmog_00500,17333.600000000002,1466.4000000000003,18800.000000000004,0.078,8,0.052,1466.3999999999999,0.42,0.431547619047619,0,A2-B0-C2-batch3-r1_vs_A2-B0-C2-batch3-r69,I,True,v3_generado_nuevo
A2-B0-C2-batch3-r69_III,A2-B0-C2-batch3-r69,III,478522,7,0.753,0.318,4.37,6,3678,13.0,2000,cosmog_00500,17145.600000000002,1654.4000000000005,18800.000000000004,0.08800000000000001,8,0.04,1654.3999999999999,0.43113772455089827,0.4362103174603176,0,A2-B0-C2-batch3-r1_vs_A2-B0-C2-batch3-r69,III,True,v3_generado_nuevo
A2-B0-C2-batch3-r5_I,A2-B0-C2-batch3-r5,I,472314,6,0.494,0.283,7.48,6,3981,13.0,2000,cosmog_00500,17277.2,1522.8000000000006,18800.0,0.08100000000000003,8,0.044,1522.8,0.35714285714285726,0.3711309523809525,0,A2-B0-C2-batch3-r5_vs_A2-B0-C2-batch3-r114,I,True,v3_generado_nuevo
A2-B0-C2-batch3-r114_III,A2-B0-C2-batch3-r114,III,482887,6,0.749,0.209,7.44,6,3978,13.0,2000,cosmog_00500,17079.8,1720.2000000000007,18800.0,0.09150000000000004,8,0.04,1720.2,0.44117647058823545,0.44616977225672894,0,A2-B0-C2-batch3-r5_vs_A2-B0-C2-batch3-r114,III,True,v3_generado_nuevo
A2-B0-C2-batch3-r44_I,A2-B0-C2-batch3-r44,I,476097,7,0.551,0.138,4.4,5,3252,13.0,2000,cosmog_00500,16891.8,1908.2000000000007,18800.0,0.10150000000000003,8,0.037,1908.2000000000003,0.5925925925925919,0.594494047619047,0,A2-B0-C2-batch3-r44_vs_A2-B0-C2-batch3-r10,I,True,v3_generado_nuevo
A2-B0-C2-batch3-r10_III,A2-B0-C2-batch3-r10,III,472799,7,0.524,0.164,7.54,5,3126,16.0,2000,cosmog_00500,16544.0,2256.0000000000005,18800.0,0.12000000000000002,8,0.034,2256.0,0.8823529411764706,0.8836805555555556,0,A2-B0-C2-batch3-r44_vs_A2-B0-C2-batch3-r10,III,True,v3_generado_nuevo
A2-B0-C2-batch3-r86_I,A2-B0-C2-batch3-r86,I,480171,5,0.646,0.19,6.06,5,3407,13.0,2000,cosmog_00500,17023.4,1776.6000000000006,18800.000000000004,0.09450000000000001,8,0.035,1776.6,0.5,0.4977678571428572,0,A2-B0-C2-batch3-r86_vs_A2-B0-C2-batch3-r12,I,True,v3_generado_nuevo
A2-B0-C2-batch3-r12_III,A2-B0-C2-batch3-r12,III,472993,5,0.745,0.243,4.61,5,3272,15.0,2000,cosmog_00500,16891.8,1908.2000000000007,18800.0,0.10150000000000003,8,0.037,1908.2,0.5440414507772019,0.5547916666666665,0,A2-B0-C2-batch3-r86_vs_A2-B0-C2-batch3-r12,III,True,v3_generado_nuevo
A2-B0-C2-batch3-r50_I,A2-B0-C2-batch3-r50,I,476679,6,0.381,0.278,5.64,5,3271,14.0,2000,cosmog_00500,16920.0,1880.0000000000007,18800.0,0.10000000000000003,8,0.04,1880.0,0.5340314136125656,0.5321848290598291,0,A2-B0-C2-batch3-r50_vs_A2-B0-C2-batch3-r21,I,True,v3_generado_nuevo
A2-B0-C2-batch3-r21_III,A2-B0-C2-batch3-r21,III,473866,6,0.346,0.134,5.31,5,3308,14.0,2000,cosmog_00500,16985.8,1814.2000000000007,18800.0,0.09650000000000004,8,0.042,1814.1999999999998,0.48387096774193544,0.5052083333333333,0,A2-B0-C2-batch3-r50_vs_A2-B0-C2-batch3-r21,III,True,v3_generado_nuevo
A2-B0-C2-batch3-r48_I,A2-B0-C2-batch3-r48,I,476485,8,0.487,0.21,4.54,5,3271,15.0,2000,cosmog_00500,16938.8,1861.2000000000007,18800.0,0.09900000000000003,8,0.041,1861.2,0.47826086956521735,0.4868551587301586,0,A2-B0-C2-batch3-r48_vs_A2-B0-C2-batch3-r25,I,True,v3_generado_nuevo
A2-B0-C2-batch3-r25_III,A2-B0-C2-batch3-r25,III,474254,8,0.481,0.207,6.78,5,3134,16.0,2000,cosmog_00500,16675.600000000002,2124.4000000000005,18800.000000000004,0.113,8,0.03,2124.4,0.6865671641791045,0.6875,0,A2-B0-C2-batch3-r48_vs_A2-B0-C2-batch3-r25,III,True,v3_generado_nuevo
A2-B0-C2-batch3-r35_I,A2-B0-C2-batch3-r35,I,475224,4,0.657,0.303,4.75,5,3369,14.0,2000,cosmog_00500,16967.0,1833.0000000000005,18800.0,0.09750000000000003,8,0.036,1833.0,0.5312499999999999,0.5410714285714285,0,A2-B0-C2-batch3-r35_vs_A2-B0-C2-batch3-r31,I,True,v3_generado_nuevo
