point_id,w_grav,w_strong,w_em,w_weak,w_exp,w_cool,alc,dmax_grav,seed,acople,phys,viable_d1,acelera_d1,viable_d2,acelera_d2,viable_d3,acelera_d3,viable_d4,acelera_d4,viable_curv,acelera_curv,corr_ok
9,0.0019901208579540253,0.7633509114384651,0.6433751070871949,0.866336403414607,0.6210772143676877,0.2289239065721631,0.4069476658478379,4,0,peso,0,0,0,0,0,0,0,0,0,0,0,1
9,0.0019901208579540253,0.7633509114384651,0.6433751070871949,0.866336403414607,0.6210772143676877,0.2289239065721631,0.4069476658478379,4,0,grado,0,0,0,0,0,0,0,0,0,0,0,1
9,0.0019901208579540253,0.7633509114384651,0.6433751070871949,0.866336403414607,0.6210772143676877,0.2289239065721631,0.4069476658478379,4,0,null_peso,0,0,0,0,0,0,0,0,0,0,0,1
9,0.0019901208579540253,0.7633509114384651,0.6433751070871949,0.866336403414607,0.6210772143676877,0.2289239065721631,0.4069476658478379,4,1,peso,0,0,0,0,0,0,0,0,0,0,0,1
9,0.0019901208579540253,0.7633509114384651,0.6433751070871949,0.866336403414607,0.6210772143676877,0.2289239065721631,0.4069476658478379,4,1,grado,0,0,0,0,0,0,0,0,0,0,0,1
9,0.0019901208579540253,0.7633509114384651,0.6433751070871949,0.866336403414607,0.6210772143676877,0.2289239065721631,0.4069476658478379,4,1,null_peso,0,0,0,0,0,0,0,0,0,0,0,1
9,0.0019901208579540253,0.7633509114384651,0.6433751070871949,0.866336403414607,0.6210772143676877,0.2289239065721631,0.4069476658478379,4,2,peso,0,0,0,0,0,0,0,0,0,0,0,1
9,0.0019901208579540253,0.7633509114384651,0.6433751070871949,0.866336403414607,0.6210772143676877,0.2289239065721631,0.4069476658478379,4,2,grado,0,0,0,0,0,0,0,0,0,0,0,1
9,0.0019901208579540253,0.7633509114384651,0.6433751070871949,0.866336403414607,0.6210772143676877,0.2289239065721631,0.4069476658478379,4,2,null_peso,0,0,0,0,0,0,0,0,0,0,0,1
9,0.0019901208579540253,0.7633509114384651,0.6433751070871949,0.866336403414607,0.6210772143676877,0.2289239065721631,0.4069476658478379,4,3,peso,0,0,0,0,0,0,0,0,0,0,0,1
