rule_id,seed,lote,T_2000,T_4000,masa_solap_2000,masa_disj_2000,masa_solap_4000,masa_disj_4000,d_2000,d_2000_particulas,d_4000,d_4000_particulas,pct_2000,pct_4000,sumideros_2000,sumideros_4000,mismo_signo
A2-B0-C2-batch3-r111,482596,471828,158,255,0.12799999999999997,0.11500000000000005,0.17974999999999988,0.18324999999999989,0.012999999999999928,25.999999999999854,-0.003500000000000003,-14.000000000000012,11.30434782608689,-1.9099590723055964,8,30,False
A2-B0-C2-batch3-r60,477649,471828,187,295,0.1285,0.11900000000000004,0.1812499999999999,0.16799999999999987,0.009499999999999967,18.999999999999932,0.01325000000000004,53.000000000000156,7.983193277310893,7.886904761904791,8,31,True
A2-B0-C2-batch4-r10,572799,571828,280,191,0.13399999999999998,0.131,0.16924999999999987,0.18299999999999988,0.002999999999999975,5.999999999999949,-0.013750000000000012,-55.00000000000005,2.2900763358778433,-7.513661202185804,8,24,False
A2-B0-C2-batch4-r36,575321,571828,90,60,0.15049999999999994,0.1455,0.28724999999999984,0.2709999999999998,0.004999999999999949,9.999999999999897,0.016250000000000042,65.00000000000017,3.436426116838453,5.996309963099651,8,81,True
A2-B0-C2-batch4-r62,577843,571828,264,285,0.11950000000000002,0.10600000000000004,0.15749999999999992,0.16224999999999992,0.013499999999999984,26.999999999999968,-0.004750000000000004,-19.000000000000018,12.735849056603753,-2.9275808936825927,8,30,False
A2-B0-C2-r14,273187,271828,237,112,0.11250000000000003,0.10100000000000003,0.13299999999999992,0.14674999999999994,0.011499999999999996,22.999999999999993,-0.013750000000000012,-55.00000000000005,11.386138613861378,-9.369676320272585,8,19,False
A2-B0-C2-r17,273478,271828,286,202,0.1285,0.11400000000000003,0.17174999999999987,0.1687499999999999,0.014499999999999971,28.999999999999943,0.002999999999999975,11.999999999999899,12.719298245614006,1.777777777777764,8,30,True
A2-B0-C2-r19,273672,271828,788,1322,0.129,0.10850000000000003,0.1674999999999999,0.17474999999999988,0.020499999999999977,40.99999999999995,-0.007249999999999979,-28.999999999999915,18.894009216589836,-4.148783977110148,9,28,False
A2-B0-C2-r20,373769,371828,468,676,0.10750000000000005,0.09100000000000004,0.14049999999999987,0.11849999999999994,0.016500000000000015,33.00000000000003,0.021999999999999936,87.99999999999974,18.13186813186814,18.56540084388181,8,18,True
A2-B0-C2-r28,374545,371828,1029,1282,0.126,0.10200000000000001,0.15549999999999986,0.12699999999999992,0.023999999999999994,47.999999999999986,0.028499999999999942,113.99999999999977,23.529411764705877,22.440944881889735,8,18,True
A2-B0-C2-r39,375612,371828,852,1842,0.11900000000000001,0.08650000000000002,0.15674999999999986,0.12199999999999993,0.03249999999999999,64.99999999999997,0.034749999999999934,138.99999999999974,37.57225433526009,28.483606557377012,8,18,True
