rule_id,seed,brazo,ruta_ic,md5_ic,npart,m_part,dt,eps,t_final,nsteps,E0,Ef,deriva_energia_rel,Ekin0,Ekinf,virial_final,error_rel_momento,segundos,ini_fof_ell0.3_nmin3,ini_ngrupos_ell0.3_nmin3,ini_fof_ell0.3_nmin5,ini_ngrupos_ell0.3_nmin5,ini_fof_ell0.3_nmin10,ini_ngrupos_ell0.3_nmin10,ini_fof_ell0.45_nmin3,ini_ngrupos_ell0.45_nmin3,ini_fof_ell0.45_nmin5,ini_ngrupos_ell0.45_nmin5,ini_fof_ell0.45_nmin10,ini_ngrupos_ell0.45_nmin10,ini_fof_ell0.6_nmin3,ini_ngrupos_ell0.6_nmin3,ini_fof_ell0.6_nmin5,ini_ngrupos_ell0.6_nmin5,ini_fof_ell0.6_nmin10,ini_ngrupos_ell0.6_nmin10,ini_fof_ell1.0_nmin3,ini_ngrupos_ell1.0_nmin3,ini_fof_ell1.0_nmin5,ini_ngrupos_ell1.0_nmin5,ini_fof_ell1.0_nmin10,ini_ngrupos_ell1.0_nmin10,ini_fof_ell2.0_nmin3,ini_ngrupos_ell2.0_nmin3,ini_fof_ell2.0_nmin5,ini_ngrupos_ell2.0_nmin5,ini_fof_ell2.0_nmin10,ini_ngrupos_ell2.0_nmin10,ini_knn8_frac_rho_mayor_100x,ini_knn8_frac_rho_mayor_1000x,fin_fof_ell0.3_nmin3,fin_ngrupos_ell0.3_nmin3,fin_fof_ell0.3_nmin5,fin_ngrupos_ell0.3_nmin5,fin_fof_ell0.3_nmin10,fin_ngrupos_ell0.3_nmin10,fin_fof_ell0.45_nmin3,fin_ngrupos_ell0.45_nmin3,fin_fof_ell0.45_nmin5,fin_ngrupos_ell0.45_nmin5,fin_fof_ell0.45_nmin10,fin_ngrupos_ell0.45_nmin10,fin_fof_ell0.6_nmin3,fin_ngrupos_ell0.6_nmin3,fin_fof_ell0.6_nmin5,fin_ngrupos_ell0.6_nmin5,fin_fof_ell0.6_nmin10,fin_ngrupos_ell0.6_nmin10,fin_fof_ell1.0_nmin3,fin_ngrupos_ell1.0_nmin3,fin_fof_ell1.0_nmin5,fin_ngrupos_ell1.0_nmin5,fin_fof_ell1.0_nmin10,fin_ngrupos_ell1.0_nmin10,fin_fof_ell2.0_nmin3,fin_ngrupos_ell2.0_nmin3,fin_fof_ell2.0_nmin5,fin_ngrupos_ell2.0_nmin5,fin_fof_ell2.0_nmin10,fin_ngrupos_ell2.0_nmin10,fin_knn8_frac_rho_mayor_100x,fin_knn8_frac_rho_mayor_1000x
A2-B0-C2-batch4-r62,577843,solap,/Users/alexis/phantom_cs073/bateria_fase7_f703_organizacion/A2-B0-C2-batch4-r62_s577843_f703_solap/cosmogenesis_ic.txt,47bbfea243dec7234ed964d600d83894,2000,9.4,0.002,0.6,0.5,250,-2951834.6117235827,-2951843.6360557647,-3.0571943787686996e-06,25380.000000000007,298637.22626920743,0.09187478373756709,8.395275039878963e-15,116.7,0.038500000000000006,12,0.032,8,0.0105,2,0.1135,16,0.10600000000000001,11,0.09600000000000002,8,0.17350000000000002,31,0.14,10,0.135,8,0.4995,152,0.33399999999999996,53,0.20350000000000001,9,0.6955,24,0.6925,22,0.676,17,0.1245,0.05,0.185,76,0.089,17,0.0655,8,0.35200000000000004,149,0.155,32,0.09200000000000001,8,0.4595,189,0.22300000000000003,50,0.11100000000000002,8,0.5405,194,0.3345,72,0.1535,8,0.6715,171,0.5505,102,0.304,25,0.1635,0.1065
A2-B0-C2-batch4-r62,577843,disj,/Users/alexis/phantom_cs073/bateria_fase7_f703_organizacion/A2-B0-C2-batch4-r62_s577843_f703_disj/cosmogenesis_ic.txt,bab4c1649feb99ca40ca9f3971bd1830,2000,9.4,0.002,0.6,0.5,250,-2945820.092124077,-2945829.681082944,-3.2551067502496893e-06,25380.000000000007,281703.9992095224,0.08728150566781863,4.772787095382655e-15,118.0,0.034,12,0.025500000000000002,7,0.005,1,0.09600000000000002,16,0.09,12,0.07700000000000001,8,0.185,50,0.12350000000000001,12,0.113,8,0.5579999999999999,157,0.3975,63,0.2525,18,0.7055,30,0.6970000000000001,25,0.6829999999999999,21,0.1085,0.0475,0.221,94,0.0925,17,0.0665,8,0.3775,166,0.158,35,0.0815,8,0.48200000000000004,207,0.20650000000000002,46,0.098,8,0.573,216,0.31300000000000006,66,0.1375,8,0.6940000000000001,174,0.5785,109,0.332,34,0.1555,0.1015
A2-B0-C2-r14,273187,solap,/Users/alexis/phantom_cs073/bateria_fase7_f703_organizacion/A2-B0-C2-r14_s273187_f703_solap/cosmogenesis_ic.txt,f9b90655980c8c756cf2e603c6ab30da,2000,9.4,0.002,0.6,0.5,250,-2948305.6054233336,-2948313.45851527,-2.6635949550524616e-06,25380.000000000004,289627.9212159283,0.089448166983175,5.861019261475031e-15,185.7,0.038500000000000006,10,0.037,9,0.006000000000000001,1,0.105,15,0.0975,10,0.0915,8,0.187,45,0.1385,14,0.123,8,0.5155,143,0.3695,57,0.24050000000000002,14,0.6885000000000001,38,0.6755,31,0.6405,21,0.118,0.0485,0.20550000000000002,87,0.1025,22,0.064,8,0.361,154,0.1705,38,0.091,9,0.437,177,0.22550000000000003,50,0.11,9,0.5335000000000001,200,0.29300000000000004,59,0.14600000000000002,9,0.6555,167,0.5395,101,0.3155,31,0.1675,0.1055
A2-B0-C2-r14,273187,disj,/Users/alexis/phantom_cs073/bateria_fase7_f703_organizacion/A2-B0-C2-r14_s273187_f703_disj/cosmogenesis_ic.txt,c0a9263f9e731b86aee6cdc889759868,2000,9.4,0.002,0.6,0.5,250,-2935688.4061239953,-2935695.7899597576,-2.5151973713798997e-06,25380.000000000007,275459.72038401477,0.08578211783786369,5.34766653792497e-15,185.2,0.036500000000000005,11,0.032,8,0.0105,2,0.08700000000000001,12,0.081,8,0.081,8,0.19,56,0.12100000000000001,13,0.10850000000000001,8,0.5415000000000001,156,0.3915,65,0.2215,12,0.7060000000000001,19,0.7045,18,0.693,15,0.1,0.0445,0.20900000000000002,90,0.0985,23,0.059000000000000004,8,0.36450000000000005,158,0.1635,37,0.08650000000000001,8,0.47700000000000004,204,0.226,52,0.10300000000000001,8,0.5720000000000001,220,0.30800000000000005,66,0.1355,8,0.686,167,0.588,112,0.3265,34,0.164,0.106
A2-B0-C2-r17,273478,solap,/Users/alexis/phantom_cs073/bateria_fase7_f703_organizacion/A2-B0-C2-r17_s273478_f703_solap/cosmogenesis_ic.txt,1a4ce6c61340af4c9f8adde07c8e5df2,2000,9.4,0.002,0.6,0.5,250,-2991530.8664318128,-2991545.7137819054,-4.963127828366393e-06,25380.000000000007,348321.4306989566,0.10429200193623228,1.191396345679321e-14,185.6,0.039,13,0.0315,8,0.01,2,0.129,15,0.11650000000000002,8,0.11650000000000002,8,0.22,48,0.161,10,0.156,8,0.527,137,0.3895,56,0.284,20,0.7125,35,0.7055,31,0.6685000000000001,20,0.139,0.0505,0.20400000000000001,85,0.0995,20,0.069,8,0.369,153,0.186,41,0.0985,8,0.48150000000000004,190,0.2465,52,0.125,8,0.563,195,0.34850000000000003,72,0.171,9,0.6845,166,0.5845,108,0.331,28,0.182,0.122
A2-B0-C2-r17,273478,disj,/Users/alexis/phantom_cs073/bateria_fase7_f703_organizacion/A2-B0-C2-r17_s273478_f703_disj/cosmogenesis_ic.txt,a782f0561851d2aba24d57db5f2f1dd6,2000,9.4,0.002,0.6,0.5,250,-2978983.1259260764,-2978991.685360601,-2.8732739203000444e-06,25380.0,320083.0573931909,0.09702206901987687,9.56771310125405e-15,185.1,0.044000000000000004,13,0.0355,8,0.021,4,0.1155,20,0.0985,9,0.09600000000000002,8,0.2185,61,0.14400000000000002,13,0.129,8,0.557,155,0.41150000000000003,70,0.22450000000000003,9,0.7245,28,0.7210000000000001,26,0.6995,19,0.1225,0.0485,0.23300000000000004,99,0.11100000000000002,25,0.066,8,0.4005,160,0.221,53,0.0955,8,0.49850000000000005,197,0.28,66,0.122,9,0.5865,208,0.372,81,0.1685,10,0.7005,174,0.6175,127,0.281,23,0.184,0.11
A2-B0-C2-r19,273672,solap,/Users/alexis/phantom_cs073/bateria_fase7_f703_organizacion/A2-B0-C2-r19_s273672_f703_solap/cosmogenesis_ic.txt,1b70321706ff648d00cbda73724869ef,2000,9.4,0.002,0.6,0.5,250,-2988075.42568538,-2988084.060138143,-2.8896368173280104e-06,25380.0,339217.72714269947,0.10194979260354889,7.547764406631638e-15,184.9,0.045,12,0.038500000000000006,8,0.027,5,0.1325,17,0.12,9,0.1175,8,0.20900000000000002,39,0.16699999999999998,13,0.153,8,0.512,128,0.3735,47,0.2575,11,0.6995,37,0.6920000000000001,33,0.6525,22,0.141,0.05,0.20800000000000002,90,0.08800000000000001,16,0.0655,8,0.3695,159,0.165,35,0.08950000000000001,8,0.46,189,0.2155,43,0.11850000000000001,8,0.5375,187,0.3275,63,0.169,9,0.672,155,0.5695,99,0.337,29,0.1885,0.1155
A2-B0-C2-r19,273672,disj,/Users/alexis/phantom_cs073/bateria_fase7_f703_organizacion/A2-B0-C2-r19_s273672_f703_disj/cosmogenesis_ic.txt,983ce59cebd58682a12828e301eace07,2000,9.4,0.002,0.6,0.5,250,-2956881.8904251917,-2956890.129142307,-2.7862854928911187e-06,25380.000000000007,288575.6163129812,0.08891654971773505,5.513399756592487e-15,184.1,0.033,9,0.031000000000000003,8,0.005,1,0.10200000000000001,21,0.0815,8,0.0815,8,0.2225,68,0.134,13,0.12100000000000001,8,0.5670000000000001,163,0.406,69,0.239,14,0.703,32,0.6955,28,0.675,22,0.106,0.0465,0.22899999999999998,98,0.10900000000000001,26,0.059000000000000004,8,0.388,159,0.20900000000000002,52,0.0855,8,0.48850000000000005,196,0.2675,67,0.1,8,0.5765,202,0.3765,87,0.148,10,0.6960000000000001,163,0.6185,119,0.33899999999999997,34,0.1585,0.1
A2-B0-C2-r20,373769,solap,/Users/alexis/phantom_cs073/bateria_fase7_f703_organizacion/A2-B0-C2-r20_s373769_f703_solap/cosmogenesis_ic.txt,d9cd1ca81f221d80ea6bdd43bf383f96,2000,9.4,0.002,0.6,0.5,250,-2923695.9257478504,-2923710.9356073076,-5.133864751447096e-06,25380.000000000007,279494.2362550078,0.08725455325501748,8.600721140385474e-15,131.6,0.038,10,0.035,8,0.011000000000000001,2,0.1075,19,0.08950000000000001,8,0.08950000000000001,8,0.185,46,0.129,12,0.11900000000000001,8,0.46549999999999997,134,0.31300000000000006,45,0.21650000000000003,13,0.6545,46,0.64,37,0.5960000000000001,24,0.1095,0.047,0.1855,76,0.08700000000000001,15,0.068,8,0.35300000000000004,148,0.159,32,0.094,9,0.4375,180,0.2125,45,0.10700000000000001,9,0.524,194,0.2925,58,0.147,9,0.6204999999999999,169,0.5055,103,0.253,23,0.162,0.103
A2-B0-C2-r20,373769,disj,/Users/alexis/phantom_cs073/bateria_fase7_f703_organizacion/A2-B0-C2-r20_s373769_f703_disj/cosmogenesis_ic.txt,f3ef9c6c215a634d26b6085c547c9673,2000,9.4,0.002,0.6,0.5,250,-2890142.9719865513,-2890151.9896448078,-3.1201426171182313e-06,25380.0,253740.52729296626,0.0807090337617889,7.285069581197867e-15,131.0,0.035,10,0.032,8,0.011500000000000002,2,0.08950000000000001,21,0.071,9,0.06849999999999999,8,0.1645,56,0.091,10,0.086,8,0.45600000000000007,137,0.3025,46,0.1945,9,0.655,39,0.65,36,0.6154999999999999,26,0.092,0.045,0.17550000000000002,72,0.09,18,0.063,8,0.3265,143,0.134,28,0.0805,8,0.425,180,0.1995,47,0.095,8,0.506,193,0.289,68,0.1265,9,0.631,176,0.511,108,0.2325,20,0.144,0.093
A2-B0-C2-r28,374545,solap,/Users/alexis/phantom_cs073/bateria_fase7_f703_organizacion/A2-B0-C2-r28_s374545_f703_solap/cosmogenesis_ic.txt,9e3008b8552b4152f7501da7cc775fa6,2000,9.4,0.002,0.6,0.5,250,-2967309.9837338314,-2967319.423276471,-3.18117847184167e-06,25380.000000000004,330499.3301368827,0.10021755434400534,3.642224496458314e-15,132.1,0.0455,13,0.038,8,0.022000000000000002,4,0.127,17,0.11199999999999999,8,0.11199999999999999,8,0.20600000000000002,41,0.1585,12,0.147,8,0.47200000000000003,109,0.3525,39,0.265,10,0.6555,43,0.638,33,0.5955,20,0.137,0.0505,0.188,75,0.097,19,0.0665,8,0.3175,123,0.1675,36,0.089,8,0.42300000000000004,164,0.23300000000000004,51,0.113,8,0.4975,165,0.3185,60,0.1705,9,0.6185,146,0.534,98,0.2775,19,0.183,0.1155
A2-B0-C2-r28,374545,disj,/Users/alexis/phantom_cs073/bateria_fase7_f703_organizacion/A2-B0-C2-r28_s374545_f703_disj/cosmogenesis_ic.txt,aa421893d2ca31e39beed731050b0697,2000,9.4,0.002,0.6,0.5,250,-2907789.40039434,-2907800.687612611,-3.88171793641336e-06,25380.0,258348.47183896138,0.08159706281295714,9.605554274094679e-15,131.6,0.032,10,0.029,8,0.0,0,0.0915,19,0.078,10,0.07300000000000001,8,0.17,46,0.113,10,0.10700000000000001,8,0.4995,152,0.3295,53,0.21,15,0.6679999999999999,38,0.666,37,0.6385000000000001,29,0.0965,0.046,0.182,78,0.0765,14,0.061,8,0.34149999999999997,145,0.148,31,0.085,8,0.43900000000000006,183,0.19200000000000003,40,0.10350000000000001,9,0.5385000000000001,195,0.3215,71,0.13949999999999999,9,0.646,163,0.5505,109,0.28600000000000003,27,0.151,0.098
A2-B0-C2-r39,375612,solap,/Users/alexis/phantom_cs073/bateria_fase7_f703_organizacion/A2-B0-C2-r39_s375612_f703_solap/cosmogenesis_ic.txt,93f6cca05ffaf16afc89619c57e41a21,2000,9.4,0.002,0.6,0.5,250,-2926242.786440969,-2926253.7989536766,-3.7633626159267043e-06,25380.00000000001,286422.59975234995,0.0891538904658162,5.1350018524728814e-15,132.1,0.042,13,0.034,8,0.005,1,0.12,16,0.1065,8,0.1065,8,0.177,36,0.133,9,0.1305,8,0.42650000000000005,112,0.31,42,0.20900000000000002,8,0.6215,64,0.5965,50,0.516,26,0.1255,0.0485,0.17900000000000002,72,0.08650000000000001,16,0.0655,8,0.29700000000000004,123,0.14350000000000002,30,0.084,8,0.3825,157,0.191,40,0.105,8,0.4635000000000001,166,0.2675,48,0.156,9,0.5905,157,0.47650000000000003,90,0.269,23,0.1645,0.1035
A2-B0-C2-r39,375612,disj,/Users/alexis/phantom_cs073/bateria_fase7_f703_organizacion/A2-B0-C2-r39_s375612_f703_disj/cosmogenesis_ic.txt,37b606e0918beb64f4a5d88ddbea8fd7,2000,9.4,0.002,0.6,0.5,250,-2850344.2956281654,-2850346.63002127,-8.189863617945364e-07,25380.000000000007,189609.6588554554,0.062372495140552445,6.125060553109479e-15,131.6,0.029,11,0.0245,8,0.0,0,0.0785,22,0.05700000000000001,8,0.0525,7,0.14100000000000001,46,0.0805,8,0.0805,8,0.4055,139,0.24950000000000003,47,0.14100000000000001,9,0.608,53,0.59,43,0.5265000000000001,25,0.08,0.045,0.147,66,0.060500000000000005,12,0.041,6,0.278,129,0.10600000000000001,24,0.0625,8,0.37550000000000006,166,0.16,38,0.08,8,0.4660000000000001,183,0.253,59,0.1105,8,0.5805,160,0.48950000000000005,108,0.17650000000000002,13,0.1215,0.08
