rule_id,seed,lote,n_aristas,n_triangulos_min,n_triangulos_max,dif_triangulos,masa_libre,masa_conc,masa_disp,masa_solap,masa_disj,C_libre,C_conc,C_disp,C_solap,C_disj,multi_libre,multi_conc,multi_disp,multi_solap,multi_disj,gini_libre,gini_conc,gini_disp,gini_solap,gini_disj,pend_libre,pend_conc,pend_disp,pend_solap,pend_disj,gigante_libre,gigante_conc,gigante_disp,gigante_solap,gigante_disj,rango_masa,rango_masa_particulas,brazo_masa_max,brazo_masa_min,d_solap_disj,d_conc_disp,rango_C,rango_multi
A2-B0-C2-batch3-r0,471829,471828,2308,57,57,0,0.14849999999999997,0.14899999999999994,0.14999999999999994,0.15399999999999994,0.1455,0.03425,0.027916666666666666,0.03,0.021166666666666667,0.03191666666666667,0.023952095808383235,0.22058823529411764,0.0,0.6896551724137931,0.0,0.9230263157894737,0.9593187134502924,0.9145,0.9809444444444444,0.9154941520467836,1.0241424558496564,1.0282319761226375,0.9823305368591656,1.0734480628296532,1.069929993807504,1733,1733,1733,1706,1729,0.008499999999999952,16.999999999999904,solap,disj,0.008499999999999952,-0.0010000000000000009,0.013083333333333336,0.6896551724137931
A2-B0-C2-batch3-r111,482596,471828,3017,158,158,0,0.11700000000000002,0.12100000000000001,0.11950000000000002,0.12799999999999997,0.11500000000000005,0.06595000000000001,0.05041666666666667,0.07103333333333334,0.037649999999999996,0.06138333333333333,0.01935483870967742,0.27146814404432135,0.0021141649048625794,0.8655913978494624,0.0,0.7920949367088608,0.9059198312236287,0.7659810126582278,0.964753164556962,0.7830696202531645,0.8217836957600434,0.7676123667957634,0.739309514234362,0.9255904669756713,0.7046120120139873,1868,1872,1872,1846,1870,0.012999999999999928,25.999999999999854,solap,disj,0.012999999999999928,0.0014999999999999875,0.03338333333333334,0.8655913978494624
A2-B0-C2-batch3-r60,477649,471828,3068,187,187,0,0.11400000000000003,0.11850000000000001,0.11450000000000002,0.1285,0.11900000000000004,0.07603333333333333,0.06018333333333333,0.07968333333333334,0.041800000000000004,0.0691,0.025594149908592323,0.2627906976744186,0.0017857142857142857,0.9414634146341463,0.0,0.7620276292335116,0.8845374331550803,0.7214928698752228,0.9610204991087344,0.7452005347593583,0.887782888033521,0.6787475458182276,0.827342520030118,0.9098342601985704,0.7339393811653802,1853,1853,1853,1819,1851,0.014499999999999971,28.999999999999943,solap,libre,0.009499999999999967,0.00399999999999999,0.03788333333333334,0.9414634146341463
A2-B0-C2-batch4-r10,572799,571828,2994,280,280,0,0.1285,0.13299999999999998,0.12500000000000003,0.13399999999999998,0.131,0.11611666666666665,0.09286666666666668,0.11921666666666667,0.06470000000000001,0.11358333333333333,0.037037037037037035,0.2737341772151899,0.0011918951132300357,0.8173913043478261,0.0,0.679052380952381,0.8383642857142857,0.5819952380952381,0.9374928571428571,0.6449988095238095,0.6881659802165182,0.7911618263470261,0.7275101880605057,0.9400315545743293,0.7663107131447716,1827,1827,1829,1783,1829,0.008999999999999952,17.999999999999904,solap,disp,0.002999999999999975,0.007999999999999952,0.05451666666666666,0.8173913043478261
A2-B0-C2-batch4-r36,575321,571828,2343,89,90,1,0.14999999999999994,0.15099999999999997,0.14499999999999996,0.15049999999999994,0.1455,0.05125,0.04366666666666667,0.05375,0.033833333333333326,0.0505,0.007547169811320755,0.28365384615384615,0.0,0.7122302158273381,0.0,0.8714063670411984,0.9367777777777778,0.865,0.9679592592592593,0.8679666666666667,1.0063438903701858,1.029877750580083,1.0216718360872568,1.128148016943193,1.1029927692482433,1755,1749,1741,1732,1747,0.006000000000000005,12.00000000000001,conc,disp,0.004999999999999949,0.006000000000000005,0.019916666666666673,0.7122302158273381
A2-B0-C2-batch4-r62,577843,571828,3299,264,264,0,0.10600000000000004,0.11000000000000003,0.10700000000000001,0.11950000000000002,0.10600000000000004,0.10456666666666667,0.09033333333333333,0.10741666666666667,0.05751666666666667,0.10728333333333333,0.02990897269180754,0.2637729549248748,0.002531645569620253,0.8782894736842105,0.0,0.6841022727272728,0.844594696969697,0.607979797979798,0.9447916666666667,0.649090909090909,0.697959942524957,0.5821077004150746,0.6849163316520531,0.736353205416688,0.67415383037924,1916,1916,1916,1895,1919,0.013499999999999984,26.999999999999968,solap,libre,0.013499999999999984,0.0030000000000000165,0.04990000000000001,0.8782894736842105
A2-B0-C2-r14,273187,271828,3296,237,237,0,0.10350000000000004,0.10650000000000004,0.10300000000000001,0.11250000000000003,0.10100000000000003,0.0965,0.07868333333333334,0.0969,0.055883333333333333,0.10186666666666667,0.021551724137931036,0.301707779886148,0.0,0.8904593639575972,0.0,0.702739099859353,0.8664226441631505,0.6445,0.9454212376933896,0.6768741209563994,0.701250833582163,0.7732722327539264,0.6686964460838833,0.946396448298778,0.7564330328458141,1930,1928,1932,1888,1932,0.011499999999999996,22.999999999999993,solap,disj,0.011499999999999996,0.003500000000000031,0.04598333333333334,0.8904593639575972
A2-B0-C2-r17,273478,271828,3165,286,286,0,0.11900000000000004,0.12350000000000001,0.11750000000000002,0.1285,0.11400000000000003,0.10773333333333332,0.09606666666666666,0.1156,0.05983333333333333,0.11395000000000001,0.025089605734767026,0.28773584905660377,0.0011668611435239206,0.9331103678929766,0.0,0.6633904428904429,0.8365244755244755,0.572995337995338,0.9451701631701632,0.6268041958041958,0.7492549812947717,0.8013517274584973,0.7574227682711859,0.8025829619690279,0.7965380610092713,1862,1862,1858,1806,1862,0.014499999999999971,28.999999999999943,solap,disj,0.014499999999999971,0.0059999999999999915,0.055766666666666666,0.9331103678929766
A2-B0-C2-r19,273672,271828,3679,788,788,0,0.10450000000000001,0.10700000000000001,0.11150000000000004,0.129,0.10850000000000003,0.2692404761904762,0.22805,0.30443809523809523,0.1414690476190476,0.29419285714285714,0.14188200877620674,0.31209818819403856,0.08689655172413793,0.8866213151927438,0.0,0.4436260575296108,0.6261797800338409,0.3160571065989848,0.8620905245346869,0.33235744500846026,0.6038384257850166,0.632748702431926,0.7470767868597675,0.6452050303584397,0.64068667578789,1956,1958,1953,1908,1951,0.024499999999999994,48.999999999999986,solap,libre,0.020499999999999977,-0.004500000000000032,0.16296904761904762,0.8866213151927438
A2-B0-C2-r20,373769,371828,3706,468,468,0,0.09400000000000003,0.09600000000000003,0.09850000000000003,0.10750000000000005,0.09100000000000004,0.16733333333333333,0.1291,0.18491666666666667,0.08986666666666668,0.16701666666666665,0.054845980465815174,0.29844961240310075,0.0007127583749109052,0.8891013384321224,0.0,0.5267172364672364,0.7561360398860398,0.299997150997151,0.9109537037037037,0.4629465811965812,0.6964831666986937,0.5863742273651006,0.6585059605682978,0.6292971415772239,0.6222378802679298,1964,1966,1966,1915,1960,0.016500000000000015,33.00000000000003,solap,disj,0.016500000000000015,-0.0025000000000000022,0.09505,0.8891013384321224
