n_componentes,giant_frac,lambda2,lambda_max,std_eig,mean_eig,d_s_t0.05,d_s_t0.2,d_s_t1.0,d_s_t5.0,N,seed_ejes,t_s
1,1.0,0.020499942938086126,12.146418326308602,2.499494148822917,5.023,0.49429409658907275,1.5666799723242946,1.983163169455434,2.1978003715475154,2000,2000,1.83
1,1.0,0.02042303311136828,11.202462012520991,2.470671163874303,4.972,0.489710513028875,1.5566052040474503,1.9818370367602007,2.237805319500975,2000,2001,1.87
1,1.0,0.018742841463336282,10.581991245292816,2.459983536530275,4.941,0.4866920643232433,1.5457529905528347,1.935622392928721,2.217992952943849,2000,2002,1.91
1,1.0,0.012954315523288431,11.38303702104325,2.464164716491168,4.9565,0.4882553581593285,1.553322094127914,2.0178221862261125,2.3143253830281765,4000,2000,14.65
1,1.0,0.012644885329289486,11.314014860568935,2.452337609302603,4.9405,0.486877702901225,1.5508077266929448,2.011898312893578,2.3170516694462577,4000,2001,13.61
1,1.0,0.012317184539462078,11.258237015082186,2.4699999999999993,4.96,0.4884729547142612,1.5527614733503725,1.9959995629615932,2.261900990870547,4000,2002,13.75
1,1.0,0.008422450401103995,11.462284909555946,2.4480293605265433,4.9265,0.48552960702954095,1.5470086146960185,2.011586877586133,2.36046253668043,8000,2000,95.57
1,1.0,0.007963519580824013,11.421929311944858,2.4498724329033936,4.93775,0.4866395895419018,1.5498774652174774,2.0164198099407145,2.3667610884757657,8000,2001,103.91
1,1.0,0.008003368661783628,11.357367010758198,2.454313345927938,4.936,0.4863525374177087,1.5481559213375462,2.002498485082498,2.345184828861143,8000,2002,95.78
1,1.0,0.004991164014534114,12.270793774022856,2.452384168391038,4.941375,0.4869817172418891,1.5521570363686692,2.0521000701229895,2.421315364690031,16000,2000,838.95
