umbral_x_media,masa_sobre_umbral_media,ini_delta,ini_signos,ini_pct,ini_p,fin_delta,fin_signos,fin_pct,fin_p,aporte_dinamica,orden_fin_vs_phantom,orden_ini_vs_phantom,pearson_fin_vs_phantom,pearson_ini_vs_phantom
10,0.5400833333333334,-0.033791666666666664,1,-5.538860811364567,0.0009765625,-0.028166666666666677,0,-5.082706766917294,0.0009765625,0.005624999999999988,0,1,0.7472339568998885,0.7328959226091707
30,0.2707916666666667,0.0037500000000000103,7,1.5032570569567436,0.7333984375,-0.005333333333333333,5,-1.9503275940880693,0.43505859375,-0.009083333333333343,5,7,0.8597316423181789,0.8805625375718994
100,0.17939583333333334,0.01904166666666667,12,15.538932335940153,0.00048828125,0.010875000000000004,9,6.251497005988027,0.04931640625,-0.008166666666666664,9,12,0.9468963024218009,0.9843508144880319
300,0.14341666666666666,0.006124999999999999,12,8.472622478386167,0.00048828125,0.01275,10,9.303739738522344,0.00244140625,0.006625,10,12,0.9633503769143105,0.9896667277726025
1000,0.11404166666666667,0.001958333333333335,10,4.079861111111114,0.00390625,0.008833333333333332,9,8.057772709996197,0.0048828125,0.006874999999999997,9,10,0.9569929776425752,0.9357739095573612
3000,0.086875,0.0035416666666666674,9,11.54891304347826,0.005859375,0.0038333333333333297,9,4.512015693967628,0.0146484375,0.0002916666666666623,9,9,0.9260168292193967,0.8330083695429938
10000,0.06439583333333333,4.1666666666666665e-05,7,9.090909090909092,0.24609375,0.004791666666666668,9,7.728494623655913,0.01171875,0.004750000000000002,9,7,0.8975383996831998,0.4938593702363195
30000,0.04010416666666667,0.0,0,,,0.0043749999999999995,8,11.538461538461538,0.05078125,0.0043749999999999995,8,0,0.8127582096288606,
49453,0.027625,0.0,0,,,0.007,9,29.015544041450774,0.0087890625,0.007,9,0,0.8642429171636681,
