patch,seed,N,arm,lam,frac_ferm,d_s,delta_rel,n_ejes,PR,ejes_reales,holonomia,gigante,diam_fin,pasos
5,10336,2500,excl,0.28,0.57,5.269,0.045,0,7.55,0,0.957,0.892,3,17
5,10336,2500,sin_excl,0.28,0.57,5.343,0.045,3,5.045,1,0.741,0.902,3,17
5,10336,2500,excl_barajada,0.28,0.57,5.115,0.048,1,6.929,1,0.894,0.907,4,17
5,10336,2500,excl_bosones,0.28,0.57,5.11,0.049,1,5.713,1,0.923,0.909,4,17
5,10336,2500,marco_congelado,0.28,0.57,5.148,0.045,0,7.967,0,0.899,0.907,3,17
2,4141,2500,excl,0.473,0.63,5.341,0.046,1,6.678,1,0.893,0.902,4,17
2,4141,2500,sin_excl,0.473,0.63,5.227,0.051,1,4.589,1,0.938,0.903,3,17
2,4141,2500,excl_barajada,0.473,0.63,5.23,0.047,1,6.95,1,0.918,0.901,4,17
2,4141,2500,excl_bosones,0.473,0.63,5.311,0.048,1,5.944,1,0.942,0.909,4,17
2,4141,2500,marco_congelado,0.473,0.63,5.128,0.045,0,7.97,0,0.882,0.913,4,17
4,8271,2500,excl,0.254,0.612,5.247,0.048,0,7.637,0,1.071,0.909,4,17
4,8271,2500,sin_excl,0.254,0.612,5.417,0.046,2,5.39,1,0.795,0.894,4,17
4,8271,2500,excl_barajada,0.254,0.612,5.512,0.045,0,7.233,0,1.149,0.899,4,17
4,8271,2500,excl_bosones,0.254,0.612,5.086,0.045,2,6.005,1,0.861,0.916,4,17
4,8271,2500,marco_congelado,0.254,0.612,5.459,0.051,0,7.972,0,0.893,0.908,4,17
0,11,2500,excl,0.333,0.558,5.558,0.045,0,7.413,0,0.953,0.904,4,17
0,11,2500,sin_excl,0.333,0.558,5.676,0.043,2,5.121,1,0.898,0.908,3,17
0,11,2500,excl_barajada,0.333,0.558,4.43,0.045,0,7.331,0,0.955,0.895,4,17
0,11,2500,excl_bosones,0.333,0.558,4.973,0.05,1,6.484,1,0.837,0.912,4,17
0,11,2500,marco_congelado,0.333,0.558,5.354,0.042,0,7.974,0,0.883,0.902,3,17
1,2076,2500,excl,0.347,0.561,5.274,0.048,0,7.501,0,0.837,0.9,4,17
1,2076,2500,sin_excl,0.347,0.561,5.511,0.046,1,5.265,1,0.801,0.912,3,17
1,2076,2500,excl_barajada,0.347,0.561,5.894,0.044,1,7.009,1,0.905,0.908,4,17
1,2076,2500,excl_bosones,0.347,0.561,5.126,0.046,1,5.947,1,0.948,0.91,3,17
1,2076,2500,marco_congelado,0.347,0.561,5.538,0.05,0,7.977,0,1.005,0.912,1,17
3,6206,2500,excl,0.753,0.899,5.482,0.046,1,1.195,1,0.931,0.909,4,17
3,6206,2500,sin_excl,0.753,0.899,5.515,0.04,2,4.633,1,0.82,0.914,4,17
3,6206,2500,excl_barajada,0.753,0.899,5.235,0.049,1,1.382,1,0.923,0.908,4,17
3,6206,2500,excl_bosones,0.753,0.899,5.556,0.047,2,5.808,1,0.855,0.898,3,17
3,6206,2500,marco_congelado,0.753,0.899,5.526,0.045,0,7.983,0,0.997,0.907,4,17
6,12401,2500,excl,0.213,0.644,5.27,0.044,0,7.63,0,0.914,0.899,3,17
6,12401,2500,sin_excl,0.213,0.644,5.061,0.045,1,4.015,1,1.016,0.912,3,17
6,12401,2500,excl_barajada,0.213,0.644,5.187,0.05,0,7.548,0,0.978,0.907,4,17
6,12401,2500,excl_bosones,0.213,0.644,5.195,0.047,3,6.062,1,0.923,0.912,4,17
6,12401,2500,marco_congelado,0.213,0.644,5.281,0.039,0,7.981,0,0.929,0.911,4,17
7,14466,2500,excl,0.242,0.767,5.078,0.048,0,7.85,0,0.99,0.898,4,17
7,14466,2500,sin_excl,0.242,0.767,5.326,0.039,3,5.679,1,1.039,0.911,3,17
7,14466,2500,excl_barajada,0.242,0.767,4.894,0.046,0,7.742,0,0.878,0.919,3,17
7,14466,2500,excl_bosones,0.242,0.767,4.104,0.047,1,5.771,1,1.032,0.899,4,17
7,14466,2500,marco_congelado,0.242,0.767,5.044,0.048,0,7.976,0,0.867,0.904,3,17
9,18596,2500,excl,0.189,0.556,5.237,0.042,1,6.775,1,0.947,0.903,4,17
9,18596,2500,sin_excl,0.189,0.556,5.445,0.045,1,3.825,1,0.88,0.912,4,17
9,18596,2500,excl_barajada,0.189,0.556,5.189,0.041,1,6.428,1,0.914,0.908,4,17
9,18596,2500,excl_bosones,0.189,0.556,4.949,0.046,2,6.088,1,1.126,0.906,4,17
9,18596,2500,marco_congelado,0.189,0.556,5.176,0.046,0,7.974,0,1.02,0.892,4,17
10,20661,2500,excl,0.237,0.602,5.57,0.05,0,7.345,0,0.964,0.907,4,17
10,20661,2500,sin_excl,0.237,0.602,5.429,0.038,1,4.588,1,0.782,0.912,3,17
10,20661,2500,excl_barajada,0.237,0.602,5.262,0.046,1,7.275,1,1.034,0.898,4,17
10,20661,2500,excl_bosones,0.237,0.602,5.398,0.048,2,5.368,1,0.888,0.915,3,17
10,20661,2500,marco_congelado,0.237,0.602,5.251,0.049,0,7.977,0,0.942,0.911,4,17
8,16531,2500,excl,0.544,0.594,5.252,0.05,1,3.128,1,0.845,0.904,4,17
8,16531,2500,sin_excl,0.544,0.594,5.648,0.043,1,4.379,1,0.766,0.913,4,17
8,16531,2500,excl_barajada,0.544,0.594,5.185,0.049,1,5.813,1,1.077,0.904,4,17
8,16531,2500,excl_bosones,0.544,0.594,5.367,0.047,1,6.892,1,1.005,0.906,3,17
8,16531,2500,marco_congelado,0.544,0.594,5.486,0.035,0,7.981,0,0.92,0.913,3,17
11,22726,2500,excl,0.336,0.644,5.45,0.049,0,7.678,0,1.077,0.914,4,17
11,22726,2500,sin_excl,0.336,0.644,5.186,0.041,1,4.246,1,0.844,0.901,4,17
11,22726,2500,excl_barajada,0.336,0.644,5.068,0.045,0,7.671,0,0.914,0.9,4,17
11,22726,2500,excl_bosones,0.336,0.644,4.4,0.048,2,5.765,1,0.897,0.899,3,17
11,22726,2500,marco_congelado,0.336,0.644,5.482,0.043,0,7.974,0,1.028,0.906,3,17
12,24791,2500,excl,0.228,0.52,5.503,0.049,1,7.384,1,1.003,0.916,4,17
12,24791,2500,sin_excl,0.228,0.52,5.31,0.048,1,4.311,1,0.85,0.904,4,17
12,24791,2500,excl_barajada,0.228,0.52,5.546,0.042,1,6.861,1,0.852,0.909,4,17
12,24791,2500,excl_bosones,0.228,0.52,5.244,0.049,2,6.579,1,1.013,0.894,4,17
12,24791,2500,marco_congelado,0.228,0.52,5.329,0.044,0,7.981,0,0.95,0.891,4,17
15,30986,2500,excl,0.34,0.732,5.373,0.05,0,7.683,0,0.938,0.903,4,17
15,30986,2500,sin_excl,0.34,0.732,5.695,0.046,1,5.263,1,0.983,0.914,4,17
15,30986,2500,excl_barajada,0.34,0.732,5.133,0.049,0,7.737,0,0.917,0.908,4,17
15,30986,2500,excl_bosones,0.34,0.732,5.044,0.044,1,5.002,1,0.872,0.908,4,17
15,30986,2500,marco_congelado,0.34,0.732,5.277,0.052,0,7.981,0,0.933,0.911,4,17
13,26856,2500,excl,0.291,0.727,5.402,0.052,0,7.841,0,0.95,0.901,4,17
13,26856,2500,sin_excl,0.291,0.727,5.373,0.044,1,3.962,1,0.936,0.908,4,17
13,26856,2500,excl_barajada,0.291,0.727,5.602,0.044,0,7.72,0,0.919,0.908,4,17
13,26856,2500,excl_bosones,0.291,0.727,5.394,0.052,1,6.086,1,0.933,0.908,4,17
13,26856,2500,marco_congelado,0.291,0.727,5.761,0.048,0,7.976,0,1.027,0.91,4,17
14,28921,2500,excl,0.794,0.764,5.245,0.041,1,2.31,1,0.678,0.91,3,17
14,28921,2500,sin_excl,0.794,0.764,5.886,0.045,1,4.286,1,0.857,0.912,3,17
14,28921,2500,excl_barajada,0.794,0.764,5.294,0.047,1,1.325,1,0.831,0.907,4,17
14,28921,2500,excl_bosones,0.794,0.764,5.544,0.047,1,5.416,1,1.04,0.902,4,17
14,28921,2500,marco_congelado,0.794,0.764,5.398,0.051,0,7.973,0,1.069,0.91,3,17
17,35116,2500,excl,0.182,0.742,5.39,0.041,0,7.799,0,0.92,0.91,4,17
17,35116,2500,sin_excl,0.182,0.742,5.271,0.047,1,3.412,1,0.89,0.905,4,17
17,35116,2500,excl_barajada,0.182,0.742,5.26,0.036,0,7.634,0,0.849,0.906,4,17
17,35116,2500,excl_bosones,0.182,0.742,5.45,0.051,1,5.216,1,0.875,0.899,3,17
17,35116,2500,marco_congelado,0.182,0.742,5.327,0.049,0,7.973,0,0.897,0.904,4,17
16,33051,2500,excl,0.197,0.784,5.309,0.047,0,7.8,0,1.053,0.915,4,17
16,33051,2500,sin_excl,0.197,0.784,5.325,0.044,1,4.158,1,0.841,0.912,3,17
16,33051,2500,excl_barajada,0.197,0.784,4.359,0.046,0,7.806,0,0.958,0.915,4,17
16,33051,2500,excl_bosones,0.197,0.784,5.273,0.05,1,5.97,1,0.823,0.911,4,17
16,33051,2500,marco_congelado,0.197,0.784,5.511,0.038,0,7.981,0,0.918,0.902,4,17
18,37181,2500,excl,0.257,0.888,5.641,0.046,0,7.945,0,1.001,0.912,3,17
