rule_id,clase,seed,N,par_n2000,K,kcap,fraccion_masa_en_sumideros,n_sumideros,kappa_v_agregado,t_primer_sumidero,masa_acretada_total,n_aristas_grafo_final,grado_medio_grafo_final,diam_grafo_final_OFICIAL,holon_grafo_final,n_dump_final,abortado_por_timeout,t_grafo_s,t_ic_s,t_phantom_s,fuente
A2-B0-C2-batch3-r50,I,476679,2000,A2-B0-C2-batch3-r50_vs_A2-B0-C2-batch3-r21,6,5,0.10000000000000003,8,0.5340314136125656,0.04,1880.0,,,,,,False,,,,FaseVB_TOTAL_40pares
A2-B0-C2-batch3-r21,III,473866,2000,A2-B0-C2-batch3-r50_vs_A2-B0-C2-batch3-r21,6,5,0.09650000000000004,8,0.48387096774193544,0.042,1814.1999999999998,,,,,,False,,,,FaseVB_TOTAL_40pares
A2-B0-C2-batch3-r48,I,476485,2000,A2-B0-C2-batch3-r48_vs_A2-B0-C2-batch3-r25,8,5,0.09900000000000003,8,0.47826086956521735,0.041,1861.2,,,,,,False,,,,FaseVB_TOTAL_40pares
A2-B0-C2-batch3-r25,III,474254,2000,A2-B0-C2-batch3-r48_vs_A2-B0-C2-batch3-r25,8,5,0.113,8,0.6865671641791045,0.03,2124.4,,,,,,False,,,,FaseVB_TOTAL_40pares
A2-B0-C2-batch3-r35,I,475224,2000,A2-B0-C2-batch3-r35_vs_A2-B0-C2-batch3-r31,4,5,0.09750000000000003,8,0.5312499999999999,0.036,1833.0,,,,,,False,,,,FaseVB_TOTAL_40pares
A2-B0-C2-batch3-r31,III,474836,2000,A2-B0-C2-batch3-r35_vs_A2-B0-C2-batch3-r31,4,5,0.11700000000000002,8,0.8095238095238093,0.036,2199.6,,,,,,False,,,,FaseVB_TOTAL_40pares
A2-B0-C2-batch3-r9,I,472702,2000,A2-B0-C2-batch3-r9_vs_A2-B0-C2-batch3-r83,7,6,0.07650000000000001,8,0.4130434782608696,0.046,1438.2,,,,,,False,,,,FaseVB_TOTAL_40pares
A2-B0-C2-batch3-r83,III,479880,2000,A2-B0-C2-batch3-r9_vs_A2-B0-C2-batch3-r83,7,6,0.08700000000000001,8,0.41935483870967755,0.043,1635.6000000000001,,,,,,False,,,,FaseVB_TOTAL_40pares
A2-B0-C2-batch3-r53,I,476970,2000,A2-B0-C2-batch3-r53_vs_A2-B0-C2-batch3-r23,7,5,0.09600000000000003,8,0.43749999999999994,0.032,1804.8,,,,,,False,,,,FaseVB_TOTAL_40pares
A2-B0-C2-batch3-r23,III,474060,2000,A2-B0-C2-batch3-r53_vs_A2-B0-C2-batch3-r23,7,5,0.11750000000000005,8,0.7638888888888888,0.032,2209.0,,,,,,False,,,,FaseVB_TOTAL_40pares
A2-B0-C2-batch3-r104,I,481917,2000,A2-B0-C2-batch3-r104_vs_A2-B0-C2-batch3-r60,6,5,0.09850000000000003,8,0.5230769230769231,0.04,1851.8,,,,,,False,,,,FaseVB_TOTAL_40pares
A2-B0-C2-batch3-r60,III,477649,2000,A2-B0-C2-batch3-r104_vs_A2-B0-C2-batch3-r60,6,5,0.12549999999999997,8,0.9104477611940299,0.036,2359.4,,,,,,False,,,,FaseVB_TOTAL_40pares
A2-B0-C2-batch3-r59,I,477552,2000,A2-B0-C2-batch3-r59_vs_A2-B0-C2-batch3-r58,7,5,0.10350000000000004,8,0.6063829787234043,0.034,1945.8,,,,,,False,,,,FaseVB_TOTAL_40pares
A2-B0-C2-batch3-r58,III,477455,2000,A2-B0-C2-batch3-r59_vs_A2-B0-C2-batch3-r58,7,5,0.10250000000000004,8,0.5737704918032787,0.035,1927.0,,,,,,False,,,,FaseVB_TOTAL_40pares
A2-B0-C2-batch3-r107,I,482208,2000,A2-B0-C2-batch3-r107_vs_A2-B0-C2-batch3-r71,6,5,0.10650000000000004,8,0.618556701030928,0.031,2002.2,,,,,,False,,,,FaseVB_TOTAL_40pares
A2-B0-C2-batch3-r71,III,478716,2000,A2-B0-C2-batch3-r107_vs_A2-B0-C2-batch3-r71,6,5,0.13,8,1.0046948356807506,0.032,2444.0,,,,,,False,,,,FaseVB_TOTAL_40pares
A2-B0-C2-batch3-r112,I,482693,2000,A2-B0-C2-batch3-r112_vs_A2-B0-C2-batch3-r108,6,5,0.10150000000000003,8,0.5606060606060604,0.042,1908.1999999999998,,,,,,False,,,,FaseVB_TOTAL_40pares
A2-B0-C2-batch3-r108,III,482305,2000,A2-B0-C2-batch3-r112_vs_A2-B0-C2-batch3-r108,6,5,0.098,8,0.49723756906077327,0.037,1842.4,,,,,,False,,,,FaseVB_TOTAL_40pares
A2-B0-C2-batch3-r120,I,483469,2000,A2-B0-C2-batch3-r120_vs_A2-B0-C2-batch3-r111,6,5,0.09250000000000004,8,0.4444444444444445,0.034,1739.0000000000002,,,,,,False,,,,FaseVB_TOTAL_40pares
