test,condicion,rule_id,seed,N_sistema,pendiente,pendiente_null,z_agg,clase,holon_ratio,n_aristas_b1,grado_medio_b1,diam_b1,giant_b1,diam_por_escala,ncajas_por_escala,K,J,noise,meandeg,dt,kcap_base,kcap_media_emp,kcap_sd,kcap_cv,kcap_min,kcap_max,grado_inicial_medio
P2-norm,NORM-log,A2-B0-C2-r3,90503,1000,0.6104597799005198,0.6784082507277487,0.35523034944582044,I,2.805114219027358,1709,3.418,12.0,0.981,12|8|6|5|4,1000|591|370|240|175,5,0.66,0.313,5.34,2.34,5,5.0,0.0,0.0,5,5,5.34
P2-norm,NORM-log,A2-B0-C2-r4,90600,1000,0.6473513096262407,0.6492463634806636,0.5277916858529366,I,3.9741917282902106,1662,3.324,12.0,0.968,12|9|6|5|4,1000|587|370|247|179,5,0.561,0.109,5.18,2.5,5,5.0,0.0,0.0,5,5,5.18
P2-norm,NORM-log,A2-B0-C2-r5,90697,1000,0.6253458402032044,0.6040252678875779,0.14142135608730938,I,1.400895618008902,1678,3.356,12.0,0.971,12|8|7|5|4,1000|586|361|248|186,5,0.769,0.338,4.97,2.3,5,5.0,0.0,0.0,5,5,4.97
P2-norm,NORM-log,A2-B0-C2-r6,90794,1000,0.860744081895472,0.7891170405650992,0.7778174580302025,III,1.9487000663982894,1528,3.056,15.0,0.924,15|9|7|5|4,1000|611|409|298|218,5,0.407,0.249,7.4,2.42,5,5.0,0.0,0.0,5,5,7.4
P2-norm,NORM-log,A2-B0-C2-r7,90891,1000,0.8980063135751222,0.8052046297089861,1.2727922034357855,III,2.125763790515268,1546,3.092,15.0,0.943,15|11|7|5|4,1000|612|390|281|222,7,0.503,0.225,7.25,2.19,5,5.0,0.0,0.0,5,5,7.25
P2-norm,NORM-log,A2-B0-C2-r8,90988,1000,0.6409001134202293,0.6888928233755867,0.8485281356238573,I,4.278143436204356,1598,3.196,12.0,0.975,12|9|6|5|4,1000|587|365|240|178,6,0.544,0.107,4.18,1.93,5,5.0,0.0,0.0,5,5,4.18
P2-norm,NORM-log,A2-B0-C2-r9,91085,1000,0.6561295034987347,0.6580930253205476,0.3863703300656272,I,2.0978190900276217,1691,3.382,12.0,0.964,12|9|6|5|4,1000|586|356|243|187,5,0.397,0.121,5.37,2.22,5,5.0,0.0,0.0,5,5,5.37
P2-norm,NORM-log,A2-B0-C2-r10,91182,1000,0.6733493396880662,0.7020508824265335,0.9899494915611664,I,2.891515136213594,1608,3.216,12.0,0.943,12|7|6|5|4,1000|595|389|276|221,5,0.441,0.133,6.34,2.27,5,5.0,0.0,0.0,5,5,6.34
P2-norm,NORM-log,A2-B0-C2-r11,91279,1000,0.7866067849307007,0.7380832252918152,0.5656854237492379,III,1.2076616688371737,1545,3.09,13.0,0.94,13|10|7|5|4,1000|612|389|277|220,8,0.561,0.315,6.93,2.22,5,5.0,0.0,0.0,5,5,6.93
P2-norm,NORM-log,A2-B0-C2-r12,91376,1000,0.6646815969354594,0.6132754593325223,0.5656854237492379,I,1.972587822403322,1673,3.346,13.0,0.973,13|9|7|5|4,1000|589|365|242|171,7,0.369,0.176,5.34,2.72,5,5.0,0.0,0.0,5,5,5.34
