corrida,umbral,descripcion_umbral,n_difuso,masa_difusa,H_v3d_abs,Hmm_v3d_abs,Hrar_v3d_abs,H_v3d_std,Hmm_v3d_std,Hrar_v3d_std,H_mod_abs,Hmm_mod_abs,Hrar_mod_abs,H_mod_std,Hmm_mod_std,Hrar_mod_std,sigma_v,v_mediana,n_fil_c1.0,frac_mayor_c1.0,n_fil_c1.5,frac_mayor_c1.5,n_fil_c2.5,frac_mayor_c2.5
A2-B0-C2-batch4-r3_I,A_P50_abs,rho < 0.2004 (P50 agrupado),1331,12511.4,5.957891176376043,5.992034597704369,5.87956506515221,5.9676290910036895,6.001772512332016,5.88932701783928,3.9878563698301335,3.9959857558606875,3.969592557455854,3.9867593910684356,3.9948887770989896,3.9689457310832275,1.8045478431264206,1.572555775824415,35,0.024793388429752067,56,0.03681442524417731,7,0.932381667918858
A2-B0-C2-batch4-r41_I,A_P50_abs,rho < 0.2004 (P50 agrupado),785,7379.0,5.94848393692281,6.006375521366125,5.894819558943502,5.956227852478872,6.014119436922186,5.902125726481286,3.9932397443747685,4.00702345495651,3.9802493361225286,3.991391563884077,4.0051752744658184,3.978308390371832,1.7001985286262158,1.480094494254254,15,0.015286624203821656,44,0.02165605095541401,5,0.8535031847133758
A2-B0-C2-batch4-r43_III,A_P50_abs,rho < 0.2004 (P50 agrupado),758,7125.2,5.933949327030934,5.993903012767085,5.881560470383945,5.938497424819396,5.998451110555546,5.885429607990354,3.988357721885933,4.002632408965969,3.9766383582220617,3.990143416122272,4.004418103202308,3.9783834436163,1.6950484591551969,1.4624877866862303,13,0.021108179419525065,35,0.03562005277044855,7,0.8179419525065963
A2-B0-C2-batch4-r44_I,A_P50_abs,rho < 0.2004 (P50 agrupado),755,7097.0,5.933270513457306,5.993462425759296,5.882586471240455,5.936271290856815,5.996463203158805,5.881964907789316,3.9915692529655775,4.005900660656527,3.9795160762804147,3.988153996153902,4.002485403844852,3.9768566197485318,1.717246482060325,1.4605710964289924,12,0.01456953642384106,35,0.018543046357615896,4,0.8622516556291391
A2-B0-C2-batch4-r47_III,A_P50_abs,rho < 0.2004 (P50 agrupado),779,7322.6,5.934494454193947,5.992831930173411,5.882194792010094,5.946117110085805,6.004454586065268,5.892574090115077,3.983861072075948,3.9977509473091537,3.97156990795816,3.9866572460898255,4.000547121323031,3.973037551303392,1.762180761621604,1.549979765910626,12,0.03465982028241335,38,0.0410783055198973,6,0.7124518613607189
A2-B0-C2-batch4-r51_I,A_P50_abs,rho < 0.2004 (P50 agrupado),463,4352.2,5.893382794988421,5.991535913321039,5.8806875208339715,5.882190297985028,5.9803434163176465,5.869686549393105,3.9719517119687953,3.99532150204799,3.969760516615756,3.983022097345163,4.006391887424358,3.980208586634882,1.689532993897983,1.3873258563866864,5,0.01511879049676026,17,0.023758099352051837,21,0.13822894168466524
A2-B0-C2-batch4-r57_I,A_P50_abs,rho < 0.2004 (P50 agrupado),823,7736.200000000001,5.932166550470338,5.987385133444825,5.874506274198706,5.9343669581977405,5.989585541172227,5.876829622991647,3.9894694316131014,4.002616713273693,3.975426808189965,3.9970134968683437,4.0101607785289355,3.984204405392024,1.7150767161207718,1.4958641205641252,17,0.020656136087484813,44,0.02916160388821385,3,0.8687727825030377
A2-B0-C2-batch4-r62_III,A_P50_abs,rho < 0.2004 (P50 agrupado),785,7379.0,5.934222596757167,5.992114181200482,5.8793123957579905,5.924933484140806,5.982825068584121,5.870658374366181,3.987648173738587,4.001431884320329,3.976037783794801,3.983748160128201,3.9975318707099428,3.9711695712848036,1.6985349328516433,1.4710342227120436,13,0.015286624203821656,39,0.02038216560509554,5,0.8280254777070064
A2-B0-C2-batch4-r70_I,A_P50_abs,rho < 0.2004 (P50 agrupado),781,7341.400000000001,5.906064098981986,5.964252183217584,5.852795953633919,5.92954029656397,5.9877283807995685,5.8740264374446785,3.989376109555157,4.003230415325538,3.976260376742703,3.981539544464653,3.9953938502350335,3.9693861616805335,1.7341174100645067,1.4446857422042505,17,0.011523687580025609,41,0.015364916773367477,11,0.6888604353393086
A2-B0-C2-batch4-r72_III,A_P50_abs,rho < 0.2004 (P50 agrupado),845,7943.0,5.930891856934468,5.984672796328554,5.870875657213592,5.936244344487136,5.990025283881222,5.8786307275849925,3.9797794356381653,3.9925844212081856,3.9657365646479494,3.9826169356275605,3.9954219211975808,3.9700440211450108,1.7010298020507773,1.475931544723779,12,0.02485207100591716,41,0.028402366863905324,6,0.8236686390532545
A2-B0-C2-batch4-r94_III,A_P50_abs,rho < 0.2004 (P50 agrupado),951,8939.4,5.945950108802396,5.993736537601557,5.882601450255041,5.952210374771178,5.999996803570339,5.88845443283688,3.9811476273878226,3.99252534853048,3.9674052273075158,3.976598850518184,3.9879765716608415,3.9612547889231053,1.6957017504846132,1.4819181718474963,24,0.015772870662460567,52,0.025236593059936908,5,0.889589905362776
A2-B0-C2-batch4-r9_III,A_P50_abs,rho < 0.2004 (P50 agrupado),1096,10302.4,5.9431862405934845,5.984650559743121,5.874520476042104,5.946694545600241,5.988158864749878,5.873980159846719,3.9883898576265775,3.998262314566967,3.9705533822869032,3.9924170950431845,4.002289551983575,3.9771689717419036,1.755105629486769,1.4941321870743507,32,0.020985401459854013,57,0.03375912408759124,5,0.8987226277372263
A2-B0-C2-r12_I,A_P50_abs,rho < 0.2004 (P50 agrupado),1199,11270.6,5.940837703522742,5.978740033621159,5.861024627957147,5.952420522180088,5.990322852278505,5.877373842191587,3.9877884221238222,3.9968127864329692,3.9694594286332903,3.9891431379772198,3.9981675022863667,3.973465482573742,1.786375614062822,1.5836114417501543,33,0.022518765638031693,64,0.03836530442035029,5,0.9065888240200167
A2-B0-C2-r12v1fix_I,A_P50_abs,rho < 0.2004 (P50 agrupado),1623,15256.2,5.966832605134966,5.9948331558361385,5.881357876588173,5.976801000117916,6.004801550819089,5.891485841292556,3.974139079896328,3.980805877682321,3.9534335617775076,3.9895670498543487,3.996233847640342,3.97090564116027,1.8531347056976986,1.6225688135414527,45,0.02895871842267406,60,0.05730129390018484,1,0.9858287122612446
A2-B0-C2-r14_III,A_P50_abs,rho < 0.2004 (P50 agrupado),780,7332.0,5.956048350128499,6.014311034472091,5.902214211238562,5.954934944081767,6.01319762842536,5.9019201578710625,3.9899983533459564,4.003870421046812,3.9779063259282426,3.9882473387163966,4.002119406417252,3.9755643816697166,1.7322271068765536,1.478335824459049,9,0.020512820512820513,35,0.03974358974358974,7,0.5897435897435898
A2-B0-C2-r17_III,A_P50_abs,rho < 0.2004 (P50 agrupado),888,8347.2,5.930664532076527,5.981841214270223,5.8654164560028565,5.922911939346298,5.974088621539994,5.860739058331621,3.988794492608265,4.000979416940098,3.9750296852789675,3.9887796882866597,4.000964612618493,3.9752895497291645,1.7600112457850083,1.533301887246155,22,0.030405405405405407,50,0.033783783783783786,2,0.9009009009009009
A2-B0-C2-r19_III,A_P50_abs,rho < 0.2004 (P50 agrupado),1026,9644.4,5.960045868111635,6.004339136910858,5.891921048527756,5.963923415778382,6.008216684577604,5.8959949983865165,3.991836888164136,4.002382904544904,3.9765988316729555,3.991000854870236,4.001546871251003,3.9742249830537157,1.7724062734732355,1.5294382373241984,25,0.016569200779727095,47,0.03508771929824561,12,0.8450292397660819
A2-B0-C2-r1_I,A_P50_abs,rho < 0.2004 (P50 agrupado),1313,12342.2,5.950261023020822,5.984872518670481,5.870491782230387,5.960173223761296,5.994784719410955,5.8829194018588735,3.980283575359538,3.9885244076570756,3.9627761666326036,3.98846169773927,3.9967025300368078,3.970680877058921,1.8096153447187462,1.5554254994341445,39,0.03427265803503427,59,0.044173648134044174,9,0.9146991622239147
A2-B0-C2-r20_III,A_P50_abs,rho < 0.2004 (P50 agrupado),1030,9682.0,5.945618917276016,5.989740173380873,5.878245646832695,5.940878142337058,5.984999398441915,5.8707449653989,3.9933562119682806,4.0038612729456275,3.9767404806109745,3.9932301598906434,4.00373522086799,3.976976638582906,1.7623928739302968,1.5116186473983055,27,0.018446601941747572,51,0.030097087378640777,3,0.9106796116504854
A2-B0-C2-r28_III,A_P50_abs,rho < 0.2004 (P50 agrupado),1220,11468.0,5.951654920493835,5.9889048334348205,5.874810641272432,5.9564897183873775,5.993739631328363,5.881989320461319,3.9859013270350037,3.9947703539257144,3.969023397616736,3.9876615825079114,3.996530609398622,3.9695419881611325,1.7693282022003252,1.5446769862290382,38,0.022950819672131147,62,0.023770491803278688,6,0.8991803278688525
