rule_id,seed,brazo,ruta_ic,md5_ic,npart,m_part,dt,eps,t_final,nsteps,E0,Ef,deriva_energia_rel,Ekin0,Ekinf,virial_final,error_rel_momento,segundos,ini_fof_ell0.3_nmin3,ini_ngrupos_ell0.3_nmin3,ini_fof_ell0.3_nmin5,ini_ngrupos_ell0.3_nmin5,ini_fof_ell0.3_nmin10,ini_ngrupos_ell0.3_nmin10,ini_fof_ell0.45_nmin3,ini_ngrupos_ell0.45_nmin3,ini_fof_ell0.45_nmin5,ini_ngrupos_ell0.45_nmin5,ini_fof_ell0.45_nmin10,ini_ngrupos_ell0.45_nmin10,ini_fof_ell0.6_nmin3,ini_ngrupos_ell0.6_nmin3,ini_fof_ell0.6_nmin5,ini_ngrupos_ell0.6_nmin5,ini_fof_ell0.6_nmin10,ini_ngrupos_ell0.6_nmin10,ini_fof_ell1.0_nmin3,ini_ngrupos_ell1.0_nmin3,ini_fof_ell1.0_nmin5,ini_ngrupos_ell1.0_nmin5,ini_fof_ell1.0_nmin10,ini_ngrupos_ell1.0_nmin10,ini_fof_ell2.0_nmin3,ini_ngrupos_ell2.0_nmin3,ini_fof_ell2.0_nmin5,ini_ngrupos_ell2.0_nmin5,ini_fof_ell2.0_nmin10,ini_ngrupos_ell2.0_nmin10,ini_knn8_frac_rho_mayor_100x,ini_knn8_frac_rho_mayor_1000x,fin_fof_ell0.3_nmin3,fin_ngrupos_ell0.3_nmin3,fin_fof_ell0.3_nmin5,fin_ngrupos_ell0.3_nmin5,fin_fof_ell0.3_nmin10,fin_ngrupos_ell0.3_nmin10,fin_fof_ell0.45_nmin3,fin_ngrupos_ell0.45_nmin3,fin_fof_ell0.45_nmin5,fin_ngrupos_ell0.45_nmin5,fin_fof_ell0.45_nmin10,fin_ngrupos_ell0.45_nmin10,fin_fof_ell0.6_nmin3,fin_ngrupos_ell0.6_nmin3,fin_fof_ell0.6_nmin5,fin_ngrupos_ell0.6_nmin5,fin_fof_ell0.6_nmin10,fin_ngrupos_ell0.6_nmin10,fin_fof_ell1.0_nmin3,fin_ngrupos_ell1.0_nmin3,fin_fof_ell1.0_nmin5,fin_ngrupos_ell1.0_nmin5,fin_fof_ell1.0_nmin10,fin_ngrupos_ell1.0_nmin10,fin_fof_ell2.0_nmin3,fin_ngrupos_ell2.0_nmin3,fin_fof_ell2.0_nmin5,fin_ngrupos_ell2.0_nmin5,fin_fof_ell2.0_nmin10,fin_ngrupos_ell2.0_nmin10,fin_knn8_frac_rho_mayor_100x,fin_knn8_frac_rho_mayor_1000x,frac_masa,kappa_v,n_sumideros,t_primer_sumidero,n_triangulos,n_aristas,clustering_local,frac_aristas_multi_tri,gini_tri_nodo,tri_por_arista_media,frac_aristas_en_triangulo,gigante
A2-B0-C2-batch4-r62,577843,solap,/Users/alexis/phantom_cs073/bateria_fase7_f703_organizacion/A2-B0-C2-batch4-r62_s577843_f703_solap/cosmogenesis_ic.txt,47bbfea243dec7234ed964d600d83894,2000,9.4,0.002,0.6,0.5,250,-2951834.6117235827,-2951843.6360557647,-3.0571943787687e-06,25380.000000000007,298637.22626920743,0.091874783737567,8.395275039878963e-15,116.7,0.0385,12,0.032,8,0.0105,2,0.1135,16,0.106,11,0.096,8,0.1735,31,0.14,10,0.135,8,0.4995,152,0.3339999999999999,53,0.2035,9,0.6955,24,0.6925,22,0.676,17,0.1245,0.05,0.185,76,0.089,17,0.0655,8,0.352,149,0.155,32,0.092,8,0.4595,189,0.223,50,0.111,8,0.5405,194,0.3345,72,0.1535,8,0.6715,171,0.5505,102,0.304,25,0.1635,0.1065,0.1195,0.7999999999999998,8,0.029,264,3299,0.0575166666666666,0.8782894736842105,0.9447916666666668,2.6052631578947367,0.092149136101849,1895
A2-B0-C2-batch4-r62,577843,disj,/Users/alexis/phantom_cs073/bateria_fase7_f703_organizacion/A2-B0-C2-batch4-r62_s577843_f703_disj/cosmogenesis_ic.txt,bab4c1649feb99ca40ca9f3971bd1830,2000,9.4,0.002,0.6,0.5,250,-2945820.092124077,-2945829.681082944,-3.2551067502496893e-06,25380.000000000007,281703.9992095224,0.0872815056678186,4.772787095382655e-15,118.0,0.034,12,0.0255,7,0.005,1,0.096,16,0.09,12,0.077,8,0.185,50,0.1235,12,0.113,8,0.5579999999999999,157,0.3975,63,0.2525,18,0.7055,30,0.6970000000000001,25,0.6829999999999999,21,0.1085,0.0475,0.221,94,0.0925,17,0.0665,8,0.3775,166,0.158,35,0.0815,8,0.482,207,0.2065,46,0.098,8,0.573,216,0.313,66,0.1375,8,0.6940000000000001,174,0.5785,109,0.332,34,0.1555,0.1015,0.106,0.5846153846153846,8,0.041,264,3299,0.1072833333333333,0.0,0.649090909090909,1.0,0.2400727493179751,1919
A2-B0-C2-r14,273187,solap,/Users/alexis/phantom_cs073/bateria_fase7_f703_organizacion/A2-B0-C2-r14_s273187_f703_solap/cosmogenesis_ic.txt,f9b90655980c8c756cf2e603c6ab30da,2000,9.4,0.002,0.6,0.5,250,-2948305.6054233336,-2948313.45851527,-2.6635949550524616e-06,25380.000000000004,289627.9212159283,0.089448166983175,5.861019261475031e-15,185.7,0.0385,10,0.037,9,0.006,1,0.105,15,0.0975,10,0.0915,8,0.187,45,0.1385,14,0.123,8,0.5155,143,0.3695,57,0.2405,14,0.6885000000000001,38,0.6755,31,0.6405,21,0.118,0.0485,0.2055,87,0.1025,22,0.064,8,0.361,154,0.1705,38,0.091,9,0.437,177,0.2255,50,0.11,9,0.5335000000000001,200,0.293,59,0.146,9,0.6555,167,0.5395,101,0.3155,31,0.1675,0.1055,0.1125,0.7058823529411763,8,0.032,237,3296,0.0558833333333333,0.8904593639575972,0.9454212376933896,2.512367491166078,0.0858616504854369,1888
A2-B0-C2-r14,273187,disj,/Users/alexis/phantom_cs073/bateria_fase7_f703_organizacion/A2-B0-C2-r14_s273187_f703_disj/cosmogenesis_ic.txt,c0a9263f9e731b86aee6cdc889759868,2000,9.4,0.002,0.6,0.5,250,-2935688.406123996,-2935695.7899597576,-2.5151973713799e-06,25380.000000000007,275459.7203840148,0.0857821178378636,5.34766653792497e-15,185.2,0.0365,11,0.032,8,0.0105,2,0.087,12,0.081,8,0.081,8,0.19,56,0.121,13,0.1085,8,0.5415000000000001,156,0.3915,65,0.2215,12,0.7060000000000001,19,0.7045,18,0.693,15,0.1,0.0445,0.209,90,0.0985,23,0.059,8,0.3645,158,0.1635,37,0.0865,8,0.477,204,0.226,52,0.103,8,0.5720000000000001,220,0.308,66,0.1355,8,0.686,167,0.588,112,0.3265,34,0.164,0.106,0.101,0.546875,8,0.037,237,3296,0.1018666666666666,0.0,0.6768741209563994,1.0,0.2157160194174757,1932
A2-B0-C2-r17,273478,solap,/Users/alexis/phantom_cs073/bateria_fase7_f703_organizacion/A2-B0-C2-r17_s273478_f703_solap/cosmogenesis_ic.txt,1a4ce6c61340af4c9f8adde07c8e5df2,2000,9.4,0.002,0.6,0.5,250,-2991530.8664318128,-2991545.7137819054,-4.963127828366393e-06,25380.000000000007,348321.4306989566,0.1042920019362322,1.191396345679321e-14,185.6,0.039,13,0.0315,8,0.01,2,0.129,15,0.1165,8,0.1165,8,0.22,48,0.161,10,0.156,8,0.527,137,0.3895,56,0.284,20,0.7125,35,0.7055,31,0.6685000000000001,20,0.139,0.0505,0.204,85,0.0995,20,0.069,8,0.369,153,0.186,41,0.0985,8,0.4815,190,0.2465,52,0.125,8,0.563,195,0.3485,72,0.171,9,0.6845,166,0.5845,108,0.331,28,0.182,0.122,0.1285,0.9315068493150682,8,0.03,286,3165,0.0598333333333333,0.9331103678929766,0.9451701631701632,2.869565217391304,0.0944707740916271,1806
A2-B0-C2-r17,273478,disj,/Users/alexis/phantom_cs073/bateria_fase7_f703_organizacion/A2-B0-C2-r17_s273478_f703_disj/cosmogenesis_ic.txt,a782f0561851d2aba24d57db5f2f1dd6,2000,9.4,0.002,0.6,0.5,250,-2978983.1259260764,-2978991.685360601,-2.8732739203000444e-06,25380.0,320083.0573931909,0.0970220690198768,9.567713101254051e-15,185.1,0.044,13,0.0355,8,0.021,4,0.1155,20,0.0985,9,0.096,8,0.2185,61,0.144,13,0.129,8,0.557,155,0.4115,70,0.2245,9,0.7245,28,0.7210000000000001,26,0.6995,19,0.1225,0.0485,0.233,99,0.111,25,0.066,8,0.4005,160,0.221,53,0.0955,8,0.4985,197,0.28,66,0.122,9,0.5865,208,0.372,81,0.1685,10,0.7005,174,0.6175,127,0.281,23,0.184,0.11,0.114,0.7014925373134329,8,0.037,286,3165,0.11395,0.0,0.6268041958041958,1.0,0.2710900473933649,1862
A2-B0-C2-r19,273672,solap,/Users/alexis/phantom_cs073/bateria_fase7_f703_organizacion/A2-B0-C2-r19_s273672_f703_solap/cosmogenesis_ic.txt,1b70321706ff648d00cbda73724869ef,2000,9.4,0.002,0.6,0.5,250,-2988075.42568538,-2988084.060138143,-2.8896368173280104e-06,25380.0,339217.72714269947,0.1019497926035488,7.547764406631638e-15,184.9,0.045,12,0.0385,8,0.027,5,0.1325,17,0.12,9,0.1175,8,0.209,39,0.1669999999999999,13,0.153,8,0.512,128,0.3735,47,0.2575,11,0.6995,37,0.6920000000000001,33,0.6525,22,0.141,0.05,0.208,90,0.088,16,0.0655,8,0.3695,159,0.165,35,0.0895,8,0.46,189,0.2155,43,0.1185,8,0.5375,187,0.3275,63,0.169,9,0.672,155,0.5695,99,0.337,29,0.1885,0.1155,0.129,0.9142857142857144,9,0.038,788,3679,0.1414690476190476,0.8866213151927438,0.8620905245346869,2.6802721088435373,0.2397390595270453,1908
A2-B0-C2-r19,273672,disj,/Users/alexis/phantom_cs073/bateria_fase7_f703_organizacion/A2-B0-C2-r19_s273672_f703_disj/cosmogenesis_ic.txt,983ce59cebd58682a12828e301eace07,2000,9.4,0.002,0.6,0.5,250,-2956881.890425192,-2956890.129142307,-2.7862854928911187e-06,25380.000000000007,288575.6163129812,0.088916549717735,5.513399756592487e-15,184.1,0.033,9,0.031,8,0.005,1,0.102,21,0.0815,8,0.0815,8,0.2225,68,0.134,13,0.121,8,0.5670000000000001,163,0.406,69,0.239,14,0.703,32,0.6955,28,0.675,22,0.106,0.0465,0.2289999999999999,98,0.109,26,0.059,8,0.388,159,0.209,52,0.0855,8,0.4885,196,0.2675,67,0.1,8,0.5765,202,0.3765,87,0.148,10,0.6960000000000001,163,0.6185,119,0.3389999999999999,34,0.1585,0.1,0.1085,0.75,8,0.036,788,3679,0.2941928571428571,0.0,0.3323574450084602,1.0,0.6425659146507203,1951
A2-B0-C2-r20,373769,solap,/Users/alexis/phantom_cs073/bateria_fase7_f703_organizacion/A2-B0-C2-r20_s373769_f703_solap/cosmogenesis_ic.txt,d9cd1ca81f221d80ea6bdd43bf383f96,2000,9.4,0.002,0.6,0.5,250,-2923695.9257478504,-2923710.935607308,-5.133864751447096e-06,25380.000000000007,279494.2362550078,0.0872545532550174,8.600721140385474e-15,131.6,0.038,10,0.035,8,0.011,2,0.1075,19,0.0895,8,0.0895,8,0.185,46,0.129,12,0.119,8,0.4654999999999999,134,0.313,45,0.2165,13,0.6545,46,0.64,37,0.5960000000000001,24,0.1095,0.047,0.1855,76,0.087,15,0.068,8,0.353,148,0.159,32,0.094,9,0.4375,180,0.2125,45,0.107,9,0.524,194,0.2925,58,0.147,9,0.6204999999999999,169,0.5055,103,0.253,23,0.162,0.103,0.1075,0.5829383886255923,8,0.038,468,3706,0.0898666666666666,0.8891013384321224,0.9109537037037037,2.6845124282982797,0.1411225040474905,1915
A2-B0-C2-r20,373769,disj,/Users/alexis/phantom_cs073/bateria_fase7_f703_organizacion/A2-B0-C2-r20_s373769_f703_disj/cosmogenesis_ic.txt,f3ef9c6c215a634d26b6085c547c9673,2000,9.4,0.002,0.6,0.5,250,-2890142.971986552,-2890151.989644808,-3.1201426171182317e-06,25380.0,253740.52729296623,0.0807090337617889,7.285069581197867e-15,131.0,0.035,10,0.032,8,0.0115,2,0.0895,21,0.071,9,0.0684999999999999,8,0.1645,56,0.091,10,0.086,8,0.456,137,0.3025,46,0.1945,9,0.655,39,0.65,36,0.6154999999999999,26,0.092,0.045,0.1755,72,0.09,18,0.063,8,0.3265,143,0.134,28,0.0805,8,0.425,180,0.1995,47,0.095,8,0.506,193,0.289,68,0.1265,9,0.631,176,0.511,108,0.2325,20,0.144,0.093,0.091,0.3770491803278688,8,0.042,468,3706,0.1670166666666666,0.0,0.4629465811965812,1.0,0.3788451160280626,1960
A2-B0-C2-r28,374545,solap,/Users/alexis/phantom_cs073/bateria_fase7_f703_organizacion/A2-B0-C2-r28_s374545_f703_solap/cosmogenesis_ic.txt,9e3008b8552b4152f7501da7cc775fa6,2000,9.4,0.002,0.6,0.5,250,-2967309.9837338314,-2967319.423276471,-3.18117847184167e-06,25380.000000000004,330499.3301368827,0.1002175543440053,3.642224496458314e-15,132.1,0.0455,13,0.038,8,0.022,4,0.127,17,0.1119999999999999,8,0.1119999999999999,8,0.206,41,0.1585,12,0.147,8,0.472,109,0.3525,39,0.265,10,0.6555,43,0.638,33,0.5955,20,0.137,0.0505,0.188,75,0.097,19,0.0665,8,0.3175,123,0.1675,36,0.089,8,0.423,164,0.233,51,0.113,8,0.4975,165,0.3185,60,0.1705,9,0.6185,146,0.534,98,0.2775,19,0.183,0.1155,0.126,0.9565217391304346,8,0.033,1029,3947,0.17575,0.8527272727272728,0.8268608681567865,2.806363636363636,0.2786926779832784,1900
A2-B0-C2-r28,374545,disj,/Users/alexis/phantom_cs073/bateria_fase7_f703_organizacion/A2-B0-C2-r28_s374545_f703_disj/cosmogenesis_ic.txt,aa421893d2ca31e39beed731050b0697,2000,9.4,0.002,0.6,0.5,250,-2907789.40039434,-2907800.687612611,-3.88171793641336e-06,25380.0,258348.47183896136,0.0815970628129571,9.60555427409468e-15,131.6,0.032,10,0.029,8,0.0,0,0.0915,19,0.078,10,0.073,8,0.17,46,0.113,10,0.107,8,0.4995,152,0.3295,53,0.21,15,0.6679999999999999,38,0.666,37,0.6385000000000001,29,0.0965,0.046,0.182,78,0.0765,14,0.061,8,0.3414999999999999,145,0.148,31,0.085,8,0.439,183,0.192,40,0.1035,9,0.5385000000000001,195,0.3215,71,0.1394999999999999,9,0.646,163,0.5505,109,0.286,27,0.151,0.098,0.102,0.5230769230769229,9,0.037,1029,3947,0.2911666666666667,0.0,0.2926746031746032,1.0,0.7821129972130733,1949
