par,estrato,d_sumideros_phantom,d_fofcomun_phantom,d_fofcomun_nbody,d_fofcomun_IC,coincide_ph_vs_nb,coincide_sumideros_vs_nb,coincide_IC_vs_sumideros
PAR_piloto_B_r1_r17,fuerte,0.034,0.1345,0.11499999999999999,0.13899999999999998,True,True,True
A2-B0-C2-batch4-r23_vs_A2-B0-C2-batch4-r10,fuerte,0.0325,0.02100000000000002,0.014000000000000012,0.03799999999999998,True,True,True
A2-B0-C2-batch3-r120_vs_A2-B0-C2-batch3-r111,fuerte,0.0295,0.020000000000000018,0.017500000000000016,0.05349999999999999,True,True,True
A2-B0-C2-batch3-r104_vs_A2-B0-C2-batch3-r60,fuerte,0.027,0.0655,0.025999999999999968,0.07700000000000001,True,True,True
PAR_v2_G_r12v1fix_r19,fuerte,0.025,0.16800000000000004,0.15050000000000002,0.168,True,True,True
A2-B0-C2-batch3-r59_vs_A2-B0-C2-batch3-r58,empate,-0.001,0.009000000000000008,0.020499999999999907,-0.0050000000000000044,True,False,True
A2-B0-C2-batch4-r39_vs_A2-B0-C2-batch4-r26,empate,0.001,-0.017500000000000016,-0.006000000000000005,-0.028000000000000025,True,False,False
PAR_piloto_C_r6_r14,empate,-0.0015,0.0015000000000000013,0.023499999999999965,0.0050000000000000044,True,False,False
A2-B0-C2-batch4-r38_vs_A2-B0-C2-batch4-r72,empate,0.002,-0.046999999999999986,0.004500000000000004,-0.04099999999999998,False,True,False
PAR_v2_H_r9_r39,empate,-0.002,-0.04050000000000001,-0.033999999999999975,-0.028499999999999998,True,True,True
