t,energia_L_baja,energia_L_alta,energia_R_baja,energia_R_alta,gradE_calc
52.0000,0.224531,0.001303,0.222740,0.001365,0.619579
52.5000,0.136422,0.000353,0.131990,0.002463,0.757850
53.0000,0.178818,0.021091,0.179332,0.085138,0.611232
53.5000,0.138843,0.000035,0.142080,0.000064,0.588105
54.0000,0.232483,0.002373,0.237733,0.006201,0.549190
54.5000,0.353558,0.000608,0.316616,0.001457,0.616216
55.0000,0.246868,0.000050,0.229358,0.000139,0.744971
55.5000,0.135006,0.000003,0.133799,0.000004,0.753680
56.0000,0.187366,0.000290,0.201745,0.000270,0.659585
56.5000,0.157737,0.000006,0.158311,0.000026,0.657153
57.0000,0.166858,0.000141,0.164505,0.000174,0.663536
57.5000,0.152604,0.005969,0.143730,0.007320,0.713466
58.0000,0.185235,0.000080,0.183372,0.000533,0.767506
58.5000,0.135004,0.000095,0.135219,0.000125,0.570814
59.0000,0.227675,0.000006,0.246369,0.000016,0.330941
59.5000,0.131168,0.000001,0.130998,0.000001,0.350560
60.0000,0.167328,0.000004,0.167162,0.000030,0.822759
60.5000,0.130040,0.000006,0.129575,0.000005,-0.160792
61.0000,0.141409,0.000009,0.140334,0.000015,0.621294
61.5000,0.148002,0.000009,0.147389,0.000017,0.108513
62.0000,0.128530,0.000012,0.128870,0.000038,0.597047
62.5000,0.125639,0.000004,0.125757,0.000017,0.615342
63.0000,0.370935,0.000293,0.373536,0.000294,0.648599
63.5000,0.129424,0.000009,0.128594,0.000013,0.496055
64.0000,0.287774,0.000686,0.253598,0.000829,0.432614
64.5000,0.178994,0.000017,0.197276,0.000015,0.437883
65.0000,0.222636,0.000034,0.251800,0.000196,0.847829
65.5000,0.261577,0.000302,0.206190,0.000649,0.567416
66.0000,0.131228,0.000003,0.131594,0.000003,0.376702
66.5000,0.145914,0.000025,0.148350,0.000045,0.746199
67.0000,0.134300,0.000032,0.133531,0.000074,0.717325
67.5000,0.187107,0.000404,0.184356,0.000503,0.620414
68.0000,0.174553,0.001735,0.171822,0.001658,0.471626
68.5000,0.156417,0.000001,0.156325,0.000004,0.767638
