t,ged,var_int,efic,geom,busc,omega,gradE,coh,lf,warmup
0.0000,0.00018613,1.3998e-03,0.132975,0.423445,0.021495,0.000000,0.066683,-0.000125,1,1
0.5000,0.00021160,1.5059e-03,0.140514,0.416478,-0.016077,0.682163,0.569203,-0.000000,1,1
1.0000,0.00024050,1.6183e-03,0.148615,0.380788,-0.033595,0.739712,-0.206684,0.000000,1,1
1.5000,0.00026643,1.7182e-03,0.155060,0.380591,-0.049184,0.773885,-0.012532,0.000000,1,1
2.0000,0.00028384,1.7810e-03,0.159367,0.380796,-0.061810,0.819251,0.057744,-0.000000,1,1
2.5000,0.00028922,1.7931e-03,0.161294,0.380796,-0.065523,0.809094,-0.487705,0.000000,1,1
3.0000,0.00028167,1.7508e-03,0.160881,0.380722,-0.057610,0.821594,-0.108427,0.000000,1,1
3.5000,0.00026297,1.6719e-03,0.157292,0.379898,-0.046349,0.807920,0.257871,-0.000000,1,1
4.0000,0.00023705,1.5734e-03,0.150667,0.380098,-0.040217,0.799182,0.334716,-0.000000,1,1
4.5000,0.00020888,1.4700e-03,0.142096,0.380731,-0.035847,0.785982,-0.931137,0.000000,1,1
5.0000,0.00018338,1.3673e-03,0.134114,0.370227,-0.031386,0.784084,0.253915,-0.000000,1,1
5.5000,0.00016429,1.2862e-03,0.127733,0.345522,-0.021767,0.783640,0.220301,-0.000000,1,1
6.0000,0.00015356,1.2289e-03,0.124953,0.295946,-0.008577,0.766321,-0.782440,0.000000,1,1
6.5000,0.00015124,1.2183e-03,0.124140,0.236845,-0.004798,0.759975,0.864696,-0.000000,1,1
7.0000,0.00015578,1.2519e-03,0.124439,0.185745,0.000169,0.739818,0.684484,-0.000000,1,1
7.5000,0.00016088,1.2715e-03,0.126523,0.260557,-0.027796,0.787441,-0.376695,0.000000,1,1
8.0000,0.00016937,1.3347e-03,0.126897,0.309760,-0.041578,0.800141,0.580779,-0.000000,1,1
8.5000,0.00017725,1.3876e-03,0.127736,0.341023,-0.033387,0.775680,-0.354331,0.000000,1,1
9.0000,0.00018336,1.4138e-03,0.129699,0.350703,-0.017137,0.737368,0.013358,-0.000000,1,1
9.5000,0.00018745,1.4151e-03,0.132464,0.335427,-0.026009,0.747452,-0.509674,0.000000,1,1
10.0000,0.00019011,1.4041e-03,0.135400,0.346174,-0.043873,0.771388,-0.593971,0.000000,1,0
10.5000,0.00019276,1.3990e-03,0.137790,0.380805,-0.055605,0.776469,-0.505393,0.000000,1,0
11.0000,0.00019633,1.4067e-03,0.139567,0.380816,-0.062094,0.782133,-0.563964,0.000001,1,0
11.5000,0.00020128,1.4218e-03,0.141570,0.380789,-0.060809,0.773278,-0.534794,0.000000,1,0
12.0000,0.00020763,1.4419e-03,0.143998,0.406458,-0.045787,0.741525,-0.397608,-0.000000,1,0
12.5000,0.00021510,1.4699e-03,0.146340,0.439596,-0.016722,0.693740,0.997417,0.000000,1,0
13.0000,0.00022337,1.4878e-03,0.150140,0.427666,0.002808,0.665431,-0.015873,-0.000000,1,0
13.5000,0.00023238,1.4954e-03,0.155401,0.407570,0.006505,0.657561,-0.904106,-0.000000,1,0
14.0000,0.00024227,1.5003e-03,0.161487,0.366810,0.019896,0.634948,-0.134329,-0.000000,1,0
14.5000,0.00025351,1.5062e-03,0.168310,0.384358,0.026883,0.622306,-0.994856,-0.000000,1,0
15.0000,0.00026604,1.5210e-03,0.174910,0.398712,0.029100,0.624565,0.140269,-0.000000,1,0
15.5000,0.00028054,1.5298e-03,0.183384,0.391431,0.026968,0.628017,-0.184881,-0.000000,1,0
16.0000,0.00029593,1.5402e-03,0.192134,0.380782,0.028320,0.624725,0.966315,0.000000,1,0
16.5000,0.00031228,1.5567e-03,0.200601,0.380717,0.027518,0.629474,0.837636,0.000000,1,0
17.0000,0.00032897,1.5823e-03,0.207906,0.391307,0.024375,0.638245,0.958026,0.000000,1,0
17.5000,0.00034582,1.6293e-03,0.212254,0.422956,0.018620,0.649410,-0.871567,-0.000000,1,0
18.0000,0.00036382,1.6857e-03,0.215832,0.434799,0.011898,0.662895,-0.892469,-0.000000,1,0
18.5000,0.00038295,1.7463e-03,0.219298,0.436921,0.005086,0.675935,0.829125,0.000000,1,0
19.0000,0.00040489,1.7977e-03,0.225225,0.425682,-0.001766,0.688281,0.396927,0.000000,1,0
19.5000,0.00043113,1.8370e-03,0.234696,0.380851,-0.027725,0.731300,-0.754414,-0.000085,1,0
20.0000,0.00046246,1.8700e-03,0.247312,0.380764,-0.050435,0.765496,-0.732914,-0.000000,1,0
20.5000,0.00049763,1.8920e-03,0.263018,0.379454,-0.046579,0.757206,-0.891232,-0.000000,1,0
21.0000,0.00053432,1.8968e-03,0.281703,0.380774,-0.037960,0.740828,-0.773691,-0.000000,1,0
21.5000,0.00056972,1.8865e-03,0.302002,0.376262,-0.031387,0.728172,-0.910194,-0.000000,1,0
22.0000,0.00060159,1.8827e-03,0.319540,0.375609,-0.028839,0.723995,-0.776748,-0.000000,1,0
22.5000,0.00062943,1.8925e-03,0.332587,0.379353,-0.029861,0.724236,-0.289654,-0.000000,1,0
23.0000,0.00065487,1.9220e-03,0.340719,0.380775,-0.038715,0.738648,-0.619564,-0.000002,1,0
23.5000,0.00068127,1.9662e-03,0.346501,0.375888,-0.036979,0.735307,-0.570815,-0.000000,1,0
24.0000,0.00071263,2.0315e-03,0.350797,0.372269,-0.016911,0.700354,-0.537796,-0.000000,1,0
24.5000,0.00063295,1.8398e-03,0.344039,0.329463,0.000439,0.667444,-0.075758,-0.000000,1,0
