beta,t_optima,exponente_ptc,potencia_base,fraccion_saturada,frontera_media,frontera_desv,r_media,r_desv
0.8,22,3,0.3,0,0.6850799999999999,0.008639999999999981,-0.020932025968155882,0.12565457693779544
0.8,22,3,0.47,0,0.7397999999999999,1.1102230246251565e-16,-0.027310277067937157,0.09562121078407881
0.8,22,3,0.65,0,0.7975000000000001,1.1102230246251565e-16,-0.02799434456682847,0.08487454600683524
0.8,22,4.1,0.3,0.17833333333333334,0.6822,0,0.23264251568440403,0.03355958374378871
0.8,22,4.1,0.47,0.18333333333333332,0.7110000000000001,1.1102230246251565e-16,0.2463656985042646,0.02530589886405936
0.8,22,4.1,0.65,0.18333333333333332,0.7397999999999999,1.1102230246251565e-16,0.20612661519487382,0.04122978270020953
0.8,22,6,0.3,0.24333333333333335,0.6533999999999999,1.1102230246251565e-16,0.03041569940590897,0.03210176689588443
0.8,22,6,0.47,0.245,0.6822,0,0.01253431541222243,0.027660589721904254
0.8,22,6,0.65,0.25166666666666665,0.6822,0,-0.032951667935593225,0.04700073414832882
0.8,25,3,0.3,0,0.8522200000000002,0.008639999999999981,0.0020198138984435067,0.1515918728139541
0.8,25,3,0.47,0,0.8838999999999999,1.1102230246251565e-16,0.022628360593491444,0.1161432218023336
0.8,25,3,0.65,0,0.9126999999999998,1.1102230246251565e-16,0.01812802285480846,0.124728983300198
0.8,25,4.1,0.3,0.08333333333333333,0.8263,0,0.23565303498496526,0.045980281311249975
0.8,25,4.1,0.47,0.08333333333333333,0.8551,0,0.2523823739768717,0.04100112927281786
0.8,25,4.1,0.65,0.08333333333333333,0.8551,0,0.26508290662950634,0.04889785870535091
0.8,25,6,0.3,0.23333333333333334,0.7975000000000001,1.1102230246251565e-16,-0.3757506956522224,0.024060566064996777
0.8,25,6,0.47,0.23833333333333334,0.8263,0,-0.37651624507140785,0.030956715591957104
0.8,25,6,0.65,0.24166666666666667,0.8263,0,-0.3576361465802784,0.023424214348555253
0.8,28,3,0.3,0,0.9991999999999999,1.1102230246251565e-16,0.0035257001425813075,0.14347356903102368
0.8,28,3,0.47,0,1.0280000000000002,2.220446049250313e-16,0.016317206313438356,0.16123626353240386
0.8,28,3,0.65,0,1.0567999999999997,2.220446049250313e-16,0.07355986571107527,0.14860829098572045
0.8,28,4.1,0.3,0,0.9703000000000002,1.1102230246251565e-16,-0.004086047682567283,0.1385225911957291
0.8,28,4.1,0.47,0,0.9991999999999999,1.1102230246251565e-16,0.009541721555460982,0.134950432834045
0.8,28,4.1,0.65,0,0.9991999999999999,1.1102230246251565e-16,0.03953215704922193,0.11826091644888805
0.8,28,6,0.3,0.28833333333333333,0.9703000000000002,1.1102230246251565e-16,-0.7696187491081434,0.019313129272436596
0.8,28,6,0.47,0.30666666666666664,0.9703000000000002,1.1102230246251565e-16,-0.7392053657400128,0.025891347318502192
0.8,28,6,0.65,0.32166666666666666,0.9703000000000002,1.1102230246251565e-16,-0.6908541968340359,0.031448128756168856
0.88,22,3,0.3,0,0.7081200000000001,0.008639999999999981,-0.021025158229385523,0.1299598210162151
0.88,22,3,0.47,0,0.7397999999999999,1.1102230246251565e-16,-0.016851616067778796,0.0963402383117316
0.88,22,3,0.65,0,0.7975000000000001,1.1102230246251565e-16,-0.005780133344369709,0.07073135313251222
0.88,22,4.1,0.3,0.18333333333333332,0.6822,0,0.3547964159779256,0.03069819677541065
0.88,22,4.1,0.47,0.18333333333333332,0.7110000000000001,1.1102230246251565e-16,0.3568195597222093,0.024537686467894736
0.88,22,4.1,0.65,0.18333333333333332,0.7397999999999999,1.1102230246251565e-16,0.3118110981780383,0.04187993726392583
0.88,22,6,0.3,0.25333333333333335,0.6533999999999999,1.1102230246251565e-16,0.06629136839340341,0.026385034156383432
0.88,22,6,0.47,0.255,0.6822,0,0.06229790392129647,0.024878195144454978
0.88,22,6,0.65,0.26666666666666666,0.6822,0,0.030554715917742066,0.043543809693831655
0.88,25,3,0.3,0,0.8551,0,0.008116594818182294,0.14760557959429174
0.88,25,3,0.47,0,0.8838999999999999,1.1102230246251565e-16,0.03111924273733624,0.10294296879579766
0.88,25,3,0.65,0,0.9126999999999998,1.1102230246251565e-16,0.022918918528180135,0.12572709314618663
0.88,25,4.1,0.3,0.08333333333333333,0.8263,0,0.29817947114240057,0.047394274283571645
0.88,25,4.1,0.47,0.08333333333333333,0.8551,0,0.3165676728852284,0.0411315913287073
0.88,25,4.1,0.65,0.08333333333333333,0.8579800000000001,0.008640000000000014,0.32788003959470907,0.05045808094594183
0.88,25,6,0.3,0.24166666666666667,0.7975000000000001,1.1102230246251565e-16,-0.3548528307427873,0.029479708151064363
0.88,25,6,0.47,0.24666666666666667,0.8263,0,-0.344080637360492,0.026294447783730843
0.88,25,6,0.65,0.25666666666666665,0.8263,0,-0.31915329488509486,0.018133352664019105
0.88,28,3,0.3,0,0.9991999999999999,1.1102230246251565e-16,0.0035872872026694322,0.14578739324597834
0.88,28,3,0.47,0,1.0280000000000002,2.220446049250313e-16,0.0219213922775008,0.15231317772708097
0.88,28,3,0.65,0,1.0567999999999997,2.220446049250313e-16,0.07870660482982936,0.1428681692669447
0.88,28,4.1,0.3,0,0.9703000000000002,1.1102230246251565e-16,-0.004959693736040088,0.1381094076131437
0.88,28,4.1,0.47,0,0.9991999999999999,1.1102230246251565e-16,0.008950727309941496,0.1406392520079355
0.88,28,4.1,0.65,0,1.00496,0.01152000000000002,0.03348445055017535,0.10407287106761492
0.88,28,6,0.3,0.30333333333333334,0.9703000000000002,1.1102230246251565e-16,-0.7696346382854125,0.018897379362351845
0.88,28,6,0.47,0.31666666666666665,0.9703000000000002,1.1102230246251565e-16,-0.7236011153006048,0.028789967937647605
0.88,28,6,0.65,0.33,0.9703000000000002,1.1102230246251565e-16,-0.6766489295968052,0.03380719050156776
0.94,22,3,0.3,0,0.7110000000000001,1.1102230246251565e-16,-0.022881716603015023,0.1345830747994385
0.94,22,3,0.47,0,0.7397999999999999,1.1102230246251565e-16,-0.009066238301072576,0.09175346464194524
0.94,22,3,0.65,0,0.7975000000000001,1.1102230246251565e-16,0.008869167876220701,0.06849421459736564
0.94,22,4.1,0.3,0.18333333333333332,0.6822,0,0.4347960131203659,0.030477099236633977
0.94,22,4.1,0.47,0.18333333333333332,0.7110000000000001,1.1102230246251565e-16,0.43611154725615286,0.02653448938647557
0.94,22,4.1,0.65,0.18333333333333332,0.7397999999999999,1.1102230246251565e-16,0.3880240876602069,0.04189384802915455
0.94,22,6,0.3,0.26666666666666666,0.6533999999999999,1.1102230246251565e-16,0.11880559967267228,0.02858666811471153
0.94,22,6,0.47,0.26666666666666666,0.6822,0,0.09625784728874942,0.015895893609261948
0.94,22,6,0.65,0.26666666666666666,0.6822,0,0.07638969561052364,0.04552207761806807
0.94,25,3,0.3,0,0.8551,0,0.016783863820142443,0.13710696153217516
0.94,25,3,0.47,0,0.8838999999999999,1.1102230246251565e-16,0.03541161679352127,0.09938458938372384
0.94,25,3,0.65,0,0.9126999999999998,1.1102230246251565e-16,0.029637365892032818,0.12510933384805414
0.94,25,4.1,0.3,0.08333333333333333,0.8263,0,0.34753979725025463,0.04582965042867589
0.94,25,4.1,0.47,0.08333333333333333,0.8551,0,0.3672080829717116,0.04049722353949918
0.94,25,4.1,0.65,0.08333333333333333,0.8723799999999999,0.014109060918431131,0.3768777339337855,0.05031434187102957
0.94,25,6,0.3,0.24666666666666667,0.7975000000000001,1.1102230246251565e-16,-0.3302085943816244,0.02429537963680696
0.94,25,6,0.47,0.25666666666666665,0.8263,0,-0.31273644469584766,0.019362783945858636
0.94,25,6,0.65,0.265,0.8263,0,-0.2911107043351535,0.020127081082398926
0.94,28,3,0.3,0,0.9991999999999999,1.1102230246251565e-16,0.004394161716937235,0.14374919092592453
0.94,28,3,0.47,0,1.0280000000000002,2.220446049250313e-16,0.02727854769953596,0.1541397275962466
0.94,28,3,0.65,0,1.0567999999999997,2.220446049250313e-16,0.07850525960079212,0.14084241551929746
0.94,28,4.1,0.3,0,0.9731900000000001,0.008669999999999978,-0.00511390898611055,0.13588407367117863
0.94,28,4.1,0.47,0,0.9991999999999999,1.1102230246251565e-16,0.005024209883941402,0.13088110043075968
