[2026-07-26T04:42:42.817Z] Arrancando: 1130 jobs (D=20, Aprima=30, Bprima=1080), 14 workers.
[2026-07-26T06:28:24.985Z] progreso: 95/1130 (D=20/20 A'=30/30 B'=45/1080) último job 633.9s
[2026-07-26T06:28:46.350Z] progreso: 100/1130 (D=20/20 A'=30/30 B'=50/1080) último job 636.1s
[2026-07-26T06:33:12.236Z] progreso: 105/1130 (D=20/20 A'=30/30 B'=55/1080) último job 621.6s
[2026-07-26T06:38:44.823Z] progreso: 110/1130 (D=20/20 A'=30/30 B'=60/1080) último job 617.4s
[2026-07-26T06:39:22.136Z] progreso: 115/1130 (D=20/20 A'=30/30 B'=65/1080) último job 622.9s
[2026-07-26T06:43:55.383Z] progreso: 120/1130 (D=20/20 A'=30/30 B'=70/1080) último job 622.6s
[2026-07-26T06:49:27.936Z] progreso: 125/1130 (D=20/20 A'=30/30 B'=75/1080) último job 635.7s
[2026-07-26T06:50:12.762Z] progreso: 130/1130 (D=20/20 A'=30/30 B'=80/1080) último job 650.3s
[2026-07-26T06:59:16.194Z] progreso: 135/1130 (D=20/20 A'=30/30 B'=85/1080) último job 824.3s
[2026-07-26T07:04:32.044Z] progreso: 140/1130 (D=20/20 A'=30/30 B'=90/1080) último job 889.8s
[2026-07-26T07:12:15.426Z] progreso: 145/1130 (D=20/20 A'=30/30 B'=95/1080) último job 1322.7s
[2026-07-26T07:17:48.686Z] progreso: 150/1130 (D=20/20 A'=30/30 B'=100/1080) último job 1095.3s
[2026-07-26T07:28:05.915Z] progreso: 155/1130 (D=20/20 A'=30/30 B'=105/1080) último job 988.3s
[2026-07-26T07:28:55.622Z] progreso: 160/1130 (D=20/20 A'=30/30 B'=110/1080) último job 987.7s
[2026-07-26T07:37:12.606Z] progreso: 165/1130 (D=20/20 A'=30/30 B'=115/1080) último job 886.6s
[2026-07-26T07:46:37.682Z] progreso: 170/1130 (D=20/20 A'=30/30 B'=120/1080) último job 1107.7s
[2026-07-26T07:51:01.673Z] progreso: 175/1130 (D=20/20 A'=30/30 B'=125/1080) último job 1129.5s
[2026-07-26T07:56:22.163Z] progreso: 180/1130 (D=20/20 A'=30/30 B'=130/1080) último job 1146.4s
[2026-07-26T08:02:07.095Z] progreso: 185/1130 (D=20/20 A'=30/30 B'=135/1080) último job 893.2s
[2026-07-26T08:06:27.997Z] progreso: 190/1130 (D=20/20 A'=30/30 B'=140/1080) último job 905.1s
[2026-07-26T08:11:22.669Z] progreso: 195/1130 (D=20/20 A'=30/30 B'=145/1080) último job 879.9s
[2026-07-26T08:16:46.967Z] progreso: 200/1130 (D=20/20 A'=30/30 B'=150/1080) último job 877.5s
[2026-07-26T08:22:38.228Z] progreso: 205/1130 (D=20/20 A'=30/30 B'=155/1080) último job 880.6s
[2026-07-26T08:26:32.463Z] progreso: 210/1130 (D=20/20 A'=30/30 B'=160/1080) último job 881.7s
[2026-07-26T08:31:38.170Z] progreso: 215/1130 (D=20/20 A'=30/30 B'=165/1080) último job 885.2s
[2026-07-26T08:36:47.824Z] progreso: 220/1130 (D=20/20 A'=30/30 B'=170/1080) último job 827.8s
[2026-07-26T08:45:55.634Z] progreso: 225/1130 (D=20/20 A'=30/30 B'=175/1080) último job 901.7s
[2026-07-26T08:47:03.422Z] progreso: 230/1130 (D=20/20 A'=30/30 B'=180/1080) último job 918.5s
[2026-07-26T09:00:50.944Z] progreso: 235/1130 (D=20/20 A'=30/30 B'=185/1080) último job 1275.0s
[2026-07-26T09:05:57.422Z] progreso: 240/1130 (D=20/20 A'=30/30 B'=190/1080) último job 1194.6s
[2026-07-26T09:13:21.477Z] progreso: 245/1130 (D=20/20 A'=30/30 B'=195/1080) último job 1087.5s
[2026-07-26T09:18:33.350Z] progreso: 250/1130 (D=20/20 A'=30/30 B'=200/1080) último job 1053.2s
[2026-07-26T09:23:30.459Z] progreso: 255/1130 (D=20/20 A'=30/30 B'=205/1080) último job 1029.9s
[2026-07-26T09:31:24.148Z] progreso: 260/1130 (D=20/20 A'=30/30 B'=210/1080) último job 1048.8s
[2026-07-26T09:35:51.060Z] progreso: 265/1130 (D=20/20 A'=30/30 B'=215/1080) último job 1026.4s
[2026-07-26T09:40:21.118Z] progreso: 270/1130 (D=20/20 A'=30/30 B'=220/1080) último job 991.7s
[2026-07-26T09:49:32.500Z] progreso: 275/1130 (D=20/20 A'=30/30 B'=225/1080) último job 1013.0s
[2026-07-26T09:53:51.119Z] progreso: 280/1130 (D=20/20 A'=30/30 B'=230/1080) último job 1065.2s
[2026-07-26T09:58:29.994Z] progreso: 285/1130 (D=20/20 A'=30/30 B'=235/1080) último job 1076.6s
[2026-07-26T10:06:37.265Z] progreso: 290/1130 (D=20/20 A'=30/30 B'=240/1080) último job 992.4s
[2026-07-26T10:10:55.233Z] progreso: 295/1130 (D=20/20 A'=30/30 B'=245/1080) último job 806.6s
[2026-07-26T10:11:42.237Z] progreso: 300/1130 (D=20/20 A'=30/30 B'=250/1080) último job 785.1s
[2026-07-26T10:18:59.098Z] progreso: 305/1130 (D=20/20 A'=30/30 B'=255/1080) último job 632.5s
[2026-07-26T10:21:21.242Z] progreso: 310/1130 (D=20/20 A'=30/30 B'=260/1080) último job 613.5s
[2026-07-26T10:24:39.323Z] progreso: 315/1130 (D=20/20 A'=30/30 B'=265/1080) último job 334.2s
[2026-07-26T10:26:52.800Z] progreso: 320/1130 (D=20/20 A'=30/30 B'=270/1080) último job 331.6s
[2026-07-26T10:27:20.859Z] progreso: 325/1130 (D=20/20 A'=30/30 B'=275/1080) último job 332.2s
[2026-07-26T10:30:14.279Z] progreso: 330/1130 (D=20/20 A'=30/30 B'=280/1080) último job 329.1s
[2026-07-26T10:32:21.125Z] progreso: 335/1130 (D=20/20 A'=30/30 B'=285/1080) último job 324.6s
[2026-07-26T10:32:52.821Z] progreso: 340/1130 (D=20/20 A'=30/30 B'=290/1080) último job 326.7s
[2026-07-26T10:36:38.525Z] progreso: 345/1130 (D=20/20 A'=30/30 B'=295/1080) último job 323.4s
[2026-07-26T10:37:43.434Z] progreso: 350/1130 (D=20/20 A'=30/30 B'=300/1080) último job 320.4s
