fase,ged_mean,lf_pct,w_prof_norma,w_rec_norma,w_rec_inicio,w_rec_fin,error_rec,eficiencia,variacion,ventaja,ventaja_amp,tasa_olvido,tasa_aprendizaje,coherencia
Fase 2,0.008454023416945778,1.35,0.001041890964212191,0.08353181355287767,0.00479038285751819,0.12081120370233868,0.07695606454547228,0.8053377470962632,0.01014234155219588,1.0,1.0,0.025000000000000005,0.02494303910920251,0.7482911732760754
Fase 3,0.005272880933216381,25.0,0.001665824356381476,0.09351446027881742,0.12047489871765787,0.040708495984547344,0.09903570399350134,0.6442326940161851,0.00778615516714963,0.8950195903399419,1.3269192566390517,0.15274805982712072,0.02388092038550984,0.7164276115652951
Fase 4,0.004594152601947671,0.0,0.0020373505200039005,0.07218364770778415,0.040692905284213064,0.04208788344589395,0.05913755275902851,0.6018253272641366,0.007126436048220671,0.9682960231582984,5.471194409043926,0.13641492638421657,0.026502087928068296,0.7950626378420489
Fase 5,0.004602807419443788,0.0,0.0022526952127939854,0.07572525442094936,0.04206742088012488,0.04354558951971318,0.06002386265306994,0.6126802691881623,0.007012797540033741,1.0078089270024284,9.682287900069028,0.12832369882557115,0.026387015640904125,0.7916104692271237
Fase 6,0.0045539602588772505,0.0,0.00237698197613922,0.07565076900050727,0.04352090192438279,0.042638802308278725,0.06057814567008742,0.6113446722758933,0.006940822902799475,0.9984944792165491,8.64187455653178,0.13155559246813572,0.026355502094152536,0.7906650628245762
Fase 7,0.003576394641445,0.0,0.002353437730070506,0.05903485039576249,0.0426169491592894,0.014466613930483624,0.0775327084111654,0.5254310825577216,0.006123200675884967,0.8913806732195041,5.927838264197558,0.19391801405030737,0.02498249147110972,0.7494747441332915
