fase,ged_mean,lf_pct,w_norma,w_exp_norma,ratio_plastica_difusion,ciclos
Fase 2,0.015108706327383589,0.0,0.16303251155864928,0.0,218.50969550864073,0
Fase 3,0.004629907916537477,76.6,0.4087270081164258,0.07493084549493124,690.1607933588609,0
Fase 4,0.006845450941642305,100.0,0.4284995286894331,0.24905803817404215,1875.0080768275243,0
Fase 5,0.006838296813441253,99.45,0.4302613352652587,0.4113853281900573,4110.325057118116,0
Fase 6,0.002005046895187192,82.8,0.540357317312624,0.5445027911552411,10767.049512776044,0
Fase 7,0.002516303835072258,100.0,0.5515497494500216,0.7450215830502072,12371.41500562343,0
