fase,estimulo,ged_mean,lf_pct,w_exp_mean,phi_gen_vs_hist,phi_gen_vs_aud
Fase 2,Voz_Estudio.wav,0.016716877340564883,0.0,0.0,0.15715156527266066,0.631462277993789
Fase 3,Brandemburgo.wav,0.003641919888580997,77.55,0.09835154328671854,0.5854238203030806,0.5566974023664598
Fase 4,Tono puro,0.00016801825008920063,99.3,0.4036012768399313,0.8390842442696426,0.3555792207997068
Fase 5,Voz+Viento_1.wav,0.00013014584936408725,99.6,0.6809307892991528,0.8427066561709549,0.3530561574639954
Fase 6,Ruido blanco,0.00012452064689154622,99.55000000000001,0.9072585607837262,0.8427182817936396,0.3530884088450361
Fase 7,Voz_Estudio.wav,0.00012338279472834005,99.45,0.9871187478684735,0.8427216803465966,0.3530711548456119
