ventana,delta_struct,acoplamiento,error,lf,icr,irde,modo,plan,j,mezcla_nada,mezcla_preservar,mezcla_contexto,S_zona_voz,S_perturbacion,S_no_intervenir,S_contexto,V_nada,V_preservar,V_contexto,C_nada,C_preservar,C_contexto
0,0.0,0.45000000731813544,0.5499999926818646,9.900660462889318e-05,0.20250000658632192,0.3024999919500511,DESCONOCIDO,NADA,0.7749999963409323,0.9999990000010001,0.0,0.0,2.2965036988591803e-06,2.719418117134287e-09,0.45000000731813544,0.9999999972805819,0.95,0.6000297019813887,1.0,0.7749999963409323,0.9999999994561164,1.0
1,4.34098472321608e-06,0.4050000118066922,0.5949999881933078,0.0007624518999731572,0.16402500956342084,0.3540249859500364,DESCONOCIDO,NADA,0.797500873146086,0.9999990000000799,0.0,0.0,1.6435723530899934e-06,2.7987342277873894e-09,0.40499825370782805,0.9999999972012658,0.945,0.5802287355699919,1.0,0.797500873146086,0.9999999994402532,1.0
2,3.847990145154125e-06,0.3645000169884891,0.6354999830115109,0.002597093807001047,0.13286026238460885,0.40386022840763064,Y_SI,PRESERVAR,0.9999999995120564,0.9201028901357547,0.07989610986432522,0.0,1.9973136224172073e-06,2.4397176583690292e-09,0.36449861439601583,0.9999999975602823,0.94,0.5607791281421003,1.0,0.8177506928019921,0.9999999995120564,1.0
3,1.3530214029809061e-05,0.3280500202093396,0.6719499797906604,0.006123381021900316,0.10761681575934812,0.4515167753406689,Y_SI,PRESERVAR,0.9999999987244129,0.8467199570176532,0.1532790429824266,0.0,1.5287646360555822e-06,6.377935286697801e-09,0.3280455816223537,0.9999999936220647,0.9349999999999999,0.54183701430657,1.0,0.8359772091888231,0.9999999987244129,1.0
4,7.092939846209063e-06,0.2952450249530559,0.7047549750469442,0.011672028444516163,0.08716962475953058,0.4966795748534189,Y_SI,PRESERVAR,0.99999999909405,0.7793776160467651,0.22062138395331446,0.0,2.0910688969729398e-06,4.529749943125411e-09,0.29524293079785396,0.9999999954702501,0.9299999999999999,0.5235016085333549,1.0,0.852378534601073,0.99999999909405,1.0
5,5.415471628886089e-06,0.26572053183830135,0.7342794681616986,0.019365125620997525,0.07060740104042973,0.539166337363827,Y_SI,PRESERVAR,0.9999999998313345,0.7176310597260048,0.2823679402740745,0.0,2.888018975854693e-06,8.433277293673532e-10,0.26571909283629996,0.9999999991566723,0.9249999999999999,0.5058095376862993,1.0,0.86714045358185,0.9999999998313345,1.0
6,2.030746288175143e-06,0.23914848893177978,0.7608515110682202,0.029144345012496672,0.05719199975835359,0.578895021894794,Y_SI,PRESERVAR,0.9999999994232119,0.6610571183218032,0.3389418816782756,0.0,3.1594261000373436e-06,2.883940430603465e-09,0.23914800328187358,0.9999999971160596,0.9199999999999999,0.48874330350374895,1.0,0.8804259983590632,0.9999999994232119,1.0
7,1.9830710651790393e-05,0.21523364960758234,0.7847663503924176,0.040818462109169174,0.046325523923399545,0.6158582247082347,Y_SI,PRESERVAR,0.9999999992203998,0.6092518345080654,0.3907471654920129,0.0,2.9853867871253387e-06,3.8980005802471575e-09,0.21522938137135444,0.9999999961019994,0.9149999999999999,0.47224553863275076,0.9826212637600644,0.8923853093143228,0.9999999992203998,1.0
8,3.525866092388383e-05,0.1937102923597248,0.8062897076402752,0.05411289269686622,0.03752367736609006,0.6501030926466405,NO_SE,PRESERVAR,1.0,0.5618303791828841,0.43816862081719377,0.0,2.34445560982039e-06,3.104726947930832e-09,0.19370346239420902,0.9999999968952731,0.9099999999999999,0.6562338678090598,0.9524845340849313,0.9031482688028954,1.0,1.0
9,1.5380126969927838e-06,0.17433927148654202,0.825660728513458,0.06871235787225244,0.03039418158245821,0.6817156386093741,NO_SE,PRESERVAR,1.0,0.5184280964019817,0.48157090359809546,0.0,2.539080594251962e-06,1.002568190255782e-09,0.1743390033505289,0.9999999989974319,0.9049999999999999,0.6406137073616758,0.9227426535569245,0.9128304983247355,1.0,1.0
