fase,ged_mean,lf_pct,w_norma,w_exp_norma,fraccion_W_mean
Fase 2,0.004774053026010149,93.65,0.32404609159181813,0.21983829721242348,0.40869087892554085
Fase 3,0.0001914859722588483,100.0,0.8397488750142168,0.5139406101308412,0.37418717645854543
Fase 4,0.0002687436630863812,100.0,0.9995750136993923,0.7727102564086106,0.4327034835221555
Fase 5,0.00026653974754315297,100.0,0.9996167510932553,0.9620040806302453,0.4898918325408705
Fase 6,0.00026779009008900945,100.0,0.9996168328067506,0.9945449639204804,0.4988542327636036
Fase 7,0.00017450627459335063,64.9,0.9997443363597152,0.9971556289044453,0.4993833943578123
