version	num	file	name	title_or_header	classes	functions	capability_tokens	lines
V007_con_mapas.py	7	/Volumes/LaCie/RMD/Cosmolab/VSTCosmo/v007_con_mapas.py	v007_con_mapas.py	!/usr/bin/env python3		cargar_audio, inicializar_campo, inicializar_atencion, aplicar_perturbacion, vecinos_phi, actualizar_campo, vecinos_a, varianza_local, actualizar_atencion, acoplamiento_atencion_campo, simular, visualizar_resultados, main	campo, memoria, valencia, amenaza	279
V007_controles_reales.py	7	/Volumes/LaCie/RMD/Cosmolab/VSTCosmo/v007_controles_reales.py	v007_controles_reales.py	!/usr/bin/env python3		cargar_audio, inicializar_campo, inicializar_atencion, aplicar_perturbacion, vecinos_phi, actualizar_campo, vecinos_a, varianza_local, actualizar_atencion, acoplamiento_atencion_campo, simular, main	campo, valencia, amenaza, identidad	301
V007_ganancia_0_2.py	7	/Volumes/LaCie/RMD/Cosmolab/VSTCosmo/v007_ganancia_0_2.py	v007_ganancia_0_2.py	!/usr/bin/env python3		cargar_audio, inicializar_campo, inicializar_atencion, aplicar_perturbacion, vecinos_phi, actualizar_campo, vecinos_a, varianza_local, actualizar_atencion, acoplamiento_atencion_campo, simular, main	campo, valencia, amenaza	308
V007_inestabilidad_con_acoplamiento.py	7	/Volumes/LaCie/RMD/Cosmolab/VSTCosmo/v007_inestabilidad_con_acoplamiento.py	v007_inestabilidad_con_acoplamiento.py	!/usr/bin/env python3		cargar_audio, inicializar_campo, inicializar_atencion, aplicar_perturbacion, vecinos_phi, actualizar_campo, vecinos_a, varianza_local, actualizar_atencion, acoplamiento_atencion_campo	campo, memoria, valencia, amenaza, identidad	365
V008_inercia_direccional.py	8	/Volumes/LaCie/RMD/Cosmolab/VSTCosmo/v008_inercia_direccional.py	v008_inercia_direccional.py	!/usr/bin/env python3		cargar_audio, inicializar_campo, inicializar_atencion, aplicar_perturbacion, vecinos_phi, actualizar_campo, vecinos_a, propagar_atencion, actualizar_atencion, acoplamiento_atencion_campo, simular, visualizar_resultados, visualizar_trayectorias, main	campo, memoria, valencia, predictiva, amenaza, actuador	334
V008_suelto.py	8	/Volumes/LaCie/RMD/Cosmolab/VSTCosmo/v008_suelto.py	v008_suelto.py	!/usr/bin/env python3		cargar_audio, inicializar_campo, inicializar_atencion, aplicar_perturbacion, vecinos_phi, actualizar_campo, vecinos_a, actualizar_atencion, acoplamiento_atencion_campo, simular, main	campo, valencia, libertad, amenaza, actuador	225
V009_reconfiguracion.py	9	/Volumes/LaCie/RMD/Cosmolab/VSTCosmo/v009_reconfiguracion.py	v009_reconfiguracion.py	!/usr/bin/env python3		cargar_audio, inicializar_campo, inicializar_atencion, vecinos_phi, reconfigurar_campo, actualizar_campo, vecinos_a, actualizar_atencion, acoplamiento_atencion_campo, simular, main	campo, memoria, valencia, amenaza, actuador	278
V010_supresion.py	10	/Volumes/LaCie/RMD/Cosmolab/VSTCosmo/v010_supresion.py	v010_supresion.py	!/usr/bin/env python3		cargar_audio, inicializar_campo, inicializar_atencion, vecinos_phi, reconfigurar_campo, actualizar_campo, vecinos_a, actualizar_atencion, acoplamiento_atencion_campo, simular, main	campo, memoria, valencia, amenaza, actuador	266
V011_pastor.py	11	/Volumes/LaCie/RMD/Cosmolab/VSTCosmo/v011_pastor.py	v011_pastor.py	!/usr/bin/env python3	PastorCosmosemiotico	cargar_audio, inicializar_campo, inicializar_atencion, vecinos_phi, reconfigurar_campo, vecinos_a, actualizar_atencion, acoplamiento_atencion_campo, simular, main	campo, valencia, consciencia, amenaza	330
V012_campo_permeable.py	12	/Volumes/LaCie/RMD/Cosmolab/VSTCosmo/v012_campo_permeable.py	v012_campo_permeable.py	!/usr/bin/env python3		cargar_audio, inicializar_campo, inicializar_atencion, vecinos_phi, actualizar_campo_permeable, vecinos_a, actualizar_atencion, acoplamiento_atencion_campo, simular, main	campo, memoria, valencia, amenaza, identidad	280
