fase,res_orig_mean,res_v2_mean,reserva_mean,lf_pct,grad_esp
F2,0.9276428854343212,0.7720435821731144,0.2180181432451771,0.0,0.007311425161261363
F3,0.9278522165953409,0.7544938436915405,0.226386570773911,0.0,0.0016605032408510015
F4,0.741321030012459,0.7818415732045169,0.18030271717931207,0.0,1.5700163967831405e-07
reacoplamiento,,,,,
tiempo_desde_lf,None,,,,
tiempo_basal,None,,,,
