fase,t,ged_L,ged_R,asim_LR,coh_rel,err_L,err_R,geom,frac_L,frac_R,efic,lf
F2,0.0,0.0016293263798763966,0.001629327561512551,4.279752957449859e-09,-0.0010606163127571961,0.19524196925198212,0.1948282544095398,0.4351590145675139,0.8050828821682995,0.7699284519185622,0.40431419314507566,1
F2,0.01,0.0016296955163113678,0.00162969672770541,4.283246806533707e-09,-0.0010013380304089725,0.195229648483133,0.19483905785290617,0.43515448038508553,0.8052884503689832,0.769717233558942,0.40419470916669775,1
F2,0.02,0.0016300838122737756,0.0016300850533602785,4.2866202822717596e-09,-0.0009803084832289894,0.1953127614648334,0.19493020297617342,0.435149932531265,0.8060450129504974,0.7700320402442163,0.40407768096235264,1
F2,0.03,0.001630491197817174,0.0016304924685284813,4.2898732886386255e-09,-0.0009220800281562473,0.19529887172181923,0.1949390411360514,0.4351457914036757,0.8067991296343232,0.7703433203827006,0.4039640661165068,1
F2,0.04,0.0016309176019598073,0.0016309189022251842,4.293005167293302e-09,-0.0008659692977056884,0.19522407101185443,0.19488624745325886,0.4351416863801342,0.8075505926634766,0.7706513556540153,0.40386149067867366,1
F2,0.05,0.0016313629527139758,0.0016313642824592111,4.296014562712154e-09,-0.0008057132767927727,0.19529181212649818,0.19497736706721822,0.4351365999832912,0.808300001639477,0.7709554181196749,0.40376854380704025,1
F2,0.06,0.0016318271770789097,0.001631828536222686,4.298900611297471e-09,-0.0008208849886770467,0.19543070019736525,0.19511011110781698,0.43513381626982733,0.8090461299258579,0.7712565611349668,0.40368646857358953,1
F2,0.07,0.0016323102010026666,0.001632311589459165,4.301664283387681e-09,-0.0008347084548122896,0.19566991783072957,0.19534353559512618,0.4351295138260934,0.8097916946349714,0.7715536009303637,0.4036123404948976,1
F2,0.08,0.0016328119493703751,0.00163281336704967,4.304307948145019e-09,-0.0009100173161411926,0.19554678340515338,0.1951912050694763,0.43512646568229757,0.810534661526689,0.7718467039943473,0.4035486375164832,1
F2,0.09,0.0016333323460063658,0.0016333337928211707,4.306831669666092e-09,-0.0008676425365433494,0.19534874773968183,0.19501005583709768,0.43512641143946473,0.8112745529861313,0.7721377035351628,0.40349416199891924,1
F2,0.1,0.0016338713137553052,0.0016338727896170035,4.309232360564575e-09,-0.0008793879557518885,0.19534144671497644,0.19499818674257333,0.4351223728677342,0.8120127479310749,0.772424414207917,0.40344792956659237,1
F2,0.11,0.0016344287744266186,0.0016344302792433002,4.311513486156044e-09,-0.0009310206257985938,0.19535011211133818,0.1949867004877069,0.4351194111917111,0.8127477423633345,0.7727084697098316,0.4034067376089066,1
F2,0.12,0.0016350046487720188,0.0016350061824525267,4.3136726120369665e-09,-0.0009582943568767819,0.195229610825493,0.19485579418307747,0.4351145450481948,0.8134792263304065,0.772986311898677,0.403282864056693,1
F2,0.13,0.001635598856415865,0.0016356004188673478,4.315710378602979e-09,-0.0011035620884759713,0.19510029267064133,0.19467015677930977,0.4351131001172064,0.8142100829002838,0.7732644921889094,0.40314851156316645,1
F2,0.14,0.001636211316025148,0.0016362129071466572,4.31762754806326e-09,-0.0011349813959741532,0.1950758144772628,0.19463350165350307,0.4351118790644655,0.8149342530303617,0.7735400397958369,0.4030229671650277,1
