fase,t,ged_L,ged_R,frac_L,frac_R,sesgo_freq,asimetria_LR,G_actividad,senal_mant,eficiencia,error_rec
Fase 2,0.0,0.0016761695668839121,0.0016761733341207348,0.8048674482496835,0.7701421434081746,-0.04409535665742469,5.395505916717281e-09,0.4509024545069618,0.0,0.42902508103466913,0.028891864614737566
Fase 2,0.01,0.0016762326855882495,0.001676236487032266,0.8056232996438752,0.7704555061471409,-0.04462694805299914,5.400195193595557e-09,0.45096013225460835,0.0,0.42878246349347615,0.028665451862948787
Fase 2,0.02,0.001676313194288388,0.0016763170298413127,0.8063764631394396,0.770765859879049,-0.0451583889933732,5.404744039786039e-09,0.4510178555832725,0.0,0.4285463980254984,0.02869429440311134
Fase 2,0.03,0.0016764110465494206,0.0016764149160763268,0.8071279296160726,0.7710727181619725,-0.04569154309353798,5.409152461864007e-09,0.45107562598852236,0.0,0.4283171929258934,0.028465222115375766
Fase 2,0.04,0.0016765261949137312,0.0016765300983055508,0.8078754834395948,0.7713764342413931,-0.04622321339561562,5.413418865051797e-09,0.4511334457888325,0.0,0.4280929964733912,0.02804684441603046
Fase 2,0.05,0.001676658590960954,0.0016766625281135798,0.8086202722239408,0.7716764802846483,-0.04675551206524645,5.418538253152317e-09,0.45119131375518295,0.0,0.42787418827677515,0.028079005104037352
Fase 2,0.06,0.0016768081852805983,0.001676812156059177,0.8093647826697812,0.7719731804199963,-0.047291095417358466,5.423808902793187e-09,0.4512492282334126,0.0,0.4276648300085083,0.02824189086950218
Fase 2,0.07,0.0016769749274311752,0.0016769789316893851,0.8101056799201819,0.7722670872827705,-0.047825131248051114,5.42893328309477e-09,0.45130718531418096,0.0,0.4274594499764087,0.02872332066233717
Fase 2,0.08,0.0016771587659575656,0.0016771628035267424,0.8108444052147081,0.7725592664507582,-0.04835802701364293,5.433910791281927e-09,0.4513651907931566,0.0,0.4272609270448421,0.02799698085871584
Fase 2,0.09,0.0016773596483728099,0.0016773637190971124,0.8115804783687166,0.7728436877424614,-0.04889699545713325,5.438741136011924e-09,0.451423249024017,0.0,0.42707291269777337,0.027197005724693916
Fase 2,0.1,0.001677577521192328,0.0016775816249027546,0.8123114936708411,0.7731256064309854,-0.04943228241264062,5.44342071320507e-09,0.45148136096392477,0.0,0.42689189410584016,0.02692199120558384
Fase 2,0.11,0.0016778123299037175,0.00167781646642546,0.8130436956585599,0.7734039590715337,-0.0499729524246675,5.447951463127314e-09,0.4515395277252216,0.0,0.42671728454853464,0.02665093244273651
Fase 2,0.12,0.001678064018967172,0.0016780681881026366,0.8137730090109648,0.7736777264185256,-0.050515309480254525,5.452335697904716e-09,0.4515977531031592,0.0,0.42646005398722125,0.026025837210270537
Fase 2,0.13,0.001678332531792038,0.0016783367333783336,0.8144980490573509,0.7739506834839242,-0.05105278469838562,5.4580480452435704e-09,0.4516560422677289,0.0,0.4261910234715446,0.02524813081056516
Fase 2,0.14,0.0016786178107937178,0.0016786220447321182,0.8152206737204373,0.7742232158268869,-0.05158717229738328,5.463981631657208e-09,0.4517143977707856,0.0,0.4259337192959373,0.02491559534067775
Fase 2,0.15,0.001678919797417308,0.0016789240635012841,0.8159423233173592,0.7744874193698936,-0.05213044353335821,5.469762367654102e-09,0.4517728179408462,0.0,0.42568848128895603,0.0250668707015675
