fase,ged_mean,lf_pct,w_prof_norma,w_rec_norma,error_rec,balance,coherencia,tasa_olvido
Fase 2,0.00845395368196144,82.19999999999999,0.001042775860256621,0.18385834585310704,0.15042675802316377,1.2965324968590695,0.24407385647076077,0.00610184641176902
Fase 3,0.005272794980999491,96.85000000000001,0.0016672092679124785,0.38766758480817426,0.19889057634249,1.8146116659894662,0.12883906941639184,0.003220976735409797
Fase 4,0.004594084899247521,100.0,0.0020403707533080246,0.5918346065633003,0.21155506504645133,1.8998288443292026,0.099730376561051,0.002493259414026275
Fase 5,0.004602819195494337,100.0,0.0022569976396542273,0.7916232409862407,0.21841965939009655,1.96666684974998,0.09400017761177054,0.0023500044402942634
Fase 6,0.00455400060662624,100.0,0.0023820654671771586,0.9681189688495135,0.22134687526306837,1.9952896897814398,0.09240800936569957,0.0023102002341424894
Fase 7,0.0035764348251268196,100.0,0.0023589062886828706,0.9997783106050232,0.22238657160909314,2.0137472731377497,0.09196795729740082,0.002299198932435021
