fase,t,resonancia,reserva_efectiva,lf_activa,lf_estable
F2,30.0,0.9301769686197969,0.06563364949739088,0,0
F2,30.01,0.9302447050150926,0.06556997728581296,0,0
F2,30.020000000000003,0.9303135082398359,0.06550530225455421,0,0
F2,30.030000000000005,0.9303833734939271,0.06543962891570854,0,0
F2,30.040000000000006,0.9304542959307844,0.06537296182506262,0,0
F2,30.050000000000008,0.9305262706579093,0.06530530558156528,0,0
F2,30.06000000000001,0.9305992927374444,0.0652366648268023,0,0
F2,30.07000000000001,0.9306733571867191,0.06516704424448408,0,0
F2,30.080000000000013,0.930748458978769,0.06509644855995712,0,0
F2,30.090000000000014,0.9308245930428473,0.06502488253972358,0,0
F2,30.100000000000016,0.9309017542649041,0.06495235099099017,0,0
F2,30.110000000000017,0.9309799374880571,0.06487885876122634,0,0
F2,30.12000000000002,0.9310591375130404,0.06480441073774205,0,0
F2,30.13000000000002,0.9311393490986402,0.06472901184727825,0,0
F2,30.140000000000022,0.9312205669621061,0.06465266705562027,0,0
F2,30.150000000000023,0.9313027857795498,0.06457538136722316,0,0
F2,30.160000000000025,0.9313860001863221,0.06449715982485721,0,0
F2,30.170000000000027,0.9314702047773754,0.06441800750926711,0,0
F2,30.180000000000028,0.9315553941076027,0.06433792953885348,0,0
F2,30.19000000000003,0.9316415626921575,0.06425693106937197,0,0
F2,30.20000000000003,0.9317287050067644,0.06417501729364145,0,0
F2,30.210000000000033,0.9318168154880123,0.06409219344126842,0,0
F2,30.220000000000034,0.9319058885336228,0.06400846477839459,0,0
F2,30.230000000000036,0.9319959185027066,0.06392383660745582,0,0
F2,30.240000000000038,0.9320868997159971,0.06383831426696271,0,0
F2,30.25000000000004,0.9321788264560711,0.06375190313129317,0,0
F2,30.26000000000004,0.9322716929675491,0.06366460861050385,0,0
F2,30.270000000000042,0.9323654934572478,0.06357643615018703,0,0
F2,30.280000000000044,0.9324602220943797,0.06348739123128305,0,0
F2,30.290000000000045,0.932555873010702,0.06339747936994014,0,0
F2,30.300000000000047,0.9326524403006488,0.06330670611739017,0,0
F2,30.31000000000005,0.9327499180214485,0.06321507705983843,0,0
F2,30.32000000000005,0.9328483001932262,0.06312259781836739,0,0
F2,30.33000000000005,0.9329475807990849,0.06302927404886019,0,0
F2,30.340000000000053,0.9330477537851765,0.06293511144193413,0,0
F2,30.350000000000055,0.9331488130607523,0.06284011572289287,0,0
