fase,t,ged_L,ged_R,alpha_L,alpha_R,G_actividad,G_varianza,asimetria_LR,perm_nivel,senal_mant,eficiencia,ventaja,error_rec
Fase 2,0.0,0.0016557476845030091,0.0016557523500089564,0.033941717752538104,0.03792236446885847,0.45154376147943187,0.0010268463492084997,6.207908345825546e-09,0.4372800711577413,0.0,0.41254694930007674,1.0,0.03313601652837658
Fase 2,0.01,0.001655275883186839,0.0016552826880829267,0.03392297090571418,0.037941032652172885,0.45160273301959214,0.0010208499354297455,7.706084026369509e-09,0.4372783716004306,0.0,0.4123224990436278,1.0,0.03237902629476505
Fase 2,0.02,0.001654820774717239,0.0016548297430665185,0.033904223895894266,0.037959694684127264,0.45166169001088663,0.001014870282226666,9.491411458616896e-09,0.43727655991402137,0.0,0.4121022280884185,1.0,0.03147922277327473
Fase 2,0.03,0.0016543823524973042,0.0016543935048543693,0.03388547662314509,0.03797835137255598,0.45172064305133275,0.0010089073500447925,1.1338661973261919e-08,0.4372746501041492,0.0,0.4118862442787264,1.0,0.030802208765561848
Fase 2,0.04,0.0016539606084015682,0.001653973962023818,0.03386673110677064,0.03799700139843682,0.4517796004351942,0.001002961002988311,1.3400104694022404e-08,0.4372726490085342,0.0,0.41167765922348937,1.0,0.030321892561887047
Fase 2,0.05,0.0016535555327948398,0.0016535711018399021,0.03384798785967654,0.038015644590750165,0.4518385753490688,0.000997031590036202,1.5569045062465603e-08,0.437270582808993,0.0,0.4114755990429308,1.0,0.02907596240020709
Fase 2,0.06,0.0016531671145980401,0.0016531849103152397,0.03382924818178365,0.03803428095866599,0.45189757406075104,0.0009911189191609679,1.7795717199363605e-08,0.4372684528235945,0.0,0.41128491542994833,1.0,0.028835169126226953
Fase 2,0.07,0.0016527953413071645,0.0016528153722149036,0.03381051262158151,0.03805291001959822,0.4519566029898705,0.0009852228559591566,2.0030907739286488e-08,0.4372662620370815,0.0,0.4111055435211441,1.0,0.028541025655882377
Fase 2,0.08,0.0016524401990131827,0.0016524624710663157,0.03379178142760473,0.03807153167424935,0.4520156771541562,0.0009793439061020004,2.2272053133330768e-08,0.43726404675855707,0.0,0.4109351219018215,1.0,0.026990785972129804
Fase 2,0.09,0.001652101672450064,0.0016521261891985469,0.03377305566268206,0.038090146675245795,0.4520748061571935,0.0009734823972842361,2.4516748483033217e-08,0.4372618238143795,0.0,0.410772272933886,1.0,0.0261857148752379
Fase 2,0.1,0.0016517797450456642,0.0016518065077918947,0.03375433582537592,0.03810875536534306,0.45213399439153334,0.0009676381715714713,2.676274623013839e-08,0.43725959163105815,0.0,0.4106166363937397,1.0,0.026090859364857475
Fase 2,0.11,0.0016514743989056132,0.0016515034068432818,0.03373562225603806,0.03812735732551485,0.45219324998304855,0.0009618114754890425,2.9007937668615102e-08,0.43725736238951884,0.0,0.41046957936134193,1.0,0.025504977204678366
Fase 2,0.12,0.0016511856148744713,0.0016512168652279607,0.03371691629847099,0.03814595182100495,0.4522525845244844,0.0009560027349562277,3.125035348977113e-08,0.43725516278192667,0.0,0.4102359491519521,1.0,0.02431033746816883
