fase,angulo,t,ged_L,ged_R,act_busc,coh_rel,geom,frac_L,frac_R,efic,lf
F2,60.0,0.0,0.0016466269288079494,0.0016466309058846653,0.0004477563228546533,0.0008690972354561085,0.4346195880987091,0.8079608394203035,0.7666477278609407,0.4173744504218978,1
F2,60.0,0.01,0.001647314556611962,0.001647318549018134,0.00044624753423283536,-2.0810694583025365e-05,0.43461768593633077,0.8081668378401904,0.7664385840456249,0.4173385643440344,1
F2,60.0,0.02,0.0016480092324328063,0.0016480132400433975,0.0004562339300413498,0.0015125382984909406,0.43461540263509435,0.808916235929785,0.7667645901602322,0.41731180750024166,1
F2,60.0,0.03,0.0016487108570665693,0.0016487148797519,0.0004695870903047572,0.0019698269983358606,0.4346130906551433,0.8096813446625525,0.7670695725703578,0.41729354831390825,1
F2,60.0,0.04,0.0016494193312120047,0.001649423368833663,0.00047892593543641393,0.0014449513192579806,0.4346110948242419,0.810449133584191,0.7673655851754378,0.417283636417612,1
F2,60.0,0.05,0.001650134555587194,0.0016501386079937682,0.0004712317608802641,-0.0008184183139625223,0.43460981862544157,0.8112077816672963,0.7676648993929348,0.41728244675187676,1
F2,60.0,0.06,0.0016508564309103873,0.0016508604979298589,0.0004638225618058822,-0.0007839811299928731,0.43460803027850003,0.8119362919448208,0.7679884528150571,0.41728952793368795,1
F2,60.0,0.07,0.0016515848578183279,0.0016515889392686263,0.00043723513830984384,-0.0033457674956463776,0.43460889198180747,0.8126631799127013,0.7683075361485195,0.417303986826343,1
F2,60.0,0.08,0.0016523197368627192,0.0016523238325536942,0.000444016251641588,0.0010884387122592678,0.4346083272957514,0.813358154608686,0.768652638745395,0.4173254475054442,1
F2,60.0,0.09,0.0016530609685496064,0.001653065078293402,0.00043438694066688655,-0.001093713577207265,0.4346086576811463,0.8141020510800023,0.7689434770893157,0.4173544308907052,1
F2,60.0,0.1,0.0016538084533964756,0.0016538125770138854,0.0004158428749384546,-0.002287712763248948,0.4346099354473792,0.8148254144027072,0.7692630862136111,0.41738828067143097,1
F2,60.0,0.11,0.0016545620918832025,0.001654566229184065,0.0004073106223906331,-0.0009634164544272577,0.4346110659312735,0.8155299193260175,0.7695948604219779,0.41742896574370014,1
F2,60.0,0.12,0.0016553217844179349,0.001655325935217944,0.0003720533280291427,-0.004534250937099965,0.43461339143812067,0.816246290804419,0.769908260969327,0.41739066544455083,1
F2,60.0,0.13,0.0016560874313929124,0.0016560915955159794,0.0003593183284695822,-0.0015505766346329023,0.43461334675057356,0.8169217146293578,0.7702586786655445,0.41733728846893575,1
F2,60.0,0.14,0.0016568589331275325,0.0016568631103855474,0.00032442402106358514,-0.004515469727040795,0.4346158603053047,0.8176309156228262,0.7705746295224412,0.4172889005513164,1
F2,60.0,0.15,0.0016576361899087795,0.0016576403801107512,0.0003099561062971379,-0.0018112788320538075,0.43461979126129807,0.8182984703056195,0.7709219055924779,0.4172487342810748,1
F2,60.0,0.16,0.0016584191020220936,0.0016584233049739606,0.00032510529069673666,0.0021296563879528974,0.4346214578216967,0.818996627419155,0.7712317757035861,0.41721483666870296,1
F2,60.0,0.17,0.001659207569694105,0.001659211785198748,0.0003232300974260749,-0.00012937601403965903,0.4346221430374893,0.8197405930854416,0.7714923478092456,0.41718865885663214,1
F2,60.0,0.18,0.0016600014930792,0.0016600057209243619,0.0003222431865469444,-1.1085273319213477e-05,0.4346247613521173,0.820452763404043,0.7717739633389807,0.417169224701587,1
F2,60.0,0.19,0.001660800772167584,0.0016608050121471986,0.0003338729272054364,0.001671772201589232,0.43462564880500165,0.8211675309188287,0.7720521474580091,0.41715810560135047,1
F2,60.0,0.2,0.0016616053069709634,0.0016616095588834708,0.0003271018519974689,-0.0007729709019981542,0.43462579553085645,0.821897731479378,0.7723091767610687,0.4171556940884188,1
F2,60.0,0.21,0.001662414997437031,0.0016624192610689998,0.000310719025916506,-0.0020582631996008114,0.4346315801800916,0.8225961390236407,0.772593200568463,0.4171619482072004,1
F2,60.0,0.22,0.0016632297434037322,0.0016632340185512287,0.00031717747453319234,0.0009777235583282163,0.43463469943694455,0.8232736193716795,0.7728869185891356,0.4171768217065781,1
