fase,angulo,t,ged_L,ged_R,grad_E,act_busc,coh_rel,geom,geom_baja,geom_alta,frac_L,frac_R,efic,lf
F2,60.0,0.0,0.001719710225352807,0.0017197142799240143,0.7607661940839764,0.0300405202983256,-1.1060403913575493e-05,0.45783592473317003,0.5254742723901481,0.4650345522174909,0.8246819446544018,0.7766259094587745,0.42302412517045174,1
F2,60.0,0.01,0.0017219083021427822,0.0017219123640412495,0.7504263132666228,0.030067679573016592,-1.3970881751184263e-05,0.4577825863000193,0.5256478588606432,0.46474165435520803,0.8248417272237398,0.7764152521635865,0.42316676879846504,1
F2,60.0,0.02,0.0017241195915056653,0.001724123660656067,0.7210784463322822,0.030094416320502138,-1.3896287042088914e-05,0.4577289227989651,0.5258210819717496,0.46444843567609945,0.8255016233733729,0.7766751984306319,0.42331201101519234,1
F2,60.0,0.03,0.0017263438644751303,0.0017263479407998539,0.563208806934681,0.03012071418606066,-8.118971128765895e-06,0.45767494542327825,0.5259939759898458,0.46415488785791814,0.8261592604245419,0.776932661912981,0.4234595028865695,1
F2,60.0,0.04,0.0017285808918784493,0.0017285849753006393,0.710155919369386,0.030146611597049677,-8.763722694580077e-06,0.45762066804107276,0.5261665717637344,0.46386101545993014,0.826815594600845,0.7771885034256105,0.42361277858956614,1
F2,60.0,0.05,0.0017308304444055757,0.0017308345348426525,0.7805546003971036,0.03017209271404342,-1.5992214755025817e-05,0.4575660907683627,0.5263388455585752,0.46356684360340294,0.8274698218930695,0.7774419577429191,0.42377473588914966,1
F2,60.0,0.06,0.001733092292626088,0.001733096389982769,0.7316722125348106,0.030197158054215856,-1.7004824058893397e-05,0.4575112105744815,0.5265107843827335,0.4632723765756898,0.8281214792729493,0.7776926285731658,0.4239443983222276,1
F2,60.0,0.07,0.0017353662069359824,0.0017353703111097677,0.6572518013585668,0.03022180746659575,-3.44672733736013e-05,0.45745601683487314,0.5266823665433619,0.46297760735121246,0.8287708563149311,0.7779408050625483,0.42412196463975377,1
F2,60.0,0.08,0.0017376519576104597,0.0017376560684950638,0.7102872399814391,0.03024604685696408,-1.0701361295549444e-05,0.45740053304372763,0.5268535957682086,0.4626825889399717,0.8294182594346462,0.7781867885955651,0.4243057326370081,1
F2,60.0,0.09,0.0017399493147990277,0.0017399534322902945,0.6396262760931221,0.030269872849372548,-1.0348320676129602e-05,0.4573447798330974,0.5270245208323482,0.4623873272343843,0.8300648740800334,0.7784317336075739,0.42449910747846825,1
F2,60.0,0.1,0.0017422580485480304,0.0017422621725443751,0.7047779963128081,0.030293293364473506,-2.0088276850424582e-05,0.4572887638025335,0.5271951677758945,0.4620918134078677,0.8307094675866211,0.7786744511710199,0.42470041760060057,1
F2,60.0,0.11,0.001744577928831083,0.0017445820592241965,0.6730210918284285,0.03031630605345048,-1.67446433557899e-05,0.45723249148934586,0.5273655590134608,0.4617960414864818,0.8313500917983114,0.7789130936637445,0.42491152315620595,1
F2,60.0,0.12,0.0017469087255418264,0.0017469128622221322,0.862696881954664,0.030338915730707017,-3.675650939647727e-05,0.457175979457233,0.5275357307392536,0.4615000182947341,0.8319892871878469,0.7791500227103619,0.42505368434549423,1
F2,60.0,0.13,0.0017492502084678718,0.0017492543513286645,0.7450567018031062,0.03036112154972881,-3.561983841044682e-05,0.457119245863388,0.5277057063919935,0.4612037675773688,0.8326290660479071,0.7793871023065314,0.4251863576386335,1
F2,60.0,0.14,0.0017516021474102133,0.0017516062963307633,0.7132557202419454,0.03038292523584263,-2.21323137662678e-05,0.45706230317728136,0.5278755008210553,0.4609073041526801,0.8332636703733677,0.7796189446440285,0.42532901574805776,1
F2,60.0,0.15,0.0017539643120526261,0.0017539684669097388,0.7452108428275905,0.030404329409603692,-1.9604530569069982e-05,0.4570051467154313,0.5280450998559273,0.46061062868632974,0.8338978450710458,0.7798499940997243,0.42548089169475045,1
F2,60.0,0.16,0.0017563364719814906,0.0017563406326466056,0.7047946483112375,0.030425334706016716,-2.414947775976634e-05,0.4569477906856552,0.528214525088917,0.4603137562054725,0.8345302395374905,0.7800790010097837,0.4256420885270543,1
F2,60.0,0.17,0.0017587183967650672,0.0017587225631143935,0.6845888243040334,0.03044594291068814,-3.0554314414611946e-05,0.45689023372155857,0.5283837663657645,0.4600166914047517,0.8351609683879705,0.7803060699272639,0.425812131277371,1
F2,60.0,0.18,0.0017611098559241858,0.0017611140278276957,0.6283903036580409,0.03046615278452791,-3.552621711539556e-05,0.45683248677158067,0.5285528495683329,0.4597194348898681,0.8357869607572158,0.7805283476245378,0.42599174743993107,1
