test,metric,value,criterio
A,grad_estable,0.5320,>0.15
A,persistencia_s,27.0,>20
A,w_tras_entreno,0.0325,>0.01
B,grad_estable_ruido,0.5320,>0.08
C,grad_estable_sin_entreno,0.4966,<0.03
D,min_acop_A,0.071688,>0.01
D,min_acop_B,0.071688,>0.01
decision,v72_b_fase3,PENDIENTE,
