fase,ged_mean,lf_pct,w_prof_norma,w_rec_norma,error_rec,balance
Fase 2,0.00845396849279969,84.05,0.0010426223386549008,0.14692930069889734,0.12997321702111517,1.1536574812152867
Fase 3,0.005272798243230905,88.44999999999999,0.0016668729719445143,0.26805277079515827,0.1834709618277636,1.7491902003724962
Fase 4,0.004594063101717977,92.35,0.0020398377614555614,0.3443297432136095,0.19135140421886507,1.7992081506481041
Fase 5,0.0046027763155784525,95.05,0.002256350949778141,0.39133229792468094,0.1957978769412482,1.8485246430851272
Fase 6,0.004553949569501176,97.35000000000001,0.002381345879926111,0.4201407160186883,0.19819855948159576,1.873726412977369
Fase 7,0.003576377678545252,100.0,0.002358207158624288,0.4306201413663882,0.20176991808793132,1.8820391963586764
