fase,t,ged_L,ged_R,act_busc,coherencia_rel,geom_estado,frac_L,frac_R,eficiencia,lf_activa
Fase 2,0.0,0.001717182426316531,0.0017171863927503198,-0.05588247038738331,0.0008602996224887531,0.4327476295222702,0.8076952775435874,0.7656379307273791,0.41951182884403176,1
Fase 2,0.01,0.0017179297153908726,0.001717933703358172,-0.055895696927835414,-2.0536495940472606e-05,0.43272940444095853,0.8084853929554131,0.7659796892073484,0.41950672660055205,1
Fase 2,0.02,0.001718691285702501,0.0017186952951132152,-0.05590784686660777,0.001496986284053105,0.4327110477024374,0.8092625304690275,0.7663279308270071,0.4195108216197191,1
Fase 2,0.03,0.0017194670238677616,0.0017194710545796654,-0.05591972469133738,0.001948913043111693,0.4326924664992336,0.8100550799606192,0.7666552644178981,0.4195257324279502,1
Fase 2,0.04,0.0017202568159670952,0.0017202608678804332,-0.05593205931307521,0.0014306584329059433,0.4326733200842141,0.810852393079676,0.7669777938240477,0.4195514862644369,1
Fase 2,0.05,0.00172106054764639,0.0017210646206407194,-0.05594613967811973,-0.0008093746715473074,0.43265483415654926,0.811642219532727,0.7673028691740836,0.41958715405123953,1
Fase 2,0.06,0.0017218781040634532,0.00172188219800856,-0.05596025141908989,-0.0007754434934277081,0.43263907842281407,0.8124030766643849,0.7676524974521617,0.4196308608536718,1
Fase 2,0.07,0.0017227093698898722,0.0017227134845856898,-0.05597632047261558,-0.003309862337989832,0.4326243239417771,0.8131630171809043,0.7679996175221513,0.41968262110437354,1
Fase 2,0.08,0.001723554229244455,0.0017235583645044596,-0.0559891468200695,0.0010757109249146099,0.4326079558289102,0.813893236104542,0.7683750590977065,0.4197394947036962,1
Fase 2,0.09,0.0017244125657704115,0.0017244167214104217,-0.05600365362850346,-0.001081494256863521,0.4325910375274747,0.8146735631822236,0.7686960340022551,0.4198033964452498,1
Fase 2,0.1,0.0017252842626289322,0.0017252884385287038,-0.056019101110251324,-0.002263772553817982,0.4325749863783506,0.8154246595489995,0.7690404399484015,0.41987437326708155,1
Fase 2,0.11,0.0017261692025633646,0.0017261733986078612,-0.05603361490549885,-0.0009534755247071852,0.4325579085455433,0.8161601097563826,0.7693969676569288,0.4199551751557839,1
Fase 2,0.12,0.0017270672678365493,0.0017270714838949633,-0.05605083043679032,-0.004484445358328213,0.4325447171496664,0.8169097122990044,0.769734177823946,0.4199486753573996,1
Fase 2,0.13,0.00172797834021124,0.001727982576112605,-0.05606587240555383,-0.0015334164286876573,0.43252824188095046,0.8176144224072772,0.7701098583133259,0.4199215709604495,1
Fase 2,0.14,0.0017289023009397367,0.0017289065564828553,-0.05608316487700188,-0.004466943967546466,0.43251593341543854,0.8183512265778083,0.770448720251758,0.4199004055158988,1
Fase 2,0.15,0.0017298390307690977,0.0017298433057553087,-0.05609848966713471,-0.0017916289823914232,0.432500139690313,0.8190508252243096,0.7708169846411308,0.41988843749790716,1
Fase 2,0.16,0.001730788409966916,0.0017307927041298216,-0.056110938170691516,0.002107963159942221,0.43248804266565927,0.8197778236621035,0.7711523256320626,0.41988533345056134,1
Fase 2,0.17,0.001731750318252058,0.001731754631300926,-0.05612512624025112,-0.00012792792686827152,0.43247498861105155,0.820552785220024,0.7714339977966276,0.41989069693235864,1
