instancia,ciclo,omega_f2,omega_f13,efic_f2,efic_f13,asys_f2,asys_f13,mejor_ef,tend_f13,geom_q1_f13,geom_q4_f13,var_int_f2,var_int_f13,c31,c32
A,1,0.8674079693307637,0.14563982823028207,0.3028420803350733,0.72602600225143,0.26268763393135,0.10573830225861665,1.0024096305865648,0.021677219982716878,0.36771087476587083,0.3893880947485877,0.0031177945624543007,0.002048632679546259,1,1
A,2,0.8689892649825111,0.14557201439489093,0.8528977274816295,0.6804994953820855,0.7411589693095152,0.09906168233747696,5.34410259957532,0.04505298085709941,0.3443347142073981,0.3893876950644975,0.0022047817801536876,0.0018026324202723145,1,1
A,3,0.86900513837325,0.1455208542567804,0.7772481857920644,0.688280661768893,0.6754326672445905,0.10015918986903145,5.36880321097324,0.04518092178045757,0.34391561391438213,0.3890965356948397,0.0022279558736536267,0.0016596059049528175,1,1
A,4,0.8690135604121337,0.14555584577475092,0.8240900369907412,0.730752291717142,0.7161454171454911,0.10636526787272611,5.470030665771803,0.04542462480421289,0.34436423905152264,0.3897888638557355,0.0023244032931629254,0.0017609051800735157,1,1
A,5,0.8690140510669704,0.14559131726488628,0.7654233813324922,0.7253541263894826,0.6651636733931275,0.10560526274456558,5.470030665771803,0.045846174192644806,0.3439200683478269,0.3897662425404717,0.002206011573098909,0.0017672392144103034,1,1
B,1,0.8674135666913916,0.14563919009171783,0.29571997251334037,0.7057197113295106,0.2565115160996769,0.10278044718979083,0.9603318740257063,0.021809437995007896,0.3676784286353119,0.3894878666303198,0.0030316830338808897,0.0020260924977563597,1,1
B,2,0.8689818472744425,0.14558068669984808,0.8276140188554987,0.700759286808637,0.7191815589352766,0.10201701818489717,5.33452403862959,0.04510993611732733,0.3443685554821464,0.38947849159947373,0.0022501255982421936,0.0018037668999492478,1,1
B,3,0.8690048132277682,0.14552076014858795,0.7695292932492288,0.6980894739021081,0.6687246597533426,0.10158651089396262,5.801792395325039,0.04503059758932515,0.3440127048684153,0.38904330245774044,0.0022171103202330102,0.0016480328257924314,1,1
B,4,0.8690166938002384,0.14554784083777678,0.8410061532832125,0.7421454498041817,0.7308483867918338,0.1080176678065793,5.801792395325039,0.04539820818628676,0.34437313883183396,0.3897713470181207,0.002315980940611199,0.0017203813434040819,1,1
B,5,0.8690090391506731,0.14558617180846603,0.7902135343450799,0.7582805205814889,0.6867027042050753,0.1103951581483897,5.801792395325039,0.04585545293227411,0.3439411627512333,0.38979661568350743,0.0022503968894258255,0.001786231045095969,1,1
C,1,0.8707391412975705,0.1456450500159294,0.2930300176968802,0.7075854368984725,0.25515270598379336,0.10305631634762129,0.9467451570041134,0.021844085735544305,0.36756132448597345,0.38940541022151776,0.0028920482337554685,0.0019764614401493906,1,1
C,2,0.8689889053194426,0.14556936310750715,0.8348695835282322,0.691229964977676,0.7254924054746974,0.10062190576262477,4.657428401931157,0.04509318994048206,0.34436377396270973,0.3894569639031918,0.0022121706212289657,0.001811110587357935,1,1
C,3,0.8690032298834881,0.14552115743155064,0.8034393663332458,0.6716429942713145,0.6981914043591335,0.09773826590715402,5.264485712700744,0.045023295899161764,0.3439591405923223,0.38898243649148406,0.002231835371426585,0.00161673621940849,1,1
C,4,0.8690131480720847,0.1455508067349959,0.7838198829410555,0.7286898840683638,0.6811497839960996,0.10606140048578099,5.571588474279917,0.045219520833249205,0.3443917026153906,0.3896112234486398,0.00217820486816135,0.0017427865029312956,1,1
C,5,0.869011058553064,0.14559011595130744,0.7657749389806412,0.7547123800439565,0.665466890336975,0.10987866292048683,5.696081051596789,0.04579983729876391,0.34392866726853494,0.38972850456729885,0.002225188439984776,0.0017554835974581764,1,1
