fase,angulo,t,ged_L,ged_R,fuerza_grad,signo_grad,act_busc,coh_rel,err_L,err_R,geom,frac_L,frac_R,efic,lf
F2,60.0,0.0,0.0017543028736320924,0.0017543063746672837,0.0076031529842614,0.005030955296054725,-0.01548292787355604,0.0008643599269850001,0.20465126305439746,0.20500535381793258,0.4334422355033391,0.8078458584028424,0.7659473561585253,0.42975301378586794,1
F2,60.0,0.01,0.001755040197084697,0.001755043720758164,0.0009194392433303485,-5.8380258327220746e-05,-0.01552360352548282,-2.0664155517418642e-05,0.20669220920757206,0.2066836671441739,0.4334316798878627,0.8080501147471278,0.765731744095834,0.42972377578021625,1
F2,60.0,0.02,0.0017557888664171207,0.0017557924126281844,0.013474535188449209,0.008327039275273427,-0.015562580165097706,0.0015042560667327062,0.20448831099492282,0.20510444338073258,0.4334206987884386,0.8087999030511015,0.7660525332719628,0.42970346280372057,1
F2,60.0,0.03,0.001756548786749124,0.001756552355392681,0.014900937756572445,0.010967882939514152,-0.015601151693315218,0.001958878014149366,0.20305755149404237,0.2038546428454191,0.43340981998290173,0.8095644424979248,0.7663528425606796,0.42969238183477,1
F2,60.0,0.04,0.0017573198628344424,0.0017573234538005873,0.010537622549219097,0.007880216304967536,-0.015640606424859038,0.0014372773408617436,0.20619958991365472,0.20679317505683037,0.43339947649425853,0.8103322137063863,0.7666443068124345,0.4296911183960776,1
F2,60.0,0.05,0.0017581019990925012,0.0017581056122630595,0.02283028145507303,-0.007165876620648452,-0.01568363235021719,-0.0008135251229276585,0.2080850983233955,0.2077468086201007,0.4333910693142542,0.8110914578771271,0.7669384613772351,0.42969997870244125,1
F2,60.0,0.06,0.0017588950996092164,0.0017588987348462976,0.008731929946115108,-0.004822120782203229,-0.015726310077155414,-0.000779428253583918,0.21030149171141801,0.20997391718336095,0.4333825252432531,0.8118216620780372,0.7672562752911667,0.42971906131367543,1
F2,60.0,0.07,0.0017596990681007024,0.0017597027252550497,0.020811358707437347,-0.019682137511321023,-0.015772509537261337,-0.003326989624987158,0.20362940771317903,0.2022789548020626,0.4333743280760611,0.8125495875158456,0.7675701012456164,0.4297483267163919,1
F2,60.0,0.08,0.0017605138079314444,0.0017605174868449453,0.016574842859314317,0.008471086805789674,-0.015812546236408542,0.001081788582288921,0.20113309913535626,0.20156873738427816,0.43336531580027826,0.8132495157074329,0.7679151364222108,0.4297857112566913,1
F2,60.0,0.09,0.0017613392220484198,0.0017613429225675986,0.01575131080315546,-0.007407638800168611,-0.015856335246527076,-0.0010871852282032222,0.20531334871094076,0.20486740625314184,0.43335394602527033,0.8139985086743908,0.7682054890467613,0.4298304132459223,1
F2,60.0,0.1,0.0017621752130672183,0.0017621789350413927,0.01674961598633899,-0.012438239038887886,-0.015901428705052123,-0.0022753477976536554,0.20580868754627957,0.20487424104893895,0.4333472201568502,0.8147201899060771,0.7685202333683558,0.42988193981373296,1
F2,60.0,0.11,0.0017630216833156678,0.001763025426579428,0.0099546552167544,-0.0060810232114320096,-0.015945261031189095,-0.0009582253126287344,0.20283016094921474,0.20244181907935638,0.43333847592968383,0.8154279520408907,0.7688467392907335,0.42994095583421965,1
F2,60.0,0.12,0.0017638785347150973,0.001763882299105954,0.03392775272563099,-0.03072273149298405,-0.015994807313487958,-0.004508504280925223,0.20301382484681957,0.20119146357315465,0.4333325202316947,0.8161460782197308,0.7691535011202774,0.4299047938430268,1
