ciclo,grad_f2,grad_f13,busc_f2,busc_f13,geom_f2,geom_f13,coh_f2,coh_f13,mejor_ef,c28,c21,c29
1,0.5301690371742267,-0.5301690371742267,0.016711388331844483,-0.014619688319679951,0.41183724913879605,0.4278656713348851,-0.00043048930572861413,0.0005907876743366778,0.8541667801756508,1,1,1
2,0.5301690371742267,-0.5301690371742267,0.014107108952538127,-0.014130917858044111,0.38828324401130615,0.3673229917987509,-0.0005985290094883288,0.0005786620229923248,0.8541667801756508,1,1,1
3,0.5301690371742267,-0.5301690371742267,0.014104475668459578,-0.013964155063304886,0.3964687137719313,0.3494944415228638,-0.000582604029078959,0.0005709724179577782,0.8541667801756508,1,1,1
4,0.5301690371742267,-0.5301690371742267,0.014103758977743835,-0.01399684082054684,0.3993152414991125,0.3571522240512138,-0.000581130300067565,0.0005705347729978915,0.8541667801756508,1,1,1
5,0.5301690371742267,-0.5301690371742267,0.014103860822135408,-0.013991983808224773,0.3989179848444145,0.36134021638099145,-0.00057897134069334,0.0005684228739174057,0.8541667801756508,1,1,1
6,0.5301690371742267,-0.5301690371742267,0.014103854960036844,-0.013998123565794884,0.39868315844489144,0.36189909551323196,-0.0005774988119013611,0.0005702012365973046,0.8541667801756508,1,1,1
7,0.5301690371742267,-0.5301690371742267,0.014103857750686401,-0.013986776083141698,0.39896177729635374,0.3542675636373738,-0.0005794836182823937,0.0005667240703089248,0.8873914814638676,1,1,1
8,0.5301690371742267,-0.5301690371742267,0.014103825642190409,-0.013992561376030676,0.40002045025738464,0.3526999952050595,-0.0005762410988633506,0.0005722946863786761,0.8873914814638676,1,1,1
9,0.5301690371742267,-0.5301690371742267,0.014103843291600667,-0.013997390704086567,0.3999227552465093,0.35372312369104647,-0.0005791718685433003,0.0005680759731353624,0.8873914814638676,1,1,1
10,0.5301690371742267,-0.5301690371742267,0.01410385248242117,-0.013992318033397002,0.3988408737096185,0.3464784589603307,-0.0005783123728334257,0.0005682062972899966,0.8873914814638676,1,1,1
11,0.5301690371742267,-0.5301690371742267,0.014103840712009659,-0.01400620955486537,0.3999725074441338,0.35329683969734277,-0.0005785768122503683,0.0005730074149242084,0.8873914814638676,1,1,1
12,0.5301690371742267,-0.5301690371742267,0.014103877159528095,-0.014619688319679951,0.39944329590587324,0.4277317401032453,-0.0005785941543890732,0.0005902863364751876,0.8873914814638676,1,1,1
13,0.5301690371742267,-0.5301690371742267,0.014107108952538127,-0.014130917858044111,0.38838706507257653,0.3670139478590422,-0.0005984458620071118,0.0005787360560240154,0.8873914814638676,1,1,1
14,0.5301690371742267,-0.5301690371742267,0.014104475668459578,-0.013964155063304886,0.39656930258009476,0.34924971227437107,-0.0005821916056158464,0.0005709617778090194,0.8873914814638676,1,1,1
15,0.5301690371742267,-0.5301690371742267,0.014103758977743835,-0.01399684082054684,0.39940846731515184,0.3568552839569748,-0.0005810644081840592,0.0005701720976741537,0.8873914814638676,1,1,1
16,0.5301690371742267,-0.5301690371742267,0.014103860822135408,-0.013991983808224773,0.3988383207645161,0.36103728048770234,-0.0005787738476860984,0.0005679573579057551,0.8873914814638676,1,1,1
17,0.5301690371742267,-0.5301690371742267,0.014103854960036844,-0.013998123565794884,0.39869924962818915,0.3616425361400878,-0.0005772187767602265,0.0005690951912292883,0.8873914814638676,1,1,1
18,0.5301690371742267,-0.5301690371742267,0.014103857750686401,-0.013986776083141698,0.39902666666936515,0.35422181761295335,-0.0005792601032812213,0.0005667534144772598,0.8873914814638676,1,1,1
19,0.5301690371742267,-0.5301690371742267,0.014103825642190409,-0.013992561376030676,0.39998958023917575,0.35270938752594655,-0.0005762480411403528,0.000572284604282693,0.8873914814638676,1,1,1
20,0.5301690371742267,-0.5301690371742267,0.014103843291600667,-0.013997390704086567,0.3999237818754266,0.353655985701081,-0.0005791291312713238,0.0005680294054236873,0.8873914814638676,1,1,1
21,0.5301690371742267,-0.5301690371742267,0.01410385248242117,-0.013992318033397002,0.39891345002268935,0.3464507067675276,-0.0005783218265818892,0.0005682705856623375,0.8873914814638676,1,1,1
