instancia,variante,ciclo,omega_f2,omega_f13,efic_f2,efic_f13,asys_f2,asys_f13,mejor_ef,c31,c32
"A_V1 (+60°, aditiva)",1,1,0.8674112753701992,0.4915509947262494,0.29201354144096897,0.6433628595197135,0.2532958384066794,0.3162456535668394,0.9263262855654615,1,0
"A_V1 (+60°, aditiva)",1,2,0.8706886280412617,0.49121978526783505,0.7449798555944933,0.7236101553039149,0.6486454883859466,0.35545162510601386,1.4350824316476496,1,1
"A_V1 (+60°, aditiva)",1,3,0.8707640423632247,0.4913586286862031,45.123040662746675,0.6316531147272224,39.291521291213456,0.3103682082577369,777.6530446806335,1,1
"A_V1 (+60°, aditiva)",1,4,0.870779079202448,0.4910426184565531,97.97476086897778,0.664504720381846,85.31437205456851,0.32630013787304135,1141.477449449419,1,1
"A_V1 (+60°, aditiva)",1,5,0.8707830297531555,0.4909130490762101,106.01033111650378,1.802523891472735,92.31199731476437,0.884882499595596,1141.477449449419,1,1
"A_V2 (+60°, escala)",2,1,0.8674148480933197,0.4914805978644973,0.29818589134341605,0.6445036490638697,0.25865086964322037,0.31676103876776085,0.93930508757309,1,0
"A_V2 (+60°, escala)",2,2,0.8706882817622986,0.4911848446769774,0.7665454918542491,0.7300284439557343,0.6674221771952122,0.35857890785417285,2.963533473241375,1,1
"A_V2 (+60°, escala)",2,3,0.870768165670273,0.4912420591052044,44.36550268290113,0.6536461881278856,38.632067390229395,0.3210984993822103,829.4085106752208,1,1
"A_V2 (+60°, escala)",2,4,0.8707707379778622,0.49092962781354244,80.87016976942739,0.6521479698417643,70.41937741051929,0.32015876011377464,904.5050759976671,1,1
"A_V2 (+60°, escala)",2,5,0.8708003981959103,0.4909062052575525,88.95375522744833,0.6830834624565214,77.46096547308353,0.3353299104287208,904.5050759976671,1,1
"B_V1 (-60°, aditiva)",1,1,0.8707375083047104,0.49154463551723554,0.2898782822407103,0.6694654371089118,0.2524078931899257,0.32907214427508685,1.0193138897035998,1,0
"B_V1 (-60°, aditiva)",1,2,0.8706918684984267,0.4912178440178836,0.7864176019000076,0.7334390621244611,0.6847274112183696,0.36027835481527637,1.0193138897035998,1,1
"B_V1 (-60°, aditiva)",1,3,0.8707710945579689,0.49135392571988523,41.41494184903912,0.6387535498201011,36.062934244942426,0.313854064271619,735.7553139038172,1,1
"B_V1 (-60°, aditiva)",1,4,0.8707866690420026,0.4910341934311675,98.33927144748259,0.6675935238143551,85.63252661977069,0.3278112475060528,1131.4931447384809,1,1
"B_V1 (-60°, aditiva)",1,5,0.8707940766948244,0.490910669373026,105.3682616399437,1.9556043027080603,91.75405810769347,0.9600270172711837,1131.4931447384809,1,1
"B_V2 (-60°, escala)",2,1,0.8707385636450031,0.4914724893156613,0.2881271447680931,0.6187713659596114,0.25088341618250526,0.30410910354542225,0.8818236875928978,1,0
"B_V2 (-60°, escala)",2,2,0.8706822037935542,0.4911775342211939,0.7153194348033471,0.7818437662231528,0.6228159019109379,0.38402409323969977,1.1225055410385036,1,1
"B_V2 (-60°, escala)",2,3,0.870769121535323,0.4912262400030403,47.29730021829022,0.6214609682108516,41.185028562073015,0.30527793472286563,812.0087815026202,1,1
"B_V2 (-60°, escala)",2,4,0.8707865359520799,0.4909392900521798,113.12881389060512,0.6564883263339202,98.51104796416756,0.3222959128579185,1226.7519499103662,1,1
"B_V2 (-60°, escala)",2,5,0.8707953182516521,0.490907443684552,102.74864668145953,0.6645439721121525,89.47304048690812,0.32622958256555507,1226.7519499103662,1,1
