fase,ged_mean,lf_pct,w_prof_norma,w_rec_norma,error_rec,balance,coherencia,incoherencia,tasa_aprendizaje,tasa_olvido
Fase 2,0.008454013475799908,12.2,0.0010419293428740742,0.09491621862111353,0.08739110833522123,0.8258900774469387,0.7368520553531335,0.2631479446468667,0.02456173517843778,0.006578698616171666
Fase 3,0.005272843901460186,49.5,0.0016661015166693006,0.19499045456470618,0.16811424797956773,1.6898343506576317,0.5903106750447846,0.40968932495521526,0.019677022501492822,0.010242233123880383
Fase 4,0.004594048869274925,69.85,0.0020389948141399865,0.26269574436069415,0.18096258947169708,1.7543623488872577,0.5658979838948621,0.43410201610513777,0.018863266129828738,0.010852550402628445
Fase 5,0.004602769436222385,73.45,0.002255596409127092,0.31337911769183013,0.18771345605027703,1.8152849208037465,0.5505196876052972,0.44948031239470276,0.018350656253509907,0.011237007809867569
Fase 6,0.00455393586276903,75.55,0.002380661555912918,0.35145040946952283,0.19183581808315547,1.8477611135781353,0.5401498775857004,0.45985012241429957,0.018004995919523346,0.01149625306035749
Fase 7,0.003576371944962465,69.13333333333334,0.002357665422484174,0.3805610055003638,0.1963831245317741,1.8518096366694536,0.5239180506343122,0.4760819493656879,0.01746393502114374,0.011902048734142199
