fase,ged_mean,lf_pct,w_prof_norma,w_rec_norma,error_rec,eficiencia,variacion,ventaja,tasa_olvido,tasa_aprendizaje,coherencia
Fase 2,0.008454023416945778,1.35,0.001041890964212191,0.08353181355287767,0.07695606454547228,0.8053377470962632,0.01014234155219588,1.0,0.025000000000000005,0.02494303910920251,0.7482911732760754
Fase 3,0.005272857074181916,42.699999999999996,0.0016659171838451386,0.1503486559105047,0.1465214119916668,0.6442308579398276,0.0077861307605231415,0.8950170437448789,0.02928975017437165,0.020435822479987466,0.6130746743996239
Fase 4,0.004594064374469811,60.25,0.0020385549383940887,0.1765149233898451,0.15833171268489654,0.6018201101723617,0.007126358771730364,0.9682928574897748,0.027850355923342885,0.019828707590096903,0.5948612277029071
Fase 5,0.004602769542078459,63.1,0.0022549337452881842,0.1929248481354138,0.16391525174429153,0.6126780058211044,0.007012767824097526,1.0078099689238988,0.027029420493324446,0.019549882608122914,0.5864964782436873
Fase 6,0.004553932904891264,64.45,0.0023798245272613158,0.20169518690310112,0.16632644762597937,0.6113446867470368,0.006940790258410179,0.9984952037772544,0.02725592140476095,0.019421761920154032,0.5826528576046208
Fase 7,0.0035763650339260154,46.266666666666666,0.0023567159239882055,0.19918303612419988,0.14571227895477604,0.5254297836647708,0.006123152552399194,0.8913775710598032,0.0308522924080064,0.02055960728197193,0.6167882184591578
