fase,ged_mean,lf_pct,w_prof_norma,w_rec_norma,error_rec
Fase 2,0.006393949063662479,0.0,0.00012954612440785744,0.00045042575624372786,0.004718965680224503
Fase 3,0.0040521895647404075,0.0,0.00018340026738913656,0.0004986874780881428,0.004662241348365688
Fase 4,0.003425025592643965,0.0,0.0002052821343995203,0.0005015384735720569,0.004646885933797499
Fase 5,0.0033440310418971007,0.0,0.0002140076122401059,0.0005014682470734128,0.004647887439399398
Fase 6,0.003294176494553378,0.0,0.00021740485014120614,0.0005014921868140116,0.004647103519100877
Fase 7,0.002630293025879536,0.0,0.00021283155369202582,0.0004515314347734162,0.004633586776227057
