fase,angulo,t,ged_L,ged_R,act_busc,coh_rel,geom,frac_L,frac_R,efic,lf
F2,60.0,0.0,0.0015908930936944518,0.0015908962182401823,0.00012154151008958447,-1.0621483220131986e-05,0.43514179448739543,0.8048036973877409,0.7701993703422818,0.4001240041792197,1
F2,60.0,0.01,0.0015910403667229605,0.0015910435119090216,0.00012106494515995436,-1.3414965178664518e-05,0.4351354218003721,0.8050033085330714,0.7699929059842517,0.39996844338364035,1
F2,60.0,0.02,0.001591197037782756,0.0015912002035217262,0.00012058823797755913,-1.3342703899920748e-05,0.43512960918285826,0.8057536720130896,0.7703127903508723,0.3998208315563708,1
F2,60.0,0.03,0.001591363037490291,0.0015913662236897558,0.00012015246704322191,-7.795107849909368e-06,0.43512392589907395,0.8065015011289717,0.7706293470190902,0.39968179513397273,1
F2,60.0,0.04,0.0015915382961462466,0.001591541502707775,0.00011971119490783444,-8.4136011272521e-06,0.4351177453001059,0.8072468557275924,0.7709425199178014,0.3995522288510416,1
F2,60.0,0.05,0.0015917227438334972,0.00159172597064728,0.00011921705688588968,-1.5352941199756368e-05,0.43511277554046224,0.8079905878517611,0.7712518824143311,0.3994307830598136,1
F2,60.0,0.06,0.0015919163104142632,0.0015919195573552663,0.00011871510492578174,-1.6322510126470593e-05,0.4351082807327829,0.8087312177252711,0.7715588132561758,0.39931318456483367,1
F2,60.0,0.07,0.0015921189254177253,0.0015921221923483333,0.00011808695416215542,-3.308425149342562e-05,0.4351023049524743,0.80946844985847,0.7718608920162824,0.3992027475449354,1
F2,60.0,0.08,0.0015923305181444799,0.001592333804922377,0.00011763006526910313,-1.0270464111276683e-05,0.4350971155599606,0.8102029204784815,0.7721607965989603,0.3990997626097225,1
F2,60.0,0.09,0.0015925510175665031,0.0015925543240565654,0.0001171750367074953,-9.931132034874579e-06,0.4350926632645373,0.8109348894424652,0.7724578323837842,0.39900563432339775,1
F2,60.0,0.1,0.0015927803524576041,0.0015927836785262503,0.00011664923118426263,-1.9277514188119066e-05,0.43508665279369146,0.8116649350236256,0.7727525559553939,0.39892057006138704,1
F2,60.0,0.11,0.0015930184513141253,0.001593021796819521,0.00011614719716046551,-1.606652345931267e-05,0.43508333128298843,0.8123914009333716,0.773043325113208,0.39884425289988973,1
F2,60.0,0.12,0.0015932652423773655,0.0015932686071850617,0.00011550078322397628,-3.5262239189976625e-05,0.4350775242459601,0.8131156703005381,0.7733314945217626,0.398677006027293,1
F2,60.0,0.13,0.0015935206535788089,0.0015935240375505538,0.00011486286043538296,-3.417373408936707e-05,0.43507331584029785,0.813839119904579,0.7736151089828954,0.3984925723889703,1
F2,60.0,0.14,0.0015937846126226971,0.001593788015610118,0.00011432229477870148,-2.1232791951454044e-05,0.43507192225416674,0.8145604847819896,0.7738959939418081,0.39831666789974507,1
F2,60.0,0.15,0.001594057046967029,0.0015940604688184658,0.00011379974126990433,-1.8808240477586666e-05,0.4350684891072599,0.8152804564329047,0.7741725955784263,0.39814910423612804,1
F2,60.0,0.16,0.00159433788375738,0.001594341324320335,0.00011324425110592617,-2.316692208759476e-05,0.4350665673487844,0.8159936388279948,0.774447167342206,0.39798909935676124,1
F2,60.0,0.17,0.0015946270499216948,0.0015946305090468052,0.00011264261163745903,-2.9311461353648807e-05,0.4350644759282172,0.8167081991759949,0.7747154334978873,0.3978383357906769,1
F2,60.0,0.18,0.001594924472113078,0.001594927949637124,0.00011200539274180965,-3.4079775042460864e-05,0.43506078139878523,0.8174177800318746,0.7749809103191011,0.39769565755604175,1
F2,60.0,0.19,0.0015952300765411725,0.001595233572304036,0.00011145397370482257,-2.2689951266727298e-05,0.4350583254316721,0.8181245156214201,0.7752448496102181,0.39756182691489583,1
F2,60.0,0.2,0.0015955437892334044,0.0015955473030772357,0.00011090875008545886,-2.1858881645478425e-05,0.4350581999072219,0.8188318534895282,0.7755051992798938,0.39743645831088986,1
F2,60.0,0.21,0.0015958655359645726,0.0015958690677096816,0.00011042621738088787,-1.3492774358608921e-05,0.4350539499667292,0.8195358504329426,0.7757632936925509,0.39731913283023734,1
F2,60.0,0.22,0.001596195242277225,0.0015961987917407936,0.00010992589121316954,-1.5818005101706292e-05,0.4350539107205529,0.8202350695020312,0.7760200237593254,0.39721083670027363,1
F2,60.0,0.23,0.0015965328332613893,0.0015965364002661958,0.00010939316530444998,-2.01045853876983e-05,0.4350555362909091,0.8209346484592913,0.7762688916493267,0.39711146247304,1
F2,60.0,0.24,0.0015968782337789308,0.0015968818181444932,0.0001086726559367257,-4.513317942186325e-05,0.4350532387050141,0.8216272676612411,0.7765188287262198,0.3970194347235085,1
F2,60.0,0.25,0.0015972313683176812,0.0015972349698680005,0.00010810656311566191,-2.466237624987163e-05,0.4350522246960412,0.822323351355626,0.7767640206605109,0.3969332962790545,1
F2,60.0,0.26,0.0015975921612503374,0.0015975957797880428,0.00010757005757244809,-2.073452403806671e-05,0.43505038121466305,0.8230133230186096,0.7769991990030203,0.3968524981973142,1
F2,60.0,0.27,0.0015979605367614181,0.0015979641720808957,0.0001071406547583642,-6.453199930226726e-06,0.4350532086068638,0.8236997900139047,0.7772388309659227,0.3967771507911596,1
F2,60.0,0.28,0.0015983364184654666,0.0015983400703607816,0.00010669845245692144,-8.089122685082383e-06,0.43505155394927264,0.8243847425212147,0.7774730994980361,0.39670833557721247,1
F2,60.0,0.29,0.0015987197296916877,0.0015987233979644169,0.00010619681441892403,-1.595362002018945e-05,0.4350495206702922,0.82506932353083,0.7777055902050045,0.396642440612875,1
F2,60.0,0.3,0.0015991103936037851,0.001599114078065437,0.00010564418906611195,-2.2733321612075032e-05,0.4350503987936477,0.8257508258347903,0.7779329405624774,0.3965812790877255,1
F2,60.0,0.31,0.001599508333242554,0.0015995120336990782,0.00010513429967917709,-1.705247517762412e-05,0.43505166296154607,0.8264221517662796,0.778157444116396,0.3965279662362384,0
F2,60.0,0.32,0.0015999134712394649,0.001599917187489671,0.00010464277531629929,-1.4594435305447046e-05,0.4350532435336828,0.8267756552814054,0.7780780859441423,0.3964807605366271,1
F2,60.0,0.33,0.0016003257298761514,0.0016003294617207612,0.00010418273359880104,-1.0376872095996159e-05,0.4350550849077145,0.8274502032233348,0.778300332179434,0.39643262591640777,1
F2,60.0,0.34,0.0016007450311575939,0.0016007487783939037,0.00010373340198610581,-8.909693115153919e-06,0.4350574916181697,0.8281221315928903,0.7785196338305177,0.3963833456825145,1
F2,60.0,0.35,0.0016011712968003384,0.0016011750592238715,0.00010329514645202043,-7.388241464262172e-06,0.4350600121987523,0.8287916913036122,0.7787359239408407,0.39633538768727106,1
F2,60.0,0.36,0.0016016044482314912,0.0016016082256351547,0.00010279584025074673,-1.547816312333646e-05,0.43506282919205364,0.8294590014219984,0.7789489745604948,0.3962943096840964,1
F2,60.0,0.37,0.0016020444065995298,0.0016020481987722268,0.00010230070612993192,-1.4914261736019192e-05,0.4350655045533584,0.8301226215567633,0.7791589648313644,0.3962597761119471,1
