instancia,variante,ciclo,omega_f2,omega_f13,efic_f2,efic_f13,asys_f2,asys_f13,mejor_ef,c31,c32
"A_V1 (+60°, aditiva)",1,1,0.8675001049525785,0.4911583362827116,0.2990529818946208,0.5020455337701633,0.2594284931799651,0.24658384910471928,0.7818396030301833,1,1
"A_V1 (+60°, aditiva)",1,2,0.8703114574671966,0.49110721520730877,0.4265521350653777,0.5303617518128232,0.37123321035449336,0.2604644829852654,0.7818396030301833,1,1
"A_V1 (+60°, aditiva)",1,3,0.8705125431532555,0.4910658154833116,0.29591448816624855,0.4455785007314685,0.257597273649495,0.2188083698235299,0.8399938905940961,1,1
"A_V1 (+60°, aditiva)",1,4,0.8705626220972379,0.49094579946080297,0.25333801698088154,0.4122987890166338,0.2205466083397908,0.2024163585904922,0.8399938905940961,1,1
"A_V1 (+60°, aditiva)",1,5,0.870557720652288,0.490937115513467,0.265277473576682,0.4138132685771394,0.23093935273731386,0.20315629243646044,0.8399938905940961,1,1
"A_V2 (+60°, escala)",2,1,0.8676455477584999,0.49648959155355055,0.29929502959694626,0.494068753016526,0.25968199989603885,0.24529999338454703,0.7914801804366903,1,1
"A_V2 (+60°, escala)",2,2,0.8693608815828929,0.4940538361692197,0.3612062433896538,0.5618398672565657,0.31401857818647444,0.2775791417309114,0.8650576425460654,1,1
"A_V2 (+60°, escala)",2,3,0.8691297923732179,0.4937370474498625,0.23271150223603357,0.4234759082398707,0.2022564996212635,0.20908574460050267,0.9013773751909129,1,0
"A_V2 (+60°, escala)",2,4,0.8691325607192437,0.49378986467939295,0.22192858919415862,0.420168318246707,0.19288536302312817,0.20747485700960955,0.9298769626213539,1,0
"A_V2 (+60°, escala)",2,5,0.8691579706540995,0.4938898642643103,0.20357470275120265,0.4080493266928379,0.17693857551974682,0.20153142657346892,0.9298769626213539,1,0
"B_V1 (-60°, aditiva)",1,1,0.8704544735208701,0.49116119518857787,0.28781067522530984,0.5012431549642796,0.2505260897769332,0.24619118707234913,0.8853886072061118,1,1
"B_V1 (-60°, aditiva)",1,2,0.8703139846801737,0.49110453479098404,0.4232298192264452,0.5494537127122301,0.3683428304064371,0.26983920997071875,0.8853886072061118,1,1
"B_V1 (-60°, aditiva)",1,3,0.8705147988051283,0.4910698562698542,0.2959281524959084,0.45690813015069787,0.25760983613074906,0.22437380980163105,0.9098163465383837,1,1
"B_V1 (-60°, aditiva)",1,4,0.8705657285651245,0.49094593083184346,0.274007936856789,0.3937886867512135,0.23854191918235712,0.19332895336812372,0.9098163465383837,1,1
"B_V1 (-60°, aditiva)",1,5,0.8705514463399678,0.4909325506790013,0.25997417290825203,0.42641407402966647,0.22632089223631568,0.20934054900880866,0.9098163465383837,1,1
"B_V2 (-60°, escala)",2,1,0.8688925709200312,0.49649082390406213,0.2852798200858185,0.5097502720443444,0.2478775163059708,0.25308633255261637,0.832299547085471,1,0
"B_V2 (-60°, escala)",2,2,0.8693648280078524,0.49405283592636035,0.3662204617718981,0.5702427267574426,0.31837918876128246,0.2817300363208951,0.882968713718384,1,1
"B_V2 (-60°, escala)",2,3,0.8691284509021274,0.4937498550873093,0.24042408579394198,0.4435742070415713,0.20895941324564898,0.21901470044724394,0.882968713718384,1,0
"B_V2 (-60°, escala)",2,4,0.8691284376327173,0.4937951043503225,0.23263155255760304,0.41748239409496046,0.20218669781846288,0.20615076235654345,0.9546157490249813,1,0
"B_V2 (-60°, escala)",2,5,0.869158784710229,0.493890760030436,0.20883561032825457,0.42275296907856225,0.1815113052771247,0.20879378520333453,0.9546157490249813,1,0
