fase,angulo,t,ged_L,ged_R,fuerza_grad,signo_grad,act_busc,coh_rel,err_L,err_R,geom,frac_L,frac_R,efic,lf
F2,60.0,0.0,0.0017003602568794482,0.0017003625929185476,0.0077346406595316195,0.005122037544230463,0.4845434057786946,0.0008814554170761531,0.20451936451200606,0.2048802320041922,0.4335124456118824,0.8046293410337125,0.7691602431436805,0.4235019477553102,1
F2,60.0,0.01,0.00170026251753553,0.0017002648699255363,0.0008444564123110455,-0.00014129220274169475,0.48450296864262077,-3.226347898698487e-05,0.2065692882567613,0.20655595939901134,0.43350093072076556,0.8048325247585872,0.7689462990973734,0.4233298531101528,1
F2,60.0,0.02,0.00170018030652995,0.0017001826752173579,0.01330378646503345,0.008139983004737093,0.4844642062497282,0.0014739107386932116,0.2043620829272042,0.20496539509284756,0.43348923467752437,0.805588145518462,0.7692618703905931,0.42316903237518855,1
F2,60.0,0.03,0.0017001135714330604,0.0017001159563589533,0.01505230847817454,0.0111206600317115,0.48442592462356804,0.0019858659021922557,0.2029252006039911,0.2037327687994828,0.4334782102614887,0.8063432826934815,0.7695722425932492,0.4230185645055186,1
F2,60.0,0.04,0.0017000622590544743,0.0017000646601523079,0.010532328405622895,0.007723205819980934,0.48438668916670224,0.001413579422402837,0.20607105227819567,0.20665447258738742,0.4334678367895931,0.8070969987804631,0.7698794869675535,0.4228761067522557,1
F2,60.0,0.05,0.0017000263155241924,0.0017000287327149928,0.022886112613945714,-0.007151985108076826,0.4843439201439447,-0.000810171430047836,0.20795225688262636,0.20761557569734215,0.43345711829372763,0.8078471399366216,0.7701834211159966,0.42273865297761604,1
F2,60.0,0.06,0.0017000056862720673,0.00170000811946167,0.008727218757378674,-0.004788433235708834,0.48430150288633605,-0.0007729698959242063,0.2101685037088976,0.20984384680595597,0.43344701977256755,0.8085908638998961,0.770486072323154,0.4226114459398928,1
F2,60.0,0.07,0.00170000031598784,0.0017000027650688487,0.02067032549341466,-0.019585172954070168,0.4842555772338016,-0.003312759943007537,0.20350483965538899,0.2021609662230956,0.43343766828670494,0.8093335224294748,0.7707854157539505,0.42249458372479964,1
F2,60.0,0.08,0.0017000101486183245,0.0017000126134774432,0.016678086898615177,0.008538939383989074,0.4842158068668337,0.0010930771921184447,0.20100931345216688,0.20144923170876478,0.43342877242549266,0.8100700660331747,0.7710857362072641,0.4223878660722747,1
F2,60.0,0.09,0.001700035127352042,0.001700037607876937,0.015595662755734558,-0.00729306839386535,0.4841722937799948,-0.0010697533461534426,0.20517681058520215,0.20473830252121072,0.4334185417780752,0.8108101322556135,0.7713770634951035,0.4222910317773521,1
F2,60.0,0.1,0.0017000751946808137,0.0017000776907643241,0.0167759531796293,-0.012314067812133612,0.4841274774636692,-0.0022559982970885126,0.20567236850986975,0.2047464643216831,0.4334085931221864,0.8115460029318408,0.7716664819387666,0.42220416331214905,1
F2,60.0,0.11,0.001700130292356726,0.0017001328038880653,0.010068992666525398,-0.006161275838850391,0.48408387533639713,-0.0009712165753276378,0.20270503330498044,0.2023116743651095,0.4333994176940103,0.8122756234718227,0.7719563031833908,0.42212730489364325,1
F2,60.0,0.12,0.0017002003613261854,0.0017002028881950054,0.034148106721512035,-0.03053927381051923,0.48403461770337514,-0.004479674859709897,0.20288777650777454,0.20107814054452772,0.43339038934204616,0.813003333453495,0.7722417498240257,0.421971862879163,1
F2,60.0,0.13,0.001700285341829752,0.0017002878839212448,0.023614840680571455,-0.011088474111040823,0.48398957594041536,-0.0016032565182740812,0.2045919643299524,0.20393698762466717,0.4333820456504711,0.813728977033517,0.7725250886861854,0.4218043823987161,1
F2,60.0,0.14,0.0017003851733978902,0.0017003877305831322,0.028944612557609304,-0.027172658615203522,0.4839407498938866,-0.0044831208131480725,0.20918570458092497,0.2073184660642941,0.43337144993266263,0.8144524158958587,0.7728036905510051,0.4216467727611729,1
F2,60.0,0.15,0.0017004997946715142,0.001700502366819571,0.010646378033695248,-0.010625353780736441,0.4838954887482116,-0.0017992330252451253,0.20338165562151475,0.20265110806358105,0.43336550267125623,0.8151732407478289,0.7730817523696998,0.4214985205215963,1
F2,60.0,0.16,0.0017006291435476364,0.0017006317305230173,0.02358806257859113,0.011349335454822801,0.4838550095807136,0.0021369055433146504,0.2071020695867169,0.20798908016581763,0.43335687485112884,0.8158900881226598,0.7733521700570981,0.42135887118440785,1
F2,60.0,0.17,0.001700773157322461,0.0017007757589856736,0.004082778077541428,-0.0002618980672993497,0.48381174974482877,-0.0001258033139683709,0.2044541751508379,0.2044027395960113,0.4333508648652241,0.8166093809540076,0.7736182470248975,0.4212277572310051,1
F2,60.0,0.18,0.00170093177237697,0.0017009343885739537,0.00043205141453184,4.028674231246676e-05,0.4837683952950277,-3.508367427663115e-05,0.20461422099821644,0.20459986426453616,0.4333476471651318,0.8173243649621119,0.7738799800764056,0.4211073006536849,1
F2,60.0,0.19,0.0017011049243987341,0.0017011075549759338,0.02993060704914904,0.008197899423529638,0.4837267151550552,0.0016563056657210359,0.2072472572869256,0.2079349258893926,0.43334033126844473,0.8180377428799551,0.7741403239705045,0.42099651885055467,1
F2,60.0,0.2,0.0017012925483408494,0.0017012951931433006,0.005365313810226588,-0.004642478434142323,0.4836819836806744,-0.0007899724255883879,0.20514938308488478,0.2048255142207509,0.4333416131096617,0.8187488523147952,0.774396065464478,0.42089360919401636,1
F2,60.0,0.21,0.0017014945783259765,0.0017014972371778877,0.012643573458029762,-0.012643573458029762,0.4836352957711285,-0.002028005337631964,0.20853224175144802,0.2076881445861214,0.4333392693997493,0.8194554989952375,0.7746526404964043,0.42079938574708947,1
F2,60.0,0.22,0.0017017109477383975,0.0017017136204679755,0.011485959448441252,0.005283057259577126,0.4835924894534576,0.0009119951779378183,0.19888217848704573,0.19924526879926674,0.4333312349049864,0.8201541310736067,0.7749065166298785,0.42071599441885904,1
F2,60.0,0.23,0.001701941589203971,0.0017019442756478068,0.014133442441778287,-0.007983613260723874,0.4835465418750603,-0.001188517400877785,0.20783973319692223,0.20734627739860956,0.433328017140787,0.820860419195084,0.77515672043157,0.42064086063247297,1
F2,60.0,0.24,0.0017021864345665378,0.001702189134552851,0.05398714490456777,-0.0009353973346598287,0.4835020300150038,0.0008369628352641646,0.2059386207118807,0.20628363542021572,0.43332605107248073,0.8215545212437155,0.7754002136063518,0.4205750305556936,1
F2,60.0,0.25,0.0017024454149838953,0.001702448128330094,0.008668015094054737,-0.0016626754653377832,0.4834572036626756,-0.00027828460658942973,0.20329042239584696,0.2031773086831845,0.4333228094370526,0.8222557786851039,0.7756378915070665,0.42051724818884895,1
F2,60.0,0.26,0.0017027184606007806,0.0017027211871176637,0.02851760930626325,-0.00331381789008792,0.4834118568692966,-0.0005037010354879645,0.20613233409943893,0.20592478050408258,0.4333188683769055,0.8229492128428118,0.7758812565456319,0.4204702182356332,1
F2,60.0,0.27,0.0017030055009851896,0.001703008240479196,0.002698539935353305,0.0010557126897797725,0.48336734649026264,0.00018657393071008028,0.21460217697184775,0.2146822702585789,0.433307961781756,0.8236385386598993,0.7761210170289905,0.42043390682543574,1
F2,60.0,0.28,0.0017033064649324067,0.0017033092172210368,0.02039510203357122,-0.019859947578117314,0.483317983692846,-0.0032993358214269903,0.20624761491826538,0.20489113012882504,0.43330446133197925,0.8243253361380187,0.7763509219613374,0.4204069273865118,1
F2,60.0,0.29,0.001703621280181658,0.0017036240450954629,0.03819496953846552,0.029516018551947836,0.4832795925923894,0.004857095037169544,0.20181356993614494,0.2037835939082292,0.43330124068795045,0.8250075259039326,0.7765814143560698,0.4203860643288849,1
F2,60.0,0.3,0.001703949873909178,0.0017039526512778837,0.0005301704915849762,0.00023366693463259958,0.4832344600615802,9.682482005263984e-06,0.1989766974820588,0.1989805506959541,0.43330107051705874,0.8257027774853022,0.7767978645032655,0.4203734859119424,1
F2,60.0,0.31,0.0017042921725791854,0.0017042949622272318,0.016198326567616817,-0.01283446416053149,0.4831862459705251,-0.0021431315560806767,0.2099433201900884,0.2090453723013547,0.4332954727983494,0.8263861103145557,0.7770228851480728,0.4203708550683064,1
F2,60.0,0.32,0.0017046481017164983,0.0017046509034804793,0.012958701631829621,-0.009509062230882227,0.48313864502694814,-0.0015194157360264402,0.2111721962829476,0.21053145312195007,0.4332922508613487,0.8270649289256677,0.7772401253634043,0.4203698453082716,1
