test,w_tras_entreno,gradiente_estable,persistencia,min_acop,frecuencia_dominante,riqueza_modal,entropia_espectral
A,0.06892858262840888,0.5265669361875042,29.89,0.12904283514971918,39,24,3.7020914096712088
B,0.06892731098767196,0.5257945899606675,,0.11725696860844405,39,23,3.692829721749848
C,,0.3893282293865814,,0.2432171655520419,6,23,3.8439202105631676
