ciclo,t,ultra_cm,ultra_vivo,eopd_raw,eopd_vivo,color_r,color_g,color_b,color_luminosidad,color_vivo,touch_raw,touch_presionado,gyro_raw,accel_x,accel_y,accel_z,compass_deg,smux_vivo,bateria_mv,energia,energia_vivo,cambio_total,veto_reactivo,volante_elegido,D_actual,contador_sin_cambio,tiempo_deliberacion_s,potencia,duracion_s,ultra_cm_post,error_post,e_R,prop_bienestar,prop_vigor,prop_acople,prop_malestar,prop_dW,d_ultra,d_eopd,d_color,d_gyro,d_accel,d_compass,presion_desacople,veto_motivo,vetos_consecutivos
1,0.0,255.0,1,250.0,1,0,0,0,0,1,1023,0,410,43,-9,199,54,1,8170.0,0.9435,1,0,0,60,0.0,1,7.0,87,0.885,255.0,215.0,215.0,0.5237,0.4718,0.0,0.1667,0.0,,,,,,,,,
2,2.378,255.0,1,250.0,1,0,0,0,0,1,1023,0,922,41,-13,200,35,1,8184.0,0.9496,1,3.24,0,60,1.0,0,31.5,82,0.863,255.0,215.0,215.0,0.5246,0.4748,0.0,0.1667,0.00091,0.0,0.0,0.0,2.56,0.0467,0.6333,,,
3,4.474,255.0,1,250.0,1,0,0,0,0,1,1023,0,411,42,-1,200,23,1,8128.0,0.9252,1,3.0417,0,60,1.0,0,31.5,90,1.048,55.0,15.0,15.0,0.521,0.4626,0.0,0.1667,-0.00274,0.0,0.0,0.0,2.555,0.0867,0.4,,,
4,6.899,54.0,1,250.0,1,0,0,0,0,1,1023,0,922,39,-7,200,11,1,8128.0,0.9252,1,5.025,0,60,1.0,0,31.5,86,0.679,54.0,14.0,14.0,0.521,0.4626,0.0,0.1667,-0.00269,2.01,0.0,0.0,2.555,0.06,0.4,,,
5,9.089,55.0,1,250.0,1,0,0,0,0,1,1023,0,410,43,-8,200,11,1,8156.0,0.9374,1,2.6033,0,60,1.0,0,31.5,87,0.495,55.0,15.0,15.0,0.5228,0.4687,0.0,0.1667,-0.00082,0.01,0.0,0.0,2.56,0.0333,0.0,,,
6,10.9,55.0,1,250.0,1,0,0,0,0,1,1023,0,666,56,-21,179,13,1,8170.0,0.9435,1,1.66,0,60,0.83,0,27.335,75,0.602,51.0,11.0,11.0,0.5237,0.4718,0.0,0.1667,0.00011,0.0,0.0,0.0,1.28,0.3133,0.0667,,,
7,13.123,50.0,1,250.0,1,0,0,0,0,1,1023,0,154,42,-7,200,358,1,8128.0,0.9252,1,3.4367,0,60,1.0,0,31.5,76,1.07,49.0,9.0,9.0,0.5326,0.4626,0.0,0.15,0.00905,0.05,0.0,0.0,2.56,0.3267,0.5,,,
8,15.705,49.0,1,42.87464628562721,1,0,0,0,0,1,1023,0,666,42,-5,199,335,1,8142.0,0.9313,1,7.4992,0,60,1.0,0,31.5,82,0.477,49.0,9.0,9.0,0.5335,0.4657,0.0,0.15,0.00978,0.01,4.1425,0.0,2.56,0.02,0.7667,,,
9,17.768,49.0,1,42.87464628562721,1,0,0,0,0,1,1023,0,666,42,-7,200,335,1,8142.0,0.9313,1,0.02,0,60,0.01,1,7.245,82,0.882,49.0,9.0,9.0,0.5335,0.4657,0.0,0.15,0.00958,0.0,0.0,0.0,0.0,0.02,0.0,,,
10,19.872,49.0,1,42.87464628562721,1,0,0,0,0,1,1023,0,666,42,-7,199,335,1,8142.0,0.9313,1,0.0067,0,60,0.003,2,7.082,86,0.416,9.0,31.0,31.0,0.5219,0.4657,0.0,0.1667,-0.00228,0.0,0.0,0.0,0.0,0.0067,0.0,,,
11,21.672,8.0,1,43.51941398892446,1,0,0,0,0,1,1023,0,410,42,-7,200,335,1,8128.0,0.9252,1,1.7096,1,,,,,,,,,,0.6181,0.4626,0.0,0.0278,0.09404,0.41,0.0129,0.0,1.28,0.0067,0.0,0.167,obstaculo_frontal,1
12,23.763,10.0,1,35.35533905932738,1,0,0,0,0,1,1023,0,410,41,-9,200,329,1,8142.0,0.9313,1,0.4033,1,,,,,,,,,,0.5997,0.4657,0.0,0.0555,0.0737,0.02,0.1633,0.0,0.0,0.02,0.2,0.333,obstaculo_frontal,2
13,25.955,11.0,1,250.0,1,0,0,0,0,1,1023,0,154,44,0,199,333,1,8156.0,0.9374,1,5.8029,1,,,,,,,,,,0.5811,0.4687,0.0,0.0833,0.05365,0.01,4.2929,0.0,1.28,0.0867,0.1333,0.5,obstaculo_frontal,3
14,28.407,255.0,1,250.0,1,0,0,0,0,1,1023,0,410,40,-12,202,258,1,8128.0,0.9252,1,6.3467,0,-60,1.0,0,31.89,90,0.578,255.0,215.0,215.0,0.521,0.4626,0.0,0.1667,-0.00757,2.44,0.0,0.0,1.28,0.1267,2.5,,,
15,30.144,255.0,1,250.0,1,0,0,0,0,1,1023,0,666,45,-5,199,315,1,8142.0,0.9313,1,3.28,0,-60,1.0,0,31.89,90,0.719,46.0,6.0,6.0,0.5685,0.4657,0.0,0.1,0.04016,0.0,0.0,0.0,1.28,0.1,1.9,,,
16,32.296,45.0,1,250.0,1,0,0,0,0,1,1023,0,410,45,-1,199,0,1,8087.0,0.9074,1,4.9067,0,-60,1.0,0,31.89,85,0.454,42.0,2.0,2.0,0.6116,0.4537,0.0,0.0333,0.08247,2.1,0.0,0.0,1.28,0.0267,1.5,,,
