ciclo,t,ultra_cm,ultra_vivo,eopd_raw,eopd_vivo,color_r,color_g,color_b,color_luminosidad,color_vivo,touch_raw,touch_presionado,gyro_raw,accel_x,accel_y,accel_z,compass_deg,smux_vivo,cambio_total,veto_reactivo,volante_elegido,D_actual,contador_sin_cambio,tiempo_deliberacion_s,potencia,duracion_s,ultra_cm_post,error_post,e_R,prop_bienestar,prop_vigor,prop_acople,prop_malestar,prop_dW,d_ultra,d_eopd,d_color,d_gyro,d_accel,d_compass,veto_motivo
1,0.0,70.0,1,250.0,1,0,0,0,0,1,1023,0,666,52,-7,197,59,1,0,0,0,0.0,1,7.0,70,0.985,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,0.0,,,,,,,
2,2.224,255.0,1,250.0,1,0,0,0,0,1,1023,0,666,43,-8,200,63,1,2.07,0,0,1.0,0,31.5,69,0.463,81.0,41.0,41.0,0.3833,0.0,0.0,0.1667,0.0,1.85,0.0,0.0,0.0,0.0867,0.1333,
3,4.074,255.0,1,250.0,1,0,0,0,0,1,1023,0,666,43,-7,203,65,1,0.0933,0,0,0.047,1,8.143,66,1.025,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,0.0,0.0,0.0,0.0,0.0,0.0267,0.0667,
4,6.474,255.0,1,250.0,1,0,0,0,0,1,1023,0,410,43,-9,199,70,1,1.4867,0,0,0.743,0,25.212,46,1.066,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,0.0,0.0,0.0,0.0,1.28,0.04,0.1667,
5,8.974,255.0,1,250.0,1,0,0,0,0,1,1023,0,666,44,-6,199,70,1,1.3067,0,0,0.653,0,23.007,64,0.585,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,0.0,0.0,0.0,0.0,1.28,0.0267,0.0,
6,11.099,255.0,1,250.0,1,0,0,0,0,1,1023,0,666,43,-8,200,74,1,0.16,0,0,0.08,0,8.96,59,0.406,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,0.0,0.0,0.0,0.0,0.0,0.0267,0.1333,
7,12.874,255.0,1,250.0,1,0,0,0,0,1,1023,0,666,44,-7,200,75,1,0.0467,0,0,0.023,1,7.572,41,0.421,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,0.0,0.0,0.0,0.0,0.0,0.0133,0.0333,
8,14.768,255.0,1,250.0,1,0,0,0,0,1,1023,0,666,43,-6,199,75,1,0.02,0,0,0.01,2,7.245,54,1.008,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,0.0,0.0,0.0,0.0,0.0,0.02,0.0,
9,17.355,255.0,1,250.0,1,0,0,0,0,1,1023,0,666,43,-6,200,76,1,0.04,0,0,0.02,3,7.49,52,0.9,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,0.0,0.0,0.0,0.0,0.0,0.0067,0.0333,
10,19.549,255.0,1,250.0,1,0,0,0,0,1,1023,0,666,43,-6,199,76,1,0.0067,0,0,0.003,4,7.082,44,0.402,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,0.0,0.0,0.0,0.0,0.0,0.0067,0.0,
