ciclo,t,ultra_cm,ultra_vivo,eopd_raw,eopd_vivo,color_r,color_g,color_b,color_luminosidad,color_vivo,touch_raw,touch_presionado,gyro_raw,accel_x,accel_y,accel_z,compass_deg,smux_vivo,cambio_total,veto_reactivo,volante_elegido,D_actual,contador_sin_cambio,tiempo_deliberacion_s,potencia,duracion_s,ultra_cm_post,error_post,e_R,prop_bienestar,prop_vigor,prop_acople,prop_malestar,prop_dW,d_ultra,d_eopd,d_color,d_gyro,d_accel,d_compass
1,0.0,255.0,1,250.0,1,0,0,0,0,1,1023,0,410,52,-7,197,57,1,0,0,100,0.0,1,7.0,53,0.787,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,0.0,,,,,,
2,2.275,255.0,1,250.0,1,0,0,0,0,1,1023,0,410,53,-8,197,55,1,0.08,0,100,0.04,2,7.98,63,0.538,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,0.0,0.0,0.0,0.0,0.0,0.0133,0.0667
3,4.075,255.0,1,250.0,1,0,0,0,0,1,1023,0,666,52,-9,197,49,1,1.4933,0,100,0.747,0,25.293,55,0.599,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,0.0,0.0,0.0,0.0,1.28,0.0133,0.2
4,6.325,255.0,1,250.0,1,0,0,0,0,1,1023,0,410,50,-7,198,49,1,1.3133,0,100,0.657,0,23.088,43,0.744,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,0.0,0.0,0.0,0.0,1.28,0.0333,0.0
5,8.502,255.0,1,250.0,1,0,0,0,0,1,1023,0,410,51,-8,198,49,1,0.0133,0,100,0.007,1,7.163,45,0.626,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,0.0,0.0,0.0,0.0,0.0,0.0133,0.0
6,10.409,255.0,1,250.0,1,0,0,0,0,1,1023,0,410,51,-8,198,48,1,0.0333,0,100,0.017,2,7.408,41,0.662,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,0.0,0.0,0.0,0.0,0.0,0.0,0.0333
7,12.476,255.0,1,250.0,1,0,0,0,0,1,1023,0,410,51,-8,198,48,1,0.0,0,100,0.0,3,7.0,68,0.958,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,15.026,29.0,1,250.0,1,0,0,0,0,1,1023,0,666,46,-8,199,357,1,5.28,0,100,1.0,0,31.5,40,1.167,27.0,13.0,13.0,0.3833,0.0,0.0,0.1667,0.0,2.26,0.0,0.0,1.28,0.04,1.7
9,17.7,27.0,1,250.0,1,0,0,0,0,1,1023,0,666,49,-7,198,351,1,0.2533,0,100,0.127,0,10.103,58,0.599,28.0,12.0,12.0,0.3833,0.0,0.0,0.1667,0.0,0.02,0.0,0.0,0.0,0.0333,0.2
10,19.775,29.0,1,250.0,1,0,0,0,0,1,1023,0,922,51,-8,198,316,1,2.4867,0,100,1.0,0,31.5,65,0.877,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,0.0,0.02,0.0,0.0,1.28,0.02,1.1667
