ciclo,t,ultra_cm,ultra_vivo,eopd_raw,eopd_vivo,color_r,color_g,color_b,color_luminosidad,color_vivo,touch_raw,touch_presionado,gyro_raw,accel_x,accel_y,accel_z,compass_deg,smux_vivo,cambio_total,veto_reactivo,volante_elegido,D_actual,contador_sin_cambio,tiempo_deliberacion_s,potencia,duracion_s,ultra_cm_post,error_post,e_R,prop_bienestar,prop_vigor,prop_acople,prop_malestar,prop_dW,d_ultra,d_eopd,d_color,d_gyro,d_accel,d_compass,presion_desacople,veto_motivo,vetos_consecutivos
105,227.427,255.0,1,250.0,1,0,0,0,0,1,1023,0,410,44,-8,199,231,1,0.0133,0,100,0.007,1,8.633,41,1.179,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,-0.00557,0.0,0.0,0.0,0.0,0.0133,0.0,,,
106,229.978,255.0,1,250.0,1,0,0,0,0,1,1023,0,666,44,-8,199,230,1,1.3133,0,100,0.657,0,24.558,52,0.904,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,-0.00546,0.0,0.0,0.0,1.28,0.0,0.0333,,,
107,232.203,255.0,1,250.0,1,0,0,0,0,1,1023,0,666,44,-8,198,231,1,0.04,0,60,0.02,1,8.96,50,1.193,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,-0.00535,0.0,0.0,0.0,0.0,0.0067,0.0333,,,
108,234.729,255.0,1,250.0,1,0,0,0,0,1,1023,0,410,45,-8,199,230,1,1.3267,0,60,0.663,0,24.722,61,1.112,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,-0.00525,0.0,0.0,0.0,1.28,0.0133,0.0333,,,
109,237.541,255.0,1,250.0,1,0,0,0,0,1,1023,0,666,44,-8,199,230,1,1.2867,0,60,0.643,0,24.232,62,1.108,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,-0.00514,0.0,0.0,0.0,1.28,0.0067,0.0,,,
110,240.045,255.0,1,250.0,1,0,0,0,0,1,1023,0,666,44,-8,199,230,1,0.0,0,60,0.0,1,8.47,41,0.737,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,-0.00504,0.0,0.0,0.0,0.0,0.0,0.0,,,
111,242.527,255.0,1,250.0,1,0,0,0,0,1,1023,0,666,44,-8,199,230,1,0.0,0,60,0.0,2,8.47,40,0.632,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,-0.00494,0.0,0.0,0.0,0.0,0.0,0.0,,,
112,244.561,255.0,1,250.0,1,0,0,0,0,1,1023,0,666,44,-8,199,230,1,0.0,0,60,0.0,3,8.47,55,0.721,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,-0.00484,0.0,0.0,0.0,0.0,0.0,0.0,,,
113,246.778,255.0,1,250.0,1,0,0,0,0,1,1023,0,666,44,-8,199,230,1,0.0,0,60,0.0,4,8.47,55,0.61,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,-0.00474,0.0,0.0,0.0,0.0,0.0,0.0,,,
114,248.895,255.0,1,250.0,1,0,0,0,0,1,1023,0,666,44,-8,199,231,1,0.0333,0,60,1.0,5,32.97,53,1.19,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,-0.00465,0.0,0.0,0.0,0.0,0.0,0.0333,,,
115,251.503,255.0,1,250.0,1,0,0,0,0,1,1023,0,666,44,-8,199,230,1,0.0333,0,60,1.0,6,32.97,67,1.131,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,-0.00455,0.0,0.0,0.0,0.0,0.0,0.0333,,,
116,254.06,255.0,1,250.0,1,0,0,0,0,1,1023,0,666,43,-8,199,230,1,0.0067,0,60,1.0,7,32.97,56,1.11,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,-0.00446,0.0,0.0,0.0,0.0,0.0067,0.0,,,
117,256.402,255.0,1,250.0,1,0,0,0,0,1,1023,0,666,43,-9,199,230,1,0.0067,0,60,1.0,8,32.97,46,1.112,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,-0.00437,0.0,0.0,0.0,0.0,0.0067,0.0,,,
118,258.98,255.0,1,250.0,1,0,0,0,0,1,1023,0,410,43,-8,199,230,1,1.2867,0,60,0.643,0,24.232,46,0.492,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,-0.00429,0.0,0.0,0.0,1.28,0.0067,0.0,,,
119,260.903,255.0,1,250.0,1,0,0,0,0,1,1023,0,666,43,-8,199,230,1,1.28,0,60,0.64,0,24.15,42,1.156,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,-0.0042,0.0,0.0,0.0,1.28,0.0,0.0,,,
120,263.378,255.0,1,250.0,1,0,0,0,0,1,1023,0,410,43,-8,199,229,1,1.3133,0,60,0.657,0,24.558,43,0.691,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,-0.00412,0.0,0.0,0.0,1.28,0.0,0.0333,,,
