ciclo,t,ultra_cm,ultra_vivo,eopd_raw,eopd_vivo,color_r,color_g,color_b,color_luminosidad,color_vivo,touch_raw,touch_presionado,gyro_raw,accel_x,accel_y,accel_z,compass_deg,smux_vivo,bateria_mv,energia,energia_vivo,cambio_total,veto_reactivo,volante_elegido,D_actual,contador_sin_cambio,tiempo_deliberacion_s,potencia,duracion_s,ultra_cm_post,error_post,e_R,prop_bienestar,prop_vigor,prop_acople,prop_malestar,prop_dW,d_ultra,d_eopd,d_color,d_gyro,d_accel,d_compass,presion_desacople,veto_motivo,vetos_consecutivos
1,0.0,255.0,1,250.0,1,0,0,0,0,1,1023,0,666,85,-8,187,63,1,7422.0,0.6183,1,0,0,-25,0.0,1,7.0,57,0.926,255.0,215.0,215.0,0.4753,0.3091,0.0,0.1667,0.0,,,,,,,,,
2,2.46,255.0,1,250.0,1,0,0,0,0,1,1023,0,664,83,-9,188,71,1,7436.0,0.6243,1,0.3033,0,-25,0.152,0,10.715,58,0.513,255.0,215.0,215.0,0.4762,0.3121,0.0,0.1667,0.00089,0.0,0.0,0.0,0.01,0.0267,0.2667,,,
3,4.374,255.0,1,250.0,1,0,0,0,0,1,767,0,409,82,-7,188,72,1,7450.0,0.6304,1,1.3283,0,-25,0.664,0,23.272,65,1.156,255.0,215.0,215.0,0.4771,0.3152,0.0,0.1667,0.00178,0.0,0.0,0.0,1.275,0.02,0.0333,,,
4,6.948,255.0,1,250.0,1,0,0,0,0,1,1023,0,410,87,-12,188,90,1,7408.0,0.6122,1,0.6717,0,-25,0.336,0,15.228,70,1.126,255.0,215.0,215.0,0.4744,0.3061,0.0,0.1667,-0.00096,0.0,0.0,0.0,0.005,0.0667,0.6,,,
5,9.61,255.0,1,250.0,1,0,0,0,0,1,1023,0,410,87,-10,186,118,1,7450.0,0.6304,1,0.96,0,-25,0.48,0,18.76,62,0.41,255.0,215.0,215.0,0.4771,0.3152,0.0,0.1667,0.00177,0.0,0.0,0.0,0.0,0.0267,0.9333,,,
6,11.628,255.0,1,250.0,1,0,0,0,0,1,507,0,410,86,-7,186,123,1,7464.0,0.6365,1,0.1933,0,-25,0.097,0,9.368,53,0.614,255.0,215.0,215.0,0.478,0.3182,0.0,0.1667,0.00264,0.0,0.0,0.0,0.0,0.0267,0.1667,,,
7,13.622,255.0,1,250.0,1,0,0,0,0,1,1023,0,410,86,-6,187,123,1,7491.0,0.6483,1,0.0133,0,-25,0.007,1,7.163,56,0.483,255.0,215.0,215.0,0.4798,0.3241,0.0,0.1667,0.00434,0.0,0.0,0.0,0.0,0.0133,0.0,,,
8,15.521,255.0,1,250.0,1,0,0,0,0,1,1023,0,410,86,-6,187,123,1,7464.0,0.6365,1,0.0,0,-25,0.0,2,7.0,62,0.988,255.0,215.0,215.0,0.478,0.3182,0.0,0.1667,0.0025,0.0,0.0,0.0,0.0,0.0,0.0,,,
9,17.952,255.0,1,250.0,1,0,0,0,0,1,1023,0,662,86,-6,187,124,1,7408.0,0.6122,1,1.2933,0,-25,0.647,0,22.843,70,0.685,255.0,215.0,215.0,0.4744,0.3061,0.0,0.1667,-0.00117,0.0,0.0,0.0,1.26,0.0,0.0333,,,
10,20.12,255.0,1,250.0,1,0,0,0,0,1,767,0,410,87,-8,186,131,1,7450.0,0.6304,1,1.52,0,-25,0.76,0,25.62,67,0.686,255.0,215.0,215.0,0.4771,0.3152,0.0,0.1667,0.00156,0.0,0.0,0.0,1.26,0.0267,0.2333,,,
11,22.344,255.0,1,250.0,1,0,0,0,0,1,1023,0,921,88,-15,185,149,1,7436.0,0.6243,1,3.215,0,-25,1.0,0,31.5,70,1.097,255.0,215.0,215.0,0.4762,0.3121,0.0,0.1667,0.00063,0.0,0.0,0.0,2.555,0.06,0.6,,,
12,24.844,255.0,1,250.0,1,0,0,0,0,1,254,1,921,84,-7,185,183,1,7422.0,0.6183,1,1.2133,1,,,,,,,,,,0.5725,0.3091,0.0,0.0278,0.0969,0.0,0.0,0.0,0.0,0.08,1.1333,0.167,colision_trasera,1
13,26.985,255.0,1,250.0,1,0,0,0,0,1,1020,0,154,92,-8,183,167,1,7422.0,0.6183,1,4.4417,0,-100,1.0,0,31.73,58,0.552,255.0,215.0,215.0,0.4753,0.3091,0.0,0.1667,-0.00222,0.0,0.0,0.0,3.835,0.0733,0.5333,,,
14,29.117,255.0,1,250.0,1,0,0,0,0,1,511,0,665,87,-12,186,180,1,7450.0,0.6304,1,3.0683,0,-100,1.0,0,31.73,69,0.883,255.0,215.0,215.0,0.4771,0.3152,0.0,0.1667,-0.00037,0.0,0.0,0.0,2.555,0.08,0.4333,,,
15,31.523,255.0,1,250.0,1,0,0,0,0,1,255,1,916,87,-12,186,240,1,7464.0,0.6365,1,3.255,1,,,,,,,,,,0.5752,0.3182,0.0,0.0278,0.09772,0.0,0.0,0.0,1.255,0.0,2.0,0.167,colision_trasera,1
16,33.726,255.0,1,250.0,1,0,0,0,0,1,252,1,663,88,-11,185,211,1,7450.0,0.6304,1,2.2517,1,,,,,,,,,,0.5549,0.3152,0.0,0.0555,0.0755,0.0,0.0,0.0,1.265,0.02,0.9667,0.333,colision_trasera,2
17,36.099,255.0,1,250.0,1,0,0,0,0,1,1022,0,153,88,-15,185,182,1,7464.0,0.6365,1,3.5433,0,0,1.0,0,32.04,40,0.861,255.0,215.0,215.0,0.478,0.3182,0.0,0.1667,-0.00292,0.0,0.0,0.0,2.55,0.0267,0.9667,,,
18,38.516,255.0,1,250.0,1,0,0,0,0,1,253,1,662,86,-6,186,185,1,7464.0,0.6365,1,2.725,1,,,,,,,,,,0.5752,0.3182,0.0,0.0278,0.09432,0.0,0.0,0.0,2.545,0.08,0.1,0.167,colision_trasera,1
19,40.606,255.0,1,250.0,1,0,0,0,0,1,506,0,409,91,-3,184,172,1,7450.0,0.6304,1,1.765,0,100,0.882,0,29.391,56,0.434,255.0,215.0,215.0,0.4771,0.3152,0.0,0.1667,-0.00566,0.0,0.0,0.0,1.265,0.0667,0.4333,,,
20,42.446,255.0,1,250.0,1,0,0,0,0,1,1023,0,149,91,-9,184,164,1,7450.0,0.6304,1,1.6067,0,100,0.803,0,27.452,64,0.781,255.0,215.0,215.0,0.4771,0.3152,0.0,0.1667,-0.00555,0.0,0.0,0.0,1.3,0.04,0.2667,,,
21,44.693,255.0,1,250.0,1,0,0,0,0,1,1023,0,406,92,-3,184,129,1,7450.0,0.6304,1,2.4983,0,100,1.0,0,32.27,47,0.585,255.0,215.0,215.0,0.4771,0.3152,0.0,0.1667,-0.00543,0.0,0.0,0.0,1.285,0.0467,1.1667,,,
22,46.563,255.0,1,250.0,1,0,0,0,0,1,1018,0,410,91,-5,184,124,1,7436.0,0.6243,1,0.2067,0,100,0.103,0,10.302,52,0.639,255.0,215.0,215.0,0.4762,0.3121,0.0,0.1667,-0.00623,0.0,0.0,0.0,0.02,0.02,0.1667,,,
23,48.739,255.0,1,250.0,1,0,0,0,0,1,506,0,922,93,-12,183,115,1,7477.0,0.6422,1,2.9267,0,100,1.0,0,32.27,64,0.513,255.0,215.0,215.0,0.4789,0.3211,0.0,0.1667,-0.00345,0.0,0.0,0.0,2.56,0.0667,0.3,,,
24,50.712,255.0,1,250.0,1,0,0,0,0,1,767,0,149,90,-9,185,90,1,7477.0,0.6422,1,4.7517,0,100,1.0,0,32.27,59,0.587,255.0,215.0,215.0,0.4789,0.3211,0.0,0.1667,-0.00338,0.0,0.0,0.0,3.865,0.0533,0.8333,,,
25,52.761,255.0,1,250.0,1,0,0,0,0,1,1023,0,666,90,-6,184,82,1,7436.0,0.6243,1,2.8783,0,100,1.0,0,32.27,69,0.919,255.0,215.0,215.0,0.4762,0.3121,0.0,0.1667,-0.00597,0.0,0.0,0.0,2.585,0.0267,0.2667,,,
26,55.21,255.0,1,250.0,1,0,0,0,0,1,1023,0,152,88,-11,186,32,1,7436.0,0.6243,1,4.2967,0,100,1.0,0,32.27,40,0.44,255.0,215.0,215.0,0.4762,0.3121,0.0,0.1667,-0.00585,0.0,0.0,0.0,2.57,0.06,1.6667,,,
27,57.14,255.0,1,250.0,1,0,0,0,0,1,1022,0,154,90,-6,184,31,1,7422.0,0.6183,1,0.1033,0,100,0.052,1,9.035,41,1.199,255.0,215.0,215.0,0.4753,0.3091,0.0,0.1667,-0.00663,0.0,0.0,0.0,0.01,0.06,0.0333,,,
28,59.785,255.0,1,250.0,1,0,0,0,0,1,1022,0,920,89,-6,185,31,1,7450.0,0.6304,1,3.8433,0,100,1.0,0,32.27,48,0.432,255.0,215.0,215.0,0.4771,0.3152,0.0,0.1667,-0.0047,0.0,0.0,0.0,3.83,0.0133,0.0,,,
29,61.609,255.0,1,250.0,1,0,0,0,0,1,1022,0,921,91,-4,184,27,1,7464.0,0.6365,1,0.1717,0,100,0.086,0,9.873,62,0.445,32.0,8.0,8.0,0.5013,0.3182,0.0,0.1333,0.01964,0.0,0.0,0.0,0.005,0.0333,0.1333,,,
30,63.586,30.0,1,250.0,1,0,0,0,0,1,510,0,152,91,-13,184,6,1,7450.0,0.6304,1,6.855,0,100,1.0,0,32.27,51,1.054,31.0,9.0,9.0,0.4888,0.3152,0.0,0.15,0.00667,2.25,0.0,0.0,3.845,0.06,0.7,,,
31,66.133,30.0,1,250.0,1,0,0,0,0,1,766,0,409,93,-4,187,344,1,7436.0,0.6243,1,2.1117,0,100,1.0,0,32.27,64,0.703,31.0,9.0,9.0,0.4879,0.3121,0.0,0.15,0.00563,0.0,0.0,0.0,1.285,0.0933,0.7333,,,
32,68.335,30.0,1,250.0,1,0,0,0,0,1,255,1,152,91,-6,184,332,1,7394.0,0.6061,1,1.7317,1,,,,,,,,,,0.5707,0.303,0.0,0.0278,0.08833,0.0,0.0,0.0,1.285,0.0467,0.4,0.167,colision_trasera,1
33,70.399,31.0,1,250.0,1,0,0,0,0,1,505,0,920,91,-6,184,332,1,7436.0,0.6243,1,3.85,0,60,1.0,0,32.5,51,0.597,31.0,9.0,9.0,0.4879,0.3121,0.0,0.15,0.00375,0.01,0.0,0.0,3.84,0.0,0.0,,,
34,72.567,31.0,1,250.0,1,0,0,0,0,1,761,0,408,88,-5,185,332,1,7477.0,0.6422,1,2.5933,0,60,1.0,0,32.5,62,0.522,31.0,9.0,9.0,0.4905,0.3211,0.0,0.15,0.00634,0.0,0.0,0.0,2.56,0.0333,0.0,,,
35,74.456,31.0,1,250.0,1,0,0,0,0,1,253,1,916,89,-5,185,332,1,7450.0,0.6304,1,2.5467,1,,,,,,,,,,0.5743,0.3152,0.0,0.0278,0.08997,0.0,0.0,0.0,2.54,0.0067,0.0,0.167,colision_trasera,1
36,76.546,31.0,1,250.0,1,0,0,0,0,1,255,1,914,89,-6,185,330,1,7408.0,0.6122,1,0.0833,1,,,,,,,,,,0.5522,0.3061,0.0,0.0555,0.0661,0.0,0.0,0.0,0.01,0.0067,0.0667,0.333,colision_trasera,2
37,78.821,31.0,1,250.0,1,0,0,0,0,1,46,1,402,87,-8,186,326,1,7477.0,0.6422,1,2.7267,1,,,,,,,,,,0.5372,0.3211,0.0,0.0833,0.04976,0.0,0.0,0.0,2.56,0.0333,0.1333,0.5,colision_trasera,3
38,81.275,31.0,1,250.0,1,0,0,0,0,1,504,0,914,86,-10,186,314,1,7464.0,0.6365,1,2.98,0,-60,1.0,0,32.89,65,0.84,28.0,12.0,12.0,0.478,0.3182,0.0,0.1667,-0.01042,0.0,0.0,0.0,2.56,0.02,0.4,,,
39,83.753,28.0,1,250.0,1,0,0,0,0,1,764,0,151,89,-1,185,6,1,7394.0,0.6061,1,5.665,0,-60,1.0,0,32.89,63,0.419,51.0,11.0,11.0,0.4735,0.303,0.0,0.1667,-0.01473,0.03,0.0,0.0,3.815,0.0867,1.7333,,,
40,85.678,51.0,1,250.0,1,0,0,0,0,1,255,1,921,89,-4,185,25,1,7408.0,0.6122,1,4.7333,1,,,,,,,,,,0.5716,0.3061,0.0,0.0278,0.08365,0.23,0.0,0.0,3.85,0.02,0.6333,0.167,colision_trasera,1
41,87.855,27.0,1,250.0,1,0,0,0,0,1,762,0,408,95,-1,182,351,1,7477.0,0.6422,1,4.0183,0,25,1.0,0,33.12,63,0.868,26.0,14.0,14.0,0.4789,0.3211,0.0,0.1667,-0.01074,0.24,0.0,0.0,2.565,0.08,1.1333,,,
42,90.195,26.0,1,250.0,1,0,0,0,0,1,506,0,915,89,-6,185,347,1,7408.0,0.6122,1,2.7717,0,25,1.0,0,33.12,45,0.676,26.0,14.0,14.0,0.4744,0.3061,0.0,0.1667,-0.01499,0.01,0.0,0.0,2.535,0.0933,0.1333,,,
43,92.22,26.0,1,250.0,1,0,0,0,0,1,1017,0,147,89,-6,185,347,1,7450.0,0.6304,1,3.84,0,25,1.0,0,33.12,52,1.028,26.0,14.0,14.0,0.4771,0.3152,0.0,0.1667,-0.01198,0.0,0.0,0.0,3.84,0.0,0.0,,,
44,94.75,26.0,1,250.0,1,0,0,0,0,1,1017,0,915,89,-6,185,347,1,7394.0,0.6061,1,3.84,0,25,1.0,0,33.12,54,0.833,26.0,14.0,14.0,0.4735,0.303,0.0,0.1667,-0.01536,0.0,0.0,0.0,3.84,0.0,0.0,,,
45,97.024,26.0,1,250.0,1,0,0,0,0,1,1018,0,659,89,-6,185,347,1,7422.0,0.6183,1,1.28,0,25,0.64,0,24.3,40,0.444,26.0,14.0,14.0,0.4753,0.3091,0.0,0.1667,-0.01323,0.0,0.0,0.0,1.28,0.0,0.0,,,
46,99.099,26.0,1,250.0,1,0,0,0,0,1,1017,0,659,89,-6,185,347,1,7436.0,0.6243,1,0.0,0,25,0.0,1,8.62,47,0.514,26.0,14.0,14.0,0.4762,0.3121,0.0,0.1667,-0.01208,0.0,0.0,0.0,0.0,0.0,0.0,,,
47,101.049,26.0,1,250.0,1,0,0,0,0,1,1017,0,403,89,-6,185,347,1,7450.0,0.6304,1,1.28,0,25,0.64,0,24.3,63,0.436,26.0,14.0,14.0,0.4771,0.3152,0.0,0.1667,-0.01093,0.0,0.0,0.0,1.28,0.0,0.0,,,
48,103.069,26.0,1,250.0,1,0,0,0,0,1,505,0,147,89,-7,185,346,1,7464.0,0.6365,1,1.32,0,25,0.66,0,24.79,54,0.591,26.0,14.0,14.0,0.478,0.3182,0.0,0.1667,-0.0098,0.0,0.0,0.0,1.28,0.0067,0.0333,,,
49,105.397,26.0,1,250.0,1,0,0,0,0,1,249,1,403,89,-6,185,346,1,7422.0,0.6183,1,1.2867,1,,,,,,,,,,0.5725,0.3091,0.0,0.0278,0.08487,0.0,0.0,0.0,1.28,0.0067,0.0,0.167,colision_trasera,1
50,107.576,27.0,1,250.0,1,0,0,0,0,1,510,0,147,90,-2,185,342,1,7450.0,0.6304,1,1.4567,0,25,0.728,0,26.695,63,0.761,26.0,14.0,14.0,0.4771,0.3152,0.0,0.1667,-0.01221,0.01,0.0,0.0,1.28,0.0333,0.1333,,,
51,109.871,26.0,1,250.0,1,0,0,0,0,1,252,1,152,88,-5,185,338,1,7422.0,0.6183,1,0.2017,1,,,,,,,,,,0.5725,0.3091,0.0,0.0278,0.08342,0.01,0.0,0.0,0.025,0.0333,0.1333,0.167,colision_trasera,1
52,112.087,27.0,1,250.0,1,0,0,0,0,1,504,0,145,95,-1,183,334,1,7436.0,0.6243,1,0.265,0,25,0.133,0,12.176,48,1.0,27.0,13.0,13.0,0.4762,0.3121,0.0,0.1667,-0.01454,0.01,0.0,0.0,0.035,0.0867,0.1333,,,
53,114.47,27.0,1,250.0,1,0,0,0,0,1,248,1,402,90,-7,185,335,1,7450.0,0.6304,1,1.405,1,,,,,,,,,,0.5743,0.3152,0.0,0.0278,0.08384,0.0,0.0,0.0,1.285,0.0867,0.0333,0.167,colision_trasera,1
