ciclo,t,ultra_cm,ultra_vivo,eopd_raw,eopd_vivo,color_r,color_g,color_b,color_luminosidad,color_vivo,touch_raw,touch_presionado,gyro_raw,accel_x,accel_y,accel_z,compass_deg,smux_vivo,bateria_mv,energia,energia_vivo,cambio_total,veto_reactivo,volante_elegido,D_actual,contador_sin_cambio,tiempo_deliberacion_s,potencia,duracion_s,ultra_cm_post,error_post,e_R,prop_bienestar,prop_vigor,prop_acople,prop_malestar,prop_dW,d_ultra,d_eopd,d_color,d_gyro,d_accel,d_compass,presion_desacople,veto_motivo,vetos_consecutivos
1,0.0,255.0,1,250.0,1,0,0,0,0,1,1023,0,666,71,-9,192,90,1,7477.0,0.6422,1,0,0,25,0.0,1,7.0,82,0.597,255.0,215.0,215.0,0.4789,0.3211,0.0,0.1667,0.0,,,,,,,,,
2,2.01,153.0,1,250.0,1,0,0,0,0,1,1023,0,666,69,-13,191,77,1,7505.0,0.6543,1,1.5,0,25,0.75,0,25.375,82,0.468,255.0,215.0,215.0,0.4807,0.3271,0.0,0.1667,0.0018,1.02,0.0,0.0,0.0,0.0467,0.4333,,,
3,3.858,148.0,1,250.0,1,0,0,0,0,1,1023,0,154,68,-5,193,68,1,7574.0,0.6843,1,2.9833,0,25,1.0,0,31.5,88,0.503,255.0,215.0,215.0,0.4851,0.3422,0.0,0.1667,0.00623,0.05,0.0,0.0,2.56,0.0733,0.3,,,
4,5.54,255.0,1,250.0,1,0,0,0,0,1,1023,0,666,69,-8,195,54,1,7588.0,0.6904,1,4.1367,0,25,1.0,0,31.5,84,0.49,255.0,215.0,215.0,0.486,0.3452,0.0,0.1667,0.00701,1.07,0.0,0.0,2.56,0.04,0.4667,,,
5,7.228,255.0,1,250.0,1,0,0,0,0,1,1023,0,410,68,-11,193,50,1,7491.0,0.6483,1,1.4533,0,25,0.727,0,24.803,87,1.037,255.0,215.0,215.0,0.4798,0.3241,0.0,0.1667,0.00061,0.0,0.0,0.0,1.28,0.04,0.1333,,,
6,9.625,132.0,1,250.0,1,0,0,0,0,1,1023,0,410,71,-7,191,48,1,7477.0,0.6422,1,1.3567,0,25,0.678,0,23.62,88,0.579,255.0,215.0,215.0,0.4789,0.3211,0.0,0.1667,-0.00031,1.23,0.0,0.0,0.0,0.06,0.0667,,,
7,11.65,255.0,1,250.0,1,0,0,0,0,1,1023,0,666,69,-7,192,46,1,7450.0,0.6304,1,2.5967,0,25,1.0,0,31.5,84,0.613,255.0,215.0,215.0,0.4771,0.3152,0.0,0.1667,-0.00206,1.23,0.0,0.0,1.28,0.02,0.0667,,,
8,13.5,255.0,1,250.0,1,0,0,0,0,1,1023,0,410,68,-11,191,46,1,7491.0,0.6483,1,1.32,0,25,0.66,0,23.17,87,1.01,255.0,215.0,215.0,0.4798,0.3241,0.0,0.1667,0.00064,0.0,0.0,0.0,1.28,0.04,0.0,,,
9,15.774,255.0,1,250.0,1,0,0,0,0,1,1023,0,410,69,-13,192,54,1,7547.0,0.6726,1,0.2933,0,25,0.147,0,10.593,90,0.969,255.0,215.0,215.0,0.4834,0.3363,0.0,0.1667,0.00424,0.0,0.0,0.0,0.0,0.0267,0.2667,,,
10,17.926,104.0,1,250.0,1,0,0,0,0,1,1023,0,155,70,-8,192,63,1,7574.0,0.6843,1,3.125,0,25,1.0,0,31.5,83,0.717,103.0,63.0,63.0,0.4851,0.3422,0.0,0.1667,0.0059,1.51,0.0,0.0,1.275,0.04,0.3,,,
11,19.85,100.0,1,250.0,1,0,0,0,0,1,1023,0,410,69,-10,192,68,1,7574.0,0.6843,1,1.5017,0,25,0.751,0,25.396,77,1.057,99.0,59.0,59.0,0.4851,0.3422,0.0,0.1667,0.00578,0.04,0.0,0.0,1.275,0.02,0.1667,,,
12,22.325,98.0,1,250.0,1,0,0,0,0,1,1023,0,666,68,-11,192,72,1,7588.0,0.6904,1,1.4467,0,25,0.723,0,24.722,76,0.439,98.0,58.0,58.0,0.486,0.3452,0.0,0.1667,0.00657,0.02,0.0,0.0,1.28,0.0133,0.1333,,,
13,23.9,98.0,1,250.0,1,0,0,0,0,1,1023,0,410,69,-10,192,75,1,7519.0,0.6604,1,1.3933,0,25,0.697,0,24.068,86,0.995,92.0,52.0,52.0,0.4816,0.3302,0.0,0.1667,0.00198,0.0,0.0,0.0,1.28,0.0133,0.1,,,
14,26.24,91.0,1,250.0,1,0,0,0,0,1,1023,0,410,71,-11,188,84,1,7588.0,0.6904,1,0.4167,0,25,0.208,0,12.105,84,0.632,89.0,49.0,49.0,0.486,0.3452,0.0,0.1667,0.0064,0.07,0.0,0.0,0.0,0.0467,0.3,,,
15,28.178,88.0,1,250.0,1,0,0,0,0,1,1023,0,666,71,-9,191,88,1,7450.0,0.6304,1,1.4767,0,25,0.738,0,25.09,75,0.692,87.0,47.0,47.0,0.4771,0.3152,0.0,0.1667,-0.00265,0.03,0.0,0.0,1.28,0.0333,0.1333,,,
16,30.125,86.0,1,250.0,1,0,0,0,0,1,1023,0,154,70,-9,192,93,1,7561.0,0.6787,1,2.76,0,25,1.0,0,31.5,81,0.491,85.0,45.0,45.0,0.4843,0.3393,0.0,0.1667,0.00459,0.02,0.0,0.0,2.56,0.0133,0.1667,,,
17,32.0,83.0,1,250.0,1,0,0,0,0,1,1023,0,410,70,-10,192,89,1,7464.0,0.6365,1,1.45,0,25,0.725,0,24.762,79,0.545,84.0,44.0,44.0,0.478,0.3182,0.0,0.1667,-0.00178,0.03,0.0,0.0,1.28,0.0067,0.1333,,,
18,33.781,82.0,1,250.0,1,0,0,0,0,1,1023,0,666,71,-10,191,90,1,7561.0,0.6787,1,1.3367,0,25,0.668,0,23.375,78,1.112,81.0,41.0,41.0,0.4843,0.3393,0.0,0.1667,0.00453,0.01,0.0,0.0,1.28,0.0133,0.0333,,,
19,36.075,80.0,1,250.0,1,0,0,0,0,1,1023,0,410,71,-11,191,90,1,7519.0,0.6604,1,1.3067,0,25,0.653,0,23.007,86,0.817,255.0,215.0,215.0,0.4816,0.3302,0.0,0.1667,0.00172,0.02,0.0,0.0,1.28,0.0067,0.0,,,
20,38.425,255.0,1,250.0,1,0,0,0,0,1,1023,0,666,71,-9,191,96,1,7561.0,0.6787,1,3.2433,0,25,1.0,0,31.5,84,0.898,255.0,215.0,215.0,0.4843,0.3393,0.0,0.1667,0.00441,1.75,0.0,0.0,1.28,0.0133,0.2,,,
21,40.782,46.0,1,250.0,1,0,0,0,0,1,1023,0,666,72,-12,191,90,1,7533.0,0.6665,1,2.3167,0,25,1.0,0,31.5,83,0.904,255.0,215.0,215.0,0.4825,0.3332,0.0,0.1667,0.0025,2.09,0.0,0.0,0.0,0.0267,0.2,,,
22,42.901,47.0,1,250.0,1,0,0,0,0,1,1023,0,666,70,-9,195,87,1,7574.0,0.6843,1,0.17,0,25,0.085,0,9.083,79,0.439,255.0,215.0,215.0,0.4851,0.3422,0.0,0.1667,0.0051,0.01,0.0,0.0,0.0,0.06,0.1,,,
23,44.775,63.0,1,250.0,1,0,0,0,0,1,1023,0,410,71,-8,191,86,1,7533.0,0.6665,1,1.5133,0,25,0.757,0,25.538,82,1.051,255.0,215.0,215.0,0.4825,0.3332,0.0,0.1667,0.00235,0.16,0.0,0.0,1.28,0.04,0.0333,,,
24,46.833,255.0,1,250.0,1,0,0,0,0,1,1023,0,922,71,-6,191,92,1,7477.0,0.6422,1,4.6933,0,25,1.0,0,31.5,77,0.548,59.0,19.0,19.0,0.4789,0.3211,0.0,0.1667,-0.00131,1.92,0.0,0.0,2.56,0.0133,0.2,,,
