ciclo,t,ultra_cm,ultra_vivo,eopd_raw,eopd_vivo,color_r,color_g,color_b,color_luminosidad,color_vivo,touch_raw,touch_presionado,gyro_raw,accel_x,accel_y,accel_z,compass_deg,smux_vivo,bateria_mv,energia,energia_vivo,cambio_total,veto_reactivo,volante_elegido,D_actual,contador_sin_cambio,tiempo_deliberacion_s,potencia,duracion_s,ultra_cm_post,error_post,e_R,prop_bienestar,prop_vigor,prop_acople,prop_malestar,prop_dW,d_ultra,d_eopd,d_color,d_gyro,d_accel,d_compass,presion_desacople,veto_motivo,vetos_consecutivos
1,0.0,37.0,1,250.0,1,0,0,0,0,1,1023,0,666,78,-7,189,306,1,7727.0,0.7509,1,0,0,-100,0.0,1,7.0,82,1.073,255.0,215.0,215.0,0.495,0.3755,0.0,0.1667,0.0,,,,,,,,,
2,2.526,255.0,1,250.0,1,0,0,0,0,1,1023,0,154,78,-9,189,55,1,7699.0,0.7387,1,8.3867,0,-100,1.0,0,31.5,78,0.663,255.0,215.0,215.0,0.4932,0.3694,0.0,0.1667,-0.00181,2.18,0.0,0.0,2.56,0.0133,3.6333,,,
3,4.65,255.0,1,250.0,1,0,0,0,0,1,1023,0,410,79,3,188,98,1,7727.0,0.7509,1,2.8067,0,-100,1.0,0,31.5,90,1.023,255.0,215.0,215.0,0.495,0.3755,0.0,0.1667,4e-05,0.0,0.0,0.0,1.28,0.0933,1.4333,,,
4,7.2,255.0,1,250.0,1,0,0,0,0,1,1023,0,410,77,-2,189,172,1,7727.0,0.7509,1,2.52,0,-100,1.0,0,31.5,84,0.808,104.0,64.0,64.0,0.495,0.3755,0.0,0.1667,4e-05,0.0,0.0,0.0,0.0,0.0533,2.4667,,,
5,9.409,103.0,1,250.0,1,0,0,0,0,1,1023,0,410,80,-7,188,204,1,7727.0,0.7509,1,2.6467,0,-100,1.0,0,31.5,75,1.088,255.0,215.0,215.0,0.495,0.3755,0.0,0.1667,3e-05,1.52,0.0,0.0,0.0,0.06,1.0667,,,
6,11.837,255.0,1,250.0,1,0,0,0,0,1,1023,0,666,81,-7,188,258,1,7713.0,0.7448,1,4.6067,0,-100,1.0,0,31.5,79,0.897,32.0,8.0,8.0,0.5175,0.3724,0.0,0.1333,0.02246,1.52,0.0,0.0,1.28,0.0067,1.8,,,
7,14.16,31.0,1,250.0,1,0,0,0,0,1,1023,0,410,79,-9,188,354,1,7699.0,0.7387,1,6.7467,0,-100,1.0,0,31.5,86,1.097,255.0,215.0,215.0,0.4932,0.3694,0.0,0.1667,-0.00223,2.24,0.0,0.0,1.28,0.0267,3.2,,,
8,16.678,255.0,1,250.0,1,0,0,0,0,1,1023,0,923,76,-7,190,92,1,7644.0,0.7148,1,8.1183,0,-100,1.0,0,31.5,85,0.756,255.0,215.0,215.0,0.4897,0.3574,0.0,0.1667,-0.00574,2.24,0.0,0.0,2.565,0.0467,3.2667,,,
9,18.878,255.0,1,250.0,1,0,0,0,0,1,1023,0,410,75,-9,190,153,1,7713.0,0.7448,1,4.6183,0,-100,1.0,0,31.5,79,0.488,255.0,215.0,215.0,0.4941,0.3724,0.0,0.1667,-0.00116,0.0,0.0,0.0,2.565,0.02,2.0333,,,
10,20.703,255.0,1,250.0,1,0,0,0,0,1,1023,0,666,75,-6,190,171,1,7699.0,0.7387,1,1.9,0,-100,0.95,0,30.275,83,0.55,255.0,215.0,215.0,0.4932,0.3694,0.0,0.1667,-0.00205,0.0,0.0,0.0,1.28,0.02,0.6,,,
11,22.775,100.0,1,250.0,1,0,0,0,0,1,1023,0,666,79,-6,189,202,1,7699.0,0.7387,1,2.6167,0,-100,1.0,0,31.5,76,0.46,99.0,59.0,59.0,0.4932,0.3694,0.0,0.1667,-0.00201,1.55,0.0,0.0,0.0,0.0333,1.0333,,,
12,24.476,99.0,1,250.0,1,0,0,0,0,1,1023,0,153,79,-4,188,237,1,7685.0,0.7326,1,3.7617,0,-100,1.0,0,31.5,81,0.474,255.0,215.0,215.0,0.4923,0.3663,0.0,0.1667,-0.00287,0.01,0.0,0.0,2.565,0.02,1.1667,,,
13,26.225,36.0,1,250.0,1,0,0,0,0,1,1023,0,411,79,-3,189,288,1,7671.0,0.7265,1,3.6333,0,-100,1.0,0,31.5,84,0.494,32.0,8.0,8.0,0.5147,0.3633,0.0,0.1333,0.01961,0.63,0.0,0.0,1.29,0.0133,1.7,,,
14,28.15,32.0,1,250.0,1,0,0,0,0,1,1023,0,410,79,-4,189,348,1,7657.0,0.7204,1,2.0517,0,-100,1.0,0,31.5,76,1.107,255.0,215.0,215.0,0.4905,0.3602,0.0,0.1667,-0.00502,0.04,0.0,0.0,0.005,0.0067,2.0,,,
15,30.75,255.0,1,250.0,1,0,0,0,0,1,1023,0,666,78,-10,189,50,1,7685.0,0.7326,1,5.6233,0,-100,1.0,0,31.5,75,0.45,255.0,215.0,215.0,0.4923,0.3663,0.0,0.1667,-0.00311,2.23,0.0,0.0,1.28,0.0467,2.0667,,,
16,32.625,255.0,1,250.0,1,0,0,0,0,1,1023,0,666,79,0,188,69,1,7699.0,0.7387,1,0.7133,0,-100,0.357,0,15.738,85,1.102,255.0,215.0,215.0,0.4932,0.3694,0.0,0.1667,-0.00214,0.0,0.0,0.0,0.0,0.08,0.6333,,,
17,35.178,255.0,1,250.0,1,0,0,0,0,1,1023,0,155,76,-6,189,152,1,7685.0,0.7326,1,5.3883,0,-100,1.0,0,31.5,78,1.032,255.0,215.0,215.0,0.4923,0.3663,0.0,0.1667,-0.003,0.0,0.0,0.0,2.555,0.0667,2.7667,,,
18,37.777,255.0,1,250.0,1,0,0,0,0,1,1023,0,666,77,-5,189,182,1,7699.0,0.7387,1,3.5683,0,-100,1.0,0,31.5,76,1.073,255.0,215.0,215.0,0.4932,0.3694,0.0,0.1667,-0.00204,0.0,0.0,0.0,2.555,0.0133,1.0,,,
19,40.516,101.0,1,250.0,1,0,0,0,0,1,1023,0,666,77,-5,189,189,1,7685.0,0.7326,1,1.7733,0,-100,0.887,0,28.723,86,0.825,98.0,58.0,58.0,0.4923,0.3663,0.0,0.1667,-0.0029,1.54,0.0,0.0,0.0,0.0,0.2333,,,
20,42.874,97.0,1,250.0,1,0,0,0,0,1,1023,0,666,78,-8,189,198,1,7657.0,0.7204,1,0.3667,0,-100,0.183,0,11.492,78,0.657,96.0,56.0,56.0,0.4905,0.3602,0.0,0.1667,-0.00466,0.04,0.0,0.0,0.0,0.0267,0.3,,,
21,45.024,96.0,1,250.0,1,0,0,0,0,1,1023,0,666,78,-7,189,207,1,7699.0,0.7387,1,0.3167,0,-100,0.158,0,10.88,77,1.059,97.0,57.0,57.0,0.4932,0.3694,0.0,0.1667,-0.00184,0.01,0.0,0.0,0.0,0.0067,0.3,,,
22,47.549,96.0,1,250.0,1,0,0,0,0,1,1023,0,154,79,-12,188,232,1,7685.0,0.7326,1,3.44,0,-100,1.0,0,31.5,88,1.158,23.0,17.0,17.0,0.4923,0.3663,0.0,0.1667,-0.00271,0.0,0.0,0.0,2.56,0.0467,0.8333,,,
23,50.152,23.0,1,250.0,1,0,0,0,0,1,1023,0,410,79,-6,188,338,1,7630.0,0.7087,1,5.5833,1,,,,,,,,,,0.5859,0.3543,0.0,0.0278,0.09097,0.73,0.0,0.0,1.28,0.04,3.5333,0.167,obstaculo_frontal,1
24,52.242,24.0,1,250.0,1,0,0,0,0,1,1023,0,666,79,-11,188,325,1,7657.0,0.7204,1,1.7567,1,,,,,,,,,,0.5683,0.3602,0.0,0.0555,0.07152,0.01,0.0,0.0,1.28,0.0333,0.4333,0.333,obstaculo_frontal,2
25,54.726,24.0,1,250.0,1,0,0,0,0,1,1023,0,666,78,-9,189,328,1,7671.0,0.7265,1,0.1267,1,,,,,,,,,,0.5497,0.3633,0.0,0.0833,0.05152,0.0,0.0,0.0,0.0,0.0267,0.1,0.5,obstaculo_frontal,3
26,57.22,255.0,1,250.0,1,0,0,0,0,1,1023,0,410,78,-12,189,266,1,7699.0,0.7387,1,5.6767,0,-25,1.0,0,31.89,78,0.43,30.0,10.0,10.0,0.4932,0.3694,0.0,0.1667,-0.00603,2.31,0.0,0.0,1.28,0.02,2.0667,,,
27,59.024,27.0,1,250.0,1,0,0,0,0,1,1023,0,410,78,-11,189,301,1,7713.0,0.7448,1,3.4533,0,-25,1.0,0,31.89,81,0.85,22.0,18.0,18.0,0.4941,0.3724,0.0,0.1667,-0.005,2.28,0.0,0.0,0.0,0.0067,1.1667,,,
28,61.349,22.0,1,250.0,1,0,0,0,0,1,1023,0,667,79,-15,188,353,1,7657.0,0.7204,1,3.1083,1,,,,,,,,,,0.5877,0.3602,0.0,0.0278,0.08865,0.05,0.0,0.0,1.285,0.04,1.7333,0.167,obstaculo_frontal,1
