ciclo,t,ultra_cm,ultra_vivo,eopd_raw,eopd_vivo,color_r,color_g,color_b,color_luminosidad,color_vivo,touch_raw,touch_presionado,gyro_raw,accel_x,accel_y,accel_z,compass_deg,smux_vivo,cambio_total,veto_reactivo,volante_elegido,D_actual,contador_sin_cambio,tiempo_deliberacion_s,potencia,duracion_s,ultra_cm_post,error_post,e_R,prop_bienestar,prop_vigor,prop_acople,prop_malestar,prop_dW,d_ultra,d_eopd,d_color,d_gyro,d_accel,d_compass
1,0.0,255.0,1,250.0,1,0,0,0,0,1,1023,0,666,48,-8,198,61,1,0,0,25,0.0,1,7.0,54,1.031,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,0.0,,,,,,
2,2.16,255.0,1,250.0,1,0,0,0,0,1,1023,0,666,48,-7,197,62,1,0.0467,0,25,0.023,2,7.572,48,1.192,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,0.0,0.0,0.0,0.0,0.0,0.0133,0.0333
3,4.651,255.0,1,250.0,1,0,0,0,0,1,1023,0,666,48,-8,198,62,1,0.0133,0,25,0.007,3,7.163,56,0.846,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,0.0,0.0,0.0,0.0,0.0,0.0133,0.0
4,6.814,255.0,1,250.0,1,0,0,0,0,1,1023,0,666,48,-8,198,62,1,0.0,0,25,0.0,4,7.0,54,0.687,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,8.635,255.0,1,250.0,1,0,0,0,0,1,1023,0,666,48,-8,198,63,1,0.0333,0,25,1.0,5,31.5,53,1.137,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,0.0,0.0,0.0,0.0,0.0,0.0,0.0333
6,11.062,255.0,1,250.0,1,0,0,0,0,1,1023,0,666,48,-8,198,63,1,0.0,0,25,1.0,6,31.5,44,1.1,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,13.535,255.0,1,250.0,1,0,0,0,0,1,1023,0,666,48,-8,198,62,1,0.0333,0,25,1.0,7,31.5,42,0.672,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,0.0,0.0,0.0,0.0,0.0,0.0,0.0333
8,15.485,255.0,1,250.0,1,0,0,0,0,1,1023,0,666,48,-8,198,62,1,0.0,0,25,1.0,8,31.5,44,0.526,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,17.31,255.0,1,250.0,1,0,0,0,0,1,1023,0,666,48,-8,198,62,1,0.0,0,25,1.0,9,31.5,46,1.191,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,19.718,255.0,1,250.0,1,0,0,0,0,1,1023,0,666,48,-8,198,62,1,0.0,0,25,1.0,10,31.5,50,0.866,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,21.904,255.0,1,250.0,1,0,0,0,0,1,1023,0,666,48,-8,198,62,1,0.0,0,25,1.0,11,31.5,41,1.026,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,24.229,255.0,1,250.0,1,0,0,0,0,1,1023,0,666,48,-8,198,62,1,0.0,0,25,1.0,12,31.5,57,0.936,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
