ciclo,t,ultra_cm,ultra_vivo,eopd_raw,eopd_vivo,color_r,color_g,color_b,color_luminosidad,color_vivo,touch_raw,touch_presionado,gyro_raw,accel_x,accel_y,accel_z,compass_deg,smux_vivo,cambio_total,veto_reactivo,volante_elegido,D_actual,contador_sin_cambio,tiempo_deliberacion_s,potencia,duracion_s,ultra_cm_post,error_post,e_R,prop_bienestar,prop_vigor,prop_acople,prop_malestar,prop_dW,d_ultra,d_eopd,d_color,d_gyro,d_accel,d_compass,veto_motivo
1,0.0,255.0,1,250.0,1,0,0,0,0,1,1023,0,666,46,-8,199,205,1,0,0,-60,0.0,1,7.0,54,0.454,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,0.0,,,,,,,
2,1.828,255.0,1,250.0,1,0,0,0,0,1,1023,0,666,51,-7,197,214,1,0.3533,0,-60,0.177,0,11.328,58,0.542,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,0.0,0.0,0.0,0.0,0.0,0.0533,0.3,
3,3.851,255.0,1,250.0,1,0,0,0,0,1,1023,0,666,49,-7,199,221,1,0.26,0,-60,0.13,0,10.185,64,1.11,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,0.0,0.0,0.0,0.0,0.0,0.0267,0.2333,
4,6.44,255.0,1,250.0,1,0,0,0,0,1,1023,0,922,48,-7,199,240,1,1.92,0,-60,0.96,0,30.52,51,1.104,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,0.0,0.0,0.0,0.0,1.28,0.0067,0.6333,
5,8.95,255.0,1,250.0,1,0,0,0,0,1,1023,0,410,48,-4,198,240,1,2.5867,0,-60,1.0,0,31.5,53,1.097,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,0.0,0.0,0.0,0.0,2.56,0.0267,0.0,
6,11.501,255.0,1,250.0,1,0,0,0,0,1,1023,0,666,48,-5,198,241,1,1.32,0,-60,0.66,0,23.17,63,0.972,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,0.0,0.0,0.0,0.0,1.28,0.0067,0.0333,
7,14.051,255.0,1,250.0,1,0,0,0,0,1,1023,0,666,51,-7,199,253,1,0.44,0,-60,0.22,0,12.39,42,0.55,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,0.0,0.0,0.0,0.0,0.0,0.04,0.4,
8,16.136,255.0,1,250.0,1,0,0,0,0,1,1023,0,666,49,-4,198,254,1,0.0733,0,-60,0.037,1,7.898,49,1.019,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,0.0,0.0,0.0,0.0,0.0,0.04,0.0333,
9,18.525,255.0,1,250.0,1,0,0,0,0,1,1023,0,666,48,-5,198,254,1,0.0133,0,-60,0.007,2,7.163,54,0.921,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,0.0,0.0,0.0,0.0,0.0,0.0133,0.0,
10,20.75,255.0,1,250.0,1,0,0,0,0,1,1023,0,666,49,-3,199,260,1,0.2267,0,-60,0.113,0,9.777,53,0.562,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,0.0,0.0,0.0,0.0,0.0,0.0267,0.2,
