ciclo,t,ultra_cm,ultra_vivo,veto_reactivo,volante_elegido,D_actual,tiempo_deliberacion_s,potencia,duracion_s,ultra_cm_post,error_post,e_R,prop_bienestar,prop_vigor,prop_acople,prop_malestar,prop_dW
1,0.0,83.0,1,0,-100,0.43,17.535,66,0.402,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,0.0
2,0.426,255.0,1,0,-100,1.0,31.5,59,0.449,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,0.0
3,0.898,255.0,1,0,-100,1.0,31.5,41,0.654,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,0.0
4,1.574,255.0,1,0,-100,1.0,31.5,57,1.155,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,0.0
5,2.752,255.0,1,0,-100,1.0,31.5,45,0.849,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,0.0
