ciclo,t,ultra_cm,ultra_vivo,eopd_raw,eopd_vivo,color_r,color_g,color_b,color_luminosidad,color_vivo,touch_raw,touch_presionado,gyro_raw,accel_x,accel_y,accel_z,compass_deg,smux_vivo,bateria_mv,energia,energia_vivo,cambio_total,veto_reactivo,volante_elegido,D_actual,contador_sin_cambio,tiempo_deliberacion_s,potencia,duracion_s,ultra_cm_post,error_post,e_R,prop_bienestar,prop_vigor,prop_acople,prop_malestar,prop_dW,d_ultra,d_eopd,d_color,d_gyro,d_accel,d_compass,presion_desacople,veto_motivo,vetos_consecutivos
1,0.0,69.0,1,250.0,1,0,0,0,0,1,1023,0,666,52,-5,197,60,1,7394.0,0.6061,1,0,0,25,0.0,1,7.0,46,1.15,69.0,29.0,29.0,0.4735,0.303,0.0,0.1667,0.0,,,,,,,,,
2,2.514,69.0,1,250.0,1,0,0,0,0,1,1023,0,666,51,-4,197,60,1,7187.0,0.5161,1,0.0133,0,25,0.007,2,7.163,52,0.962,69.0,29.0,29.0,0.4601,0.2581,0.0,0.1667,-0.01339,0.0,0.0,0.0,0.0,0.0133,0.0,,,
3,4.802,69.0,1,250.0,1,0,0,0,0,1,1023,0,666,51,-5,196,60,1,7367.0,0.5943,1,0.0133,0,25,0.007,3,7.163,45,0.867,69.0,29.0,29.0,0.4717,0.2972,0.0,0.1667,-0.00149,0.0,0.0,0.0,0.0,0.0133,0.0,,,
4,7.074,69.0,1,250.0,1,0,0,0,0,1,1023,0,666,51,-5,197,60,1,7297.0,0.5639,1,0.0067,0,25,0.003,4,7.082,58,0.736,70.0,30.0,30.0,0.4672,0.2819,0.0,0.1667,-0.00598,0.0,0.0,0.0,0.0,0.0067,0.0,,,
5,8.999,69.0,1,250.0,1,0,0,0,0,1,1023,0,666,51,-5,197,60,1,7353.0,0.5883,1,0.0,0,25,1.0,5,31.5,67,0.485,255.0,215.0,215.0,0.4708,0.2942,0.0,0.1667,-0.00223,0.0,0.0,0.0,0.0,0.0,0.0,,,
6,10.949,68.0,1,250.0,1,0,0,0,0,1,1023,0,410,50,-8,197,59,1,7256.0,0.5461,1,1.35,0,25,0.675,0,23.538,53,0.766,255.0,215.0,215.0,0.4646,0.2731,0.0,0.1667,-0.00846,0.01,0.0,0.0,1.28,0.0267,0.0333,,,
7,12.924,255.0,1,250.0,1,0,0,0,0,1,1023,0,666,51,-6,197,59,1,7339.0,0.5822,1,3.17,0,25,1.0,0,31.5,59,0.846,255.0,215.0,215.0,0.4699,0.2911,0.0,0.1667,-0.00292,1.87,0.0,0.0,1.28,0.02,0.0,,,
8,15.123,68.0,1,250.0,1,0,0,0,0,1,1023,0,666,51,-6,197,59,1,7367.0,0.5943,1,1.87,0,25,0.935,0,29.907,41,1.005,69.0,29.0,29.0,0.4717,0.2972,0.0,0.1667,-0.00107,1.87,0.0,0.0,0.0,0.0,0.0,,,
9,17.4,68.0,1,250.0,1,0,0,0,0,1,1023,0,666,51,-6,197,59,1,7367.0,0.5943,1,0.0,0,25,0.0,1,7.0,58,0.671,255.0,215.0,215.0,0.4717,0.2972,0.0,0.1667,-0.00104,0.0,0.0,0.0,0.0,0.0,0.0,,,
10,19.376,68.0,1,250.0,1,0,0,0,0,1,1023,0,666,51,-5,197,59,1,7325.0,0.5761,1,0.0067,0,25,0.003,2,7.082,42,0.632,69.0,29.0,29.0,0.469,0.288,0.0,0.1667,-0.00373,0.0,0.0,0.0,0.0,0.0067,0.0,,,
11,21.428,68.0,1,250.0,1,0,0,0,0,1,1023,0,666,51,-6,197,59,1,7325.0,0.5761,1,0.0067,0,25,0.003,3,7.082,52,1.16,255.0,215.0,215.0,0.469,0.288,0.0,0.1667,-0.00366,0.0,0.0,0.0,0.0,0.0067,0.0,,,
12,23.847,68.0,1,250.0,1,0,0,0,0,1,1023,0,666,50,-6,197,59,1,7311.0,0.57,1,0.0067,0,25,0.003,4,7.082,41,0.983,69.0,29.0,29.0,0.4681,0.285,0.0,0.1667,-0.00449,0.0,0.0,0.0,0.0,0.0067,0.0,,,
13,26.247,68.0,1,250.0,1,0,0,0,0,1,1023,0,666,51,-6,197,60,1,7200.0,0.5217,1,0.04,0,25,1.0,5,31.5,51,0.611,255.0,215.0,215.0,0.4609,0.2609,0.0,0.1667,-0.01159,0.0,0.0,0.0,0.0,0.0067,0.0333,,,
14,28.246,68.0,1,250.0,1,0,0,0,0,1,1023,0,666,51,-6,197,58,1,7228.0,0.5339,1,0.0667,0,25,1.0,6,31.5,63,0.785,255.0,215.0,215.0,0.4628,0.267,0.0,0.1667,-0.00954,0.0,0.0,0.0,0.0,0.0,0.0667,,,
15,30.271,255.0,1,250.0,1,0,0,0,0,1,1023,0,666,48,-7,197,59,1,7339.0,0.5822,1,1.93,0,25,0.965,0,30.642,61,0.924,255.0,215.0,215.0,0.4699,0.2911,0.0,0.1667,-0.00216,1.87,0.0,0.0,0.0,0.0267,0.0333,,,
16,32.681,68.0,1,250.0,1,0,0,0,0,1,1023,0,666,50,-5,197,59,1,7256.0,0.5461,1,1.8967,0,25,0.948,0,30.235,52,0.691,255.0,215.0,215.0,0.4646,0.2731,0.0,0.1667,-0.00749,1.87,0.0,0.0,0.0,0.0267,0.0,,,
17,34.622,255.0,1,250.0,1,0,0,0,0,1,1023,0,666,51,-7,197,59,1,7339.0,0.5822,1,1.89,0,25,0.945,0,30.152,50,0.652,255.0,215.0,215.0,0.4699,0.2911,0.0,0.1667,-0.00197,1.87,0.0,0.0,0.0,0.02,0.0,,,
18,36.546,255.0,1,250.0,1,0,0,0,0,1,1023,0,666,51,-6,197,59,1,7311.0,0.57,1,0.0067,0,25,0.003,1,7.082,56,0.487,255.0,215.0,215.0,0.4681,0.285,0.0,0.1667,-0.00375,0.0,0.0,0.0,0.0,0.0067,0.0,,,
19,38.52,69.0,1,250.0,1,0,0,0,0,1,1023,0,666,50,-6,197,59,1,7353.0,0.5883,1,1.8667,0,25,0.933,0,29.867,56,0.433,255.0,215.0,215.0,0.4708,0.2942,0.0,0.1667,-0.00095,1.86,0.0,0.0,0.0,0.0067,0.0,,,
20,40.37,68.0,1,250.0,1,0,0,0,0,1,1023,0,666,51,-7,197,59,1,7284.0,0.5583,1,0.0233,0,25,0.012,1,7.285,51,0.977,255.0,215.0,215.0,0.4664,0.2792,0.0,0.1667,-0.00539,0.01,0.0,0.0,0.0,0.0133,0.0,,,
21,42.762,69.0,1,250.0,1,0,0,0,0,1,1023,0,666,50,-6,197,59,1,7311.0,0.57,1,0.0233,0,25,0.012,2,7.285,69,0.855,255.0,215.0,215.0,0.4681,0.285,0.0,0.1667,-0.00354,0.01,0.0,0.0,0.0,0.0133,0.0,,,
22,45.102,69.0,1,250.0,1,0,0,0,0,1,1023,0,666,50,-10,197,58,1,7353.0,0.5883,1,0.06,0,25,0.03,3,7.735,69,0.792,255.0,215.0,215.0,0.4708,0.2942,0.0,0.1667,-0.00075,0.0,0.0,0.0,0.0,0.0267,0.0333,,,
23,47.256,67.0,1,250.0,1,0,0,0,0,1,1023,0,666,48,-6,197,60,1,7367.0,0.5943,1,0.1267,0,25,0.063,4,8.552,45,1.143,67.0,27.0,27.0,0.4717,0.2972,0.0,0.1667,0.00016,0.02,0.0,0.0,0.0,0.04,0.0667,,,
