ciclo,t,ultra_cm,ultra_vivo,veto_reactivo,volante_elegido,D_actual,tiempo_deliberacion_s,potencia,duracion_s,ultra_cm_post,error_post,e_R,prop_bienestar,prop_vigor,prop_acople,prop_malestar,prop_dW
1,0.0,64.0,1,0,100,0.24,12.88,61,0.577,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,0.0
2,0.601,255.0,1,0,100,1.0,31.5,51,0.542,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,0.0
3,1.167,255.0,1,0,100,1.0,31.5,61,0.475,24.0,16.0,16.0,0.3833,0.0,0.0,0.1667,0.0
4,1.665,24.0,1,0,100,0.16,10.92,53,0.732,23.0,17.0,17.0,0.3833,0.0,0.0,0.1667,0.0
5,2.42,23.0,1,0,100,0.17,11.165,64,1.133,22.0,18.0,18.0,0.3833,0.0,0.0,0.1667,0.0
