anio,JARDIN_FERTIL_pct,CIERRE_pct,SELVA_HOSTIL_pct,COLAPSO_pct,dominante,coberturaTempReal_pct
1966,0.00,96.17,0.00,3.83,CIERRE,0.0
1967,0.00,100.00,0.00,0.00,CIERRE,0.0
1968,0.00,100.00,0.00,0.00,CIERRE,0.0
1969,0.00,100.00,0.00,0.00,CIERRE,0.0
1970,0.00,100.00,0.00,0.00,CIERRE,0.0
1971,0.00,100.00,0.00,0.00,CIERRE,0.0
1972,0.00,94.26,0.00,5.74,CIERRE,0.0
1973,0.00,98.09,0.00,1.91,CIERRE,0.0
1974,0.00,100.00,0.00,0.00,CIERRE,0.0
1975,0.00,100.00,0.00,0.00,CIERRE,0.0
1976,0.00,100.00,0.00,0.00,CIERRE,0.0
1977,0.00,94.26,0.00,5.74,CIERRE,0.0
1978,0.00,100.00,0.00,0.00,CIERRE,0.0
1979,0.00,100.00,0.00,0.00,CIERRE,0.0
1980,0.00,96.17,0.00,3.83,CIERRE,0.0
1981,9.58,34.53,24.95,30.94,CIERRE,100.0
1982,11.49,40.24,15.36,32.90,CIERRE,100.0
1983,7.67,21.09,26.85,44.39,COLAPSO,100.0
1984,5.77,21.09,24.92,48.23,COLAPSO,100.0
1985,11.82,13.41,38.31,36.47,SELVA_HOSTIL,100.0
1986,15.34,24.94,32.60,27.11,SELVA_HOSTIL,100.0
1987,1.92,32.60,34.79,30.69,SELVA_HOSTIL,100.0
1988,5.77,9.89,40.26,44.08,COLAPSO,100.0
1989,13.45,11.50,49.84,25.21,SELVA_HOSTIL,100.0
1990,13.44,9.59,34.50,42.46,COLAPSO,100.0
1991,15.35,29.02,28.78,26.85,CIERRE,100.0
1992,1.92,23.02,25.19,49.87,COLAPSO,100.0
1993,5.75,19.20,28.78,46.27,COLAPSO,100.0
1994,15.35,21.08,30.95,32.63,COLAPSO,100.0
1995,15.37,15.35,47.92,21.37,SELVA_HOSTIL,100.0
1996,21.09,15.37,15.61,47.93,COLAPSO,100.0
1997,17.25,24.95,19.47,38.34,COLAPSO,100.0
1998,15.35,15.35,52.04,17.27,SELVA_HOSTIL,100.0
1999,13.45,17.25,42.17,27.13,SELVA_HOSTIL,100.0
2000,5.75,28.75,29.04,36.46,COLAPSO,100.0
2001,3.84,28.77,26.85,40.53,COLAPSO,100.0
2002,7.67,21.11,15.63,55.59,COLAPSO,100.0
2003,6.01,21.12,26.86,46.00,COLAPSO,100.0
2004,15.36,15.35,40.25,29.05,SELVA_HOSTIL,100.0
2005,11.79,11.52,28.76,47.93,COLAPSO,100.0
2006,13.43,23.03,17.26,46.28,COLAPSO,100.0
2007,1.94,7.96,26.82,63.28,COLAPSO,100.0
2008,5.78,17.27,38.34,38.61,COLAPSO,100.0
2009,13.43,21.35,38.35,26.87,SELVA_HOSTIL,100.0
2010,13.44,21.35,24.93,40.29,COLAPSO,100.0
2011,13.44,15.35,30.67,40.55,COLAPSO,100.0
2012,17.55,11.52,40.25,30.68,SELVA_HOSTIL,100.0
2013,17.27,13.43,46.29,23.00,SELVA_HOSTIL,100.0
2014,15.35,15.34,46.30,23.01,SELVA_HOSTIL,100.0
2015,17.26,26.85,36.71,19.17,SELVA_HOSTIL,100.0
2016,13.40,27.15,9.63,49.82,COLAPSO,100.0
2017,11.51,15.36,32.86,40.26,COLAPSO,100.0
2018,9.58,24.94,11.80,53.67,COLAPSO,100.0
2019,15.37,3.84,69.30,11.49,SELVA_HOSTIL,100.0
2020,23.29,13.41,44.11,19.19,SELVA_HOSTIL,100.0
2021,28.78,9.59,53.69,7.94,SELVA_HOSTIL,100.0
2022,15.35,9.86,51.78,23.01,SELVA_HOSTIL,100.0
2023,32.62,17.26,32.86,17.26,SELVA_HOSTIL,100.0
2024,19.46,5.75,57.53,17.26,SELVA_HOSTIL,100.0
2025,26.84,9.60,50.14,13.42,SELVA_HOSTIL,100.0
2026,0.04,52.05,40.24,7.68,CIERRE,59.7
2027,0.00,100.00,0.00,0.00,CIERRE,0.0
