anio,JARDIN_FERTIL_pct,CIERRE_pct,SELVA_HOSTIL_pct,COLAPSO_pct,dominante
1966,18.36,31.78,8.49,41.37,COLAPSO
1967,11.78,38.08,16.99,33.15,CIERRE
1968,18.36,40.00,8.49,33.15,CIERRE
1969,24.93,33.70,0.00,41.37,COLAPSO
1970,13.70,27.95,16.99,41.37,COLAPSO
1971,16.44,33.70,8.49,41.37,COLAPSO
1972,11.78,29.86,16.99,41.37,COLAPSO
1973,11.78,38.08,16.99,33.15,CIERRE
1974,11.78,38.08,16.99,33.15,CIERRE
1975,11.78,29.86,16.99,41.37,COLAPSO
1976,11.78,38.08,16.99,33.15,CIERRE
1977,16.44,41.92,8.49,33.15,CIERRE
1978,16.44,41.92,8.49,33.15,CIERRE
1979,10.14,39.73,14.79,35.34,CIERRE
1980,12.05,29.59,14.79,43.56,COLAPSO
1981,13.70,36.16,16.99,33.15,CIERRE
1982,13.70,36.16,16.99,33.15,CIERRE
1983,10.14,39.73,16.71,33.42,CIERRE
1984,10.14,39.73,16.71,33.42,CIERRE
1985,16.44,41.92,8.49,33.15,CIERRE
1986,15.62,26.03,16.99,41.37,COLAPSO
1987,7.40,34.25,25.21,33.15,CIERRE
1988,10.14,39.73,14.79,35.34,CIERRE
1989,10.14,31.51,16.71,41.64,COLAPSO
1990,24.93,41.92,0.00,33.15,CIERRE
1991,11.78,29.86,16.99,41.37,COLAPSO
1992,13.70,36.16,16.99,33.15,CIERRE
1993,13.97,35.89,16.71,33.42,CIERRE
1994,16.44,41.92,8.49,33.15,CIERRE
1995,24.93,33.70,0.00,41.37,COLAPSO
1996,10.14,31.51,14.79,43.56,COLAPSO
1997,11.78,29.86,16.99,41.37,COLAPSO
1998,10.14,31.51,14.79,43.56,COLAPSO
1999,24.93,33.70,0.00,41.37,COLAPSO
2000,11.78,38.08,16.99,33.15,CIERRE
2001,10.14,39.73,14.79,35.34,CIERRE
2002,5.48,36.16,25.21,33.15,CIERRE
2003,13.70,36.16,16.99,33.15,CIERRE
2004,10.14,31.51,14.79,43.56,COLAPSO
2005,10.14,39.73,16.71,33.42,CIERRE
2006,11.78,38.08,16.99,33.15,CIERRE
2007,10.14,39.73,16.71,33.42,CIERRE
2008,11.78,29.86,16.99,41.37,COLAPSO
2009,16.44,41.92,8.49,33.15,CIERRE
2010,11.78,38.08,16.99,33.15,CIERRE
2011,10.14,39.73,16.71,33.42,CIERRE
2012,18.36,40.00,8.49,33.15,CIERRE
2013,13.70,19.73,16.99,49.59,COLAPSO
2014,20.27,29.86,8.49,41.37,COLAPSO
2015,10.14,31.51,14.79,43.56,COLAPSO
2016,11.78,38.08,16.99,33.15,CIERRE
2017,9.32,32.33,25.21,33.15,COLAPSO
2018,10.14,39.73,16.71,33.42,CIERRE
2019,24.93,33.70,0.00,41.37,COLAPSO
2020,20.27,29.86,8.49,41.37,COLAPSO
2021,24.93,25.48,0.00,49.59,COLAPSO
2022,24.93,33.70,0.00,41.37,COLAPSO
2023,26.85,23.56,0.00,49.59,COLAPSO
2024,24.93,25.48,0.00,49.59,COLAPSO
2025,24.93,33.70,0.00,41.37,COLAPSO
2026,18.36,31.78,8.49,41.37,COLAPSO
2027,24.93,33.70,0.00,41.37,COLAPSO
