anio,JARDIN_FERTIL_pct,CIERRE_pct,SELVA_HOSTIL_pct,COLAPSO_pct,dominante
1966,9.25,35.74,14.92,40.08,COLAPSO
1967,9.02,36.58,15.24,39.15,COLAPSO
1968,9.53,35.90,14.68,39.89,COLAPSO
1969,9.89,35.41,14.17,40.53,COLAPSO
1970,9.08,35.70,15.11,40.11,COLAPSO
1971,9.45,36.38,14.79,39.38,COLAPSO
1972,9.00,37.08,15.47,38.46,COLAPSO
1973,9.10,37.07,15.12,38.71,COLAPSO
1974,9.11,36.60,15.05,39.24,COLAPSO
1975,9.26,36.37,15.03,39.35,COLAPSO
1976,9.50,36.58,14.72,39.20,COLAPSO
1977,9.07,37.18,15.27,38.47,COLAPSO
1978,9.30,37.39,15.02,38.29,COLAPSO
1979,9.37,36.53,14.84,39.26,COLAPSO
1980,8.62,36.51,15.66,39.21,COLAPSO
1981,8.63,36.88,15.72,38.76,COLAPSO
1982,8.41,36.99,15.95,38.66,COLAPSO
1983,8.71,37.16,15.67,38.46,COLAPSO
1984,8.85,36.85,15.46,38.84,COLAPSO
1985,9.53,36.11,14.64,39.72,COLAPSO
1986,9.10,35.90,15.14,39.86,COLAPSO
1987,8.58,37.33,15.91,38.18,COLAPSO
1988,9.02,37.61,15.23,38.14,COLAPSO
1989,9.21,36.64,15.11,39.03,COLAPSO
1990,9.29,36.49,14.93,39.29,COLAPSO
1991,9.07,36.59,15.21,39.13,COLAPSO
1992,8.32,36.95,16.09,38.63,COLAPSO
1993,8.77,36.79,15.48,38.96,COLAPSO
1994,9.33,36.37,14.82,39.48,COLAPSO
1995,9.77,36.19,14.44,39.60,COLAPSO
1996,8.96,35.90,15.29,39.85,COLAPSO
1997,8.70,37.20,15.73,38.37,COLAPSO
1998,9.45,36.62,14.72,39.21,COLAPSO
1999,9.77,36.29,14.48,39.46,COLAPSO
2000,8.94,37.57,15.47,38.02,COLAPSO
2001,8.62,37.73,15.75,37.90,COLAPSO
2002,8.50,37.26,16.00,38.25,COLAPSO
2003,9.13,36.61,15.09,39.17,COLAPSO
2004,9.11,36.39,15.19,39.31,COLAPSO
2005,9.18,36.86,15.14,38.82,COLAPSO
2006,9.10,37.08,15.16,38.67,COLAPSO
2007,9.17,36.44,15.06,39.32,COLAPSO
2008,9.18,36.35,15.08,39.39,COLAPSO
2009,9.13,36.66,15.15,39.06,COLAPSO
2010,9.11,36.37,15.12,39.41,COLAPSO
2011,8.86,36.72,15.46,38.96,COLAPSO
2012,9.44,36.01,14.76,39.78,COLAPSO
2013,9.47,34.95,14.63,40.95,COLAPSO
2014,9.68,35.24,14.47,40.60,COLAPSO
2015,9.12,36.89,15.19,38.80,COLAPSO
2016,8.45,36.62,15.85,39.08,COLAPSO
2017,8.29,36.52,16.05,39.15,COLAPSO
2018,9.16,36.76,15.09,38.99,COLAPSO
2019,9.98,35.03,14.05,40.95,COLAPSO
2020,9.58,34.99,14.52,40.92,COLAPSO
2021,9.95,34.53,14.08,41.44,COLAPSO
2022,9.71,34.82,14.35,41.12,COLAPSO
2023,10.02,34.69,14.00,41.28,COLAPSO
2024,10.15,34.35,13.82,41.68,COLAPSO
2025,9.81,34.87,14.28,41.04,COLAPSO
2026,9.12,36.71,15.29,38.88,COLAPSO
2027,9.60,35.98,14.51,39.91,COLAPSO
